model,vce_type,variable,beta,se,pval
ECI,Cluster-Robust (Pais),rents,-.0097954691504722,.0041812540815272,.0233374696373836
ECI,Cluster-Robust (Pais),inst,.2667053724042682,.1367290148050971,.0569548198026612
ECI,Cluster-Robust (Pais),rents_x_inst,-.0051986336559328,.0034531934343915,.1387594076125077
ECI,Cluster-Robust (Pais),log_oilpc,.0283470848261904,.0376028181428164,.454618365045719
ECI,Cluster-Robust (Pais),log_gaspc,.0396346455105898,.0342995174082461,.2535869467125895
ECI,Cluster-Robust (Pais),log_coalpc,.0109056157707631,.0264302298603399,.6817230121734854
ECI,Cluster-Robust (Pais),hhi,-.535482706303164,.2252341872562368,.0214650584814152
ECI,Cluster-Robust (Pais),pexp,-.0041992584335587,.0015650297484779,.0099746970079746
ECI,Cluster-Robust (Pais),fexp,-.0068003997463397,.0018843748439363,.0007320964268978
ECI,Cluster-Robust (Pais),vol,-.0029025622624985,.0024472998106674,.2414496803332308
ECI,Cluster-Robust (Pais),rer,-.0873191041162163,.0984427261581899,.379499534878428
ECI,Cluster-Robust (Pais),humcap,-.053994099156871,.2243988126117772,.8108769829443865
ECI,Cluster-Robust (Pais),innov,-.0361179184626765,.0484107943952627,.4592625859498458
ECI,Cluster-Robust (Pais),net,-.0013053883989977,.0020795389352296,.5331561730577066
ECI,Cluster-Robust (Pais),log_gdppc,-.0458856576346516,.2211998524237738,.8365439684758489
ECI,Cluster-Robust (Pais),govcons,-.0060475629900314,.0089479034960686,.5023706744861998
ECI,Cluster-Robust (Pais),fin,-.0009975980304984,.0023553287407811,.6737864183428239
ECI,Driscoll-Kraay HAC (lag 2),rents,-.0097954691504731,.0048527147548022,.0558870784969364
ECI,Driscoll-Kraay HAC (lag 2),inst,.2667053724043669,.0622736769861876,.000302399920161
ECI,Driscoll-Kraay HAC (lag 2),rents_x_inst,-.0051986336559332,.002762680322905,.0731694514321184
ECI,Driscoll-Kraay HAC (lag 2),log_oilpc,.0283470848262795,.0203930998946772,.1784245388211766
ECI,Driscoll-Kraay HAC (lag 2),log_gaspc,.0396346455107306,.0149491553273227,.0145841648127921
ECI,Driscoll-Kraay HAC (lag 2),log_coalpc,.0109056157708647,.0218942641730787,.6233537918065042
ECI,Driscoll-Kraay HAC (lag 2),hhi,-.5354827063030001,.1120864738705862,.0000904397206297
ECI,Driscoll-Kraay HAC (lag 2),pexp,-.0041992584335581,.0010770626017591,.0007716892712369
ECI,Driscoll-Kraay HAC (lag 2),fexp,-.0068003997463395,.001118260943781,4.03400002650e-06
ECI,Driscoll-Kraay HAC (lag 2),vol,-.0029025622625076,.0029764746879656,.3400785481483939
ECI,Driscoll-Kraay HAC (lag 2),rer,-.0873191041161618,.0963797345128381,.3747571599820587
ECI,Driscoll-Kraay HAC (lag 2),humcap,-.0539940991572401,.1238430214392216,.6670935652520407
