model,component,variable,beta,se,pval
ECI,Serie Original (Total),rents,-.0097954691504722,.0041812540815272,.0233374696373836
ECI,Serie Original (Total),inst,.2667053724042682,.1367290148050971,.0569548198026612
ECI,Serie Original (Total),rents_x_inst,-.0051986336559328,.0034531934343915,.1387594076125077
ECI,Serie Original (Total),log_oilpc,.0283470848261904,.0376028181428164,.454618365045719
ECI,Serie Original (Total),log_gaspc,.0396346455105898,.0342995174082461,.2535869467125895
ECI,Serie Original (Total),log_coalpc,.0109056157707631,.0264302298603399,.6817230121734854
ECI,Serie Original (Total),hhi,-.535482706303164,.2252341872562368,.0214650584814152
ECI,Serie Original (Total),pexp,-.0041992584335587,.0015650297484779,.0099746970079746
ECI,Serie Original (Total),fexp,-.0068003997463397,.0018843748439363,.0007320964268978
ECI,Serie Original (Total),vol,-.0029025622624985,.0024472998106674,.2414496803332308
ECI,Serie Original (Total),rer,-.0873191041162163,.0984427261581899,.379499534878428
ECI,Serie Original (Total),humcap,-.053994099156871,.2243988126117772,.8108769829443865
ECI,Serie Original (Total),innov,-.0361179184626765,.0484107943952627,.4592625859498458
ECI,Serie Original (Total),net,-.0013053883989977,.0020795389352296,.5331561730577066
ECI,Serie Original (Total),log_gdppc,-.0458856576346516,.2211998524237738,.8365439684758489
ECI,Serie Original (Total),govcons,-.0060475629900314,.0089479034960686,.5023706744861998
ECI,Serie Original (Total),fin,-.0009975980304984,.0023553287407811,.6737864183428239
ECI,Tendencia Largo Plazo,rents,-.0098361626005251,.0036517580876378,.0097100230475442
ECI,Tendencia Largo Plazo,inst,.3253397150687537,.1248592489218806,.0121754298201803
ECI,Tendencia Largo Plazo,rents_x_inst,-.0065958961268849,.0036050028941645,.0735166656094432
ECI,Tendencia Largo Plazo,log_oilpc,.0268618534795645,.0354419360129491,.452209035615624
ECI,Tendencia Largo Plazo,log_gaspc,.0491241653184572,.0346704490427419,.1629735128150859
ECI,Tendencia Largo Plazo,log_coalpc,.0067636091000602,.0272841977098664,.8052732733320593
ECI,Tendencia Largo Plazo,hhi,-.3724437862309979,.1840261510394819,.0485699196440147
ECI,Tendencia Largo Plazo,pexp,-.0027218960471024,.0014606690241425,.0685216793425645
ECI,Tendencia Largo Plazo,fexp,-.0048880379425761,.0018270177722863,.0101773218721444
ECI,Tendencia Largo Plazo,vol,-.0036180176562395,.002271577731693,.1177848169769491
ECI,Tendencia Largo Plazo,rer,-.0923644112457828,.080978328001306,.2596928965765213
ECI,Tendencia Largo Plazo,humcap,-.0219296036668246,.2108997683399623,.9176175530689323
ECI,Tendencia Largo Plazo,innov,-.0314615532695422,.0473727723495652,.509786597831378
ECI,Tendencia Largo Plazo,net,-.0012087015580807,.0018929014462772,.5261545509070822
ECI,Tendencia Largo Plazo,log_gdppc,-.0710064980742184,.2057766545336722,.7315524070768893
ECI,Tendencia Largo Plazo,govcons,-.0071025371168539,.0065196578036781,.2814152981032904
ECI,Tendencia Largo Plazo,fin,-.0011143692110147,.0022875387967229,.6283710476323949
ECI,Ciclo Corto Plazo,rents,.0000406934500529,.001328371252578,.9756883754439474
ECI,Ciclo Corto Plazo,inst,-.058634342664486,.023995723518558,.0182714892825376
ECI,Ciclo Corto Plazo,rents_x_inst,.0013972624709521,.0009744192167837,.1580709927194131
ECI,Ciclo Corto Plazo,log_oilpc,.0014852313466259,.0062522867446557,.8132411060980544
ECI,Ciclo Corto Plazo,log_gaspc,-.0094895198078674,.0064373758651265,.1469757154087627
ECI,Ciclo Corto Plazo,log_coalpc,.0041420066707029,.0046760512899566,.3801461312326077
ECI,Ciclo Corto Plazo,hhi,-.1630389200721672,.0711200418544973,.0263057379797167
ECI,Ciclo Corto Plazo,pexp,-.0014773623864562,.0004870141827651,.0038935233063808
ECI,Ciclo Corto Plazo,fexp,-.0019123618037636,.0005663990419852,.0014633721808565
ECI,Ciclo Corto Plazo,vol,.000715455393741,.0014554055038062,.6252533267226095
ECI,Ciclo Corto Plazo,rer,.0050453071295666,.0337953646354727,.8819503671062899
ECI,Ciclo Corto Plazo,humcap,-.0320644954900461,.0491914079492791,.5176191889866765
ECI,Ciclo Corto Plazo,innov,-.0046563651931342,.0120005876175789,.6997230769194311
ECI,Ciclo Corto Plazo,net,-.000096686840917,.0004040756180624,.8119079697992204
ECI,Ciclo Corto Plazo,log_gdppc,.025120840439567,.0344584980492165,.4695334166762961
ECI,Ciclo Corto Plazo,govcons,.0010549741268225,.0034027084946506,.7578730315626736
ECI,Ciclo Corto Plazo,fin,.0001167711805163,.0003077465584571,.7060351072588773
DIVX,Serie Original (Total),rents,-.0035361282417883,.0012959506104667,.00886161253407
DIVX,Serie Original (Total),inst,.0174719903042437,.0281851111114217,.5382545365460492
DIVX,Serie Original (Total),rents_x_inst,.0009478411602349,.0011841657541836,.4274060506457408
DIVX,Serie Original (Total),log_oilpc,.0076432352589494,.0089843157113392,.3991428611424594
DIVX,Serie Original (Total),log_gaspc,.0049354397975863,.0066613106835606,.4623566151595551
DIVX,Serie Original (Total),log_coalpc,-.0085477451981306,.0078384861351401,.2809439941560247
DIVX,Serie Original (Total),pexp,.0015329972563769,.000626622314875,.0181411646689017
DIVX,Serie Original (Total),fexp,-.0010625253746492,.0009784116952215,.2829162785881121
DIVX,Serie Original (Total),vol,.0008482358906801,.0009541626896589,.3784449971633703
DIVX,Serie Original (Total),rer,-.0397071117522682,.0359115433681142,.27437101929374
DIVX,Serie Original (Total),humcap,.1068870624325216,.0443140660821254,.0197359735496005
DIVX,Serie Original (Total),innov,.0111982518260607,.0136465466732181,.4159352371807349
DIVX,Serie Original (Total),net,-.0007413849202546,.0003525320872294,.040731076017067
DIVX,Serie Original (Total),log_gdppc,-.1455512229514946,.0350522284202581,.0001341217300368
DIVX,Serie Original (Total),govcons,.0032385264619265,.0017626541281163,.0723602184046391
DIVX,Serie Original (Total),fin,.0006048567948969,.0003671933700988,.1060401714917586
DIVX,Tendencia Largo Plazo,rents,-.0021832948881222,.0011719767603756,.0685994192016775
DIVX,Tendencia Largo Plazo,inst,.0224050994836568,.0251357985203319,.3771814329284289
DIVX,Tendencia Largo Plazo,rents_x_inst,.0009538183230968,.0009879317094622,.3391488075683642
DIVX,Tendencia Largo Plazo,log_oilpc,.0050544100153013,.0079772732615463,.5293488274381772
DIVX,Tendencia Largo Plazo,log_gaspc,.0072853230286016,.0061455476724645,.2416699079006809
DIVX,Tendencia Largo Plazo,log_coalpc,-.0104645775825824,.0070266600683683,.1429585430768722
DIVX,Tendencia Largo Plazo,pexp,.0015439147905941,.0005799324803103,.010530233412711
DIVX,Tendencia Largo Plazo,fexp,-.0006409040838436,.0007304150124596,.3846120096255582
DIVX,Tendencia Largo Plazo,vol,.0007279769196093,.0009119142255951,.4286311728322151
DIVX,Tendencia Largo Plazo,rer,-.0436166307512212,.0347839473272121,.2159401588318535
DIVX,Tendencia Largo Plazo,humcap,.1125419123687841,.0458212119331713,.0177146990023985
DIVX,Tendencia Largo Plazo,innov,.0163055706575113,.0133223556941368,.2269542116204597
DIVX,Tendencia Largo Plazo,net,-.0006938355372126,.0003558712494744,.0570689917269877
DIVX,Tendencia Largo Plazo,log_gdppc,-.1621661655608729,.0347208516391068,.000024511658346
DIVX,Tendencia Largo Plazo,govcons,.0017635452146322,.0016284558844077,.2842384457733403
DIVX,Tendencia Largo Plazo,fin,.0006355343038851,.0003615533611155,.0851592960353555
DIVX,Ciclo Corto Plazo,rents,-.0013528333536662,.0002723371540805,9.00468629342e-06
DIVX,Ciclo Corto Plazo,inst,-.0049331091794131,.0076842626958211,.5239432687206469
DIVX,Ciclo Corto Plazo,rents_x_inst,-5.97716286190e-06,.0003132594901573,.9848559433039734
DIVX,Ciclo Corto Plazo,log_oilpc,.0025888252436481,.0023350299207851,.2730880502669922
DIVX,Ciclo Corto Plazo,log_gaspc,-.0023498832310154,.0019249214432999,.2281367407804749
DIVX,Ciclo Corto Plazo,log_coalpc,.0019168323844518,.0018563812190021,.3069826805494677
DIVX,Ciclo Corto Plazo,pexp,-.0000109175342172,.000221689726979,.9609268794878914
DIVX,Ciclo Corto Plazo,fexp,-.0004216212908056,.0003176377120738,.1906668664724473
DIVX,Ciclo Corto Plazo,vol,.0001202589710708,.0002328758405731,.607940469773079
DIVX,Ciclo Corto Plazo,rer,.003909518998953,.0075916695782439,.6089340644265508
DIVX,Ciclo Corto Plazo,humcap,-.0056548499362627,.0079922130386011,.482649301982112
DIVX,Ciclo Corto Plazo,innov,-.0051073188314506,.0020443636851617,.0159593116686931
DIVX,Ciclo Corto Plazo,net,-.000047549383042,.0000824738619863,.5669449956243333
DIVX,Ciclo Corto Plazo,log_gdppc,.0166149426093784,.00692996932552,.0204442895829469
DIVX,Ciclo Corto Plazo,govcons,.0014749812472943,.000494543131898,.0044823746963691
DIVX,Ciclo Corto Plazo,fin,-.0000306775089882,.000085459864007,.7211919410370864
