model,variable,horizon,beta,se,t_stat,p_val,ci_low,ci_high
ECI,rents,0,-.0097954691504722,.0041812540815272,-2.342710813425242,.0233374696373836,-.018202443937249,-.0013884943636954
ECI,inst,0,.2667053724042682,.1367290148050971,1.950612843838949,.0569548198026612,-.0082067371385784,.5416174819471149
ECI,rents_x_inst,0,-.0051986336559328,.0034531934343915,-1.505456834290799,.1387594076125077,-.0121417443999201,.0017444770880545
ECI,log_oilpc,0,.0283470848261904,.0376028181428164,.753855328569457,.454618365045719,-.0472584483163794,.1039526179687602
ECI,log_gaspc,0,.0396346455105898,.0342995174082461,1.155545281842976,.2535869467125896,-.0293291563601673,.1085984473813469
ECI,log_coalpc,0,.0109056157707631,.0264302298603399,.4126190286043487,.6817230121734854,-.0422359230384342,.0640471545799604
ECI,hhi,0,-.535482706303164,.2252341872562368,-2.377448613935211,.0214650584814152,-.9883463918057989,-.0826190208005291
ECI,pexp,0,-.0041992584335587,.0015650297484779,-2.683181222365115,.0099746970079746,-.0073459616425643,-.0010525552245531
ECI,fexp,0,-.0068003997463397,.0018843748439363,-3.608835985166432,.0007320964268978,-.0105891893039508,-.0030116101887286
ECI,vol,0,-.0029025622624985,.0024472998106674,-1.186026432007505,.241449680333231,-.0078231883241536,.0020180637991566
ECI,rer,0,-.0873191041162163,.0984427261581899,-.8870041243667023,.379499534878428,-.2852514709651572,.1106132627327246
ECI,humcap,0,-.053994099156871,.2243988126117772,-.2406166883346388,.8108769829443864,-.5051781513637174,.3971899530499753
ECI,innov,0,-.0361179184626765,.0484107943952627,-.7460715923763248,.4592625859498458,-.1334543443179921,.0612185073926391
ECI,net,0,-.0013053883989977,.0020795389352296,-.6277297226241033,.5331561730577066,-.0054865816620032,.0028758048640078
ECI,log_gdppc,0,-.0458856576346516,.2211998524237738,-.207439820288596,.836543968475849,-.4906377692992421,.398866454029939
ECI,govcons,0,-.0060475629900314,.0089479034960686,-.6758636805469003,.5023706744861998,-.0240385287670943,.0119434027870315
ECI,fin,0,-.0009975980304984,.0023553287407811,-.4235493811227241,.6737864183428239,-.0057333038623442,.0037381078013474
ECI,rents,1,-.0132681277069684,.0037408113269711,-3.546858300846591,.000882430783171,-.0207895329826909,-.0057467224312459
ECI,inst,1,.3251553681587013,.1217801496148466,2.670019450518565,.0103204900194006,.0802999665544114,.5700107697629913
ECI,rents_x_inst,1,-.0053960559161187,.002796061954088,-1.92987709311282,.0595432314283868,-.0110179152654788,.0002258034332414
ECI,log_oilpc,1,.0086035949836626,.0263200689209935,.3268834519198456,.7451772547320625,-.0443164504119523,.0615236403792775
ECI,log_gaspc,1,.0531713774695209,.0399808193036154,1.329922157566008,.1898291699469368,-.0272154474606221,.1335582023996639
ECI,log_coalpc,1,-.0062730898483452,.0242866317842863,-.2582939414597603,.7972843852468218,-.0551046358594527,.0425584561627623
ECI,hhi,1,-.2841313284354683,.2096775195753529,-1.355087226379357,.1817329570790403,-.7057162371861083,.1374535803151718
ECI,pexp,1,-.0021748103545397,.00161633136094,-1.345522587197039,.1847784501860125,-.0054246623686837,.0010750416596043
ECI,fexp,1,-.0040488047781155,.0018045443753665,-2.243671495910537,.0295031482955928,-.0076770844209027,-.0004205251353283
ECI,vol,1,-.0064391582936872,.0033033304687807,-1.949292798447735,.0571166735297865,-.0130809493501368,.0002026327627624
ECI,rer,1,-.0624429799530618,.0766692108424252,-.8144466242309193,.4194115753774171,-.2165967601124626,.091710800206339
ECI,humcap,1,.0045932482148719,.205391722213436,.0223633560562813,.9822508197292426,-.4083744873957638,.4175609838255076
ECI,innov,1,-.0329170161946418,.04925627569547,-.6682806552032742,.5071554739442048,-.1319533961390755,.0661193637497919
ECI,net,1,-.0014234846670517,.0018883303816356,-.7538324230205583,.4546319916434757,-.0052202273662461,.0023732580321427
ECI,log_gdppc,1,-.0917429536274394,.1936130557268979,-.4738469380745066,.6377573677796127,-.4810280930017779,.2975421857468991
ECI,govcons,1,-.0051277493681136,.006387506859324,-.8027779039686664,.426060302631627,-.0179706926740336,.0077151939378064
ECI,fin,1,-.0008654363778009,.0020745466929684,-.4171689076627028,.6784148387628897,-.0050365920649976,.0033057193093958
ECI,rents,2,-.0149349976567621,.0048227087239304,-3.096806900788819,.0032633283188072,-.0246317034429942,-.00523829187053
ECI,inst,2,.3040932497808064,.1338388713861952,2.272084683853453,.0276010043232377,.0349921630505228,.5731943365110899
ECI,rents_x_inst,2,-.0079808066497536,.0032232221945707,-2.476033660725199,.0168639438803254,-.0144615292257033,-.0015000840738039
ECI,log_oilpc,2,.0190199861363809,.0286867150301681,.6630241948713445,.5104866762221989,-.0386585201853366,.0766984924580984
ECI,log_gaspc,2,.0432127276630326,.0389957659428067,1.108138963763674,.2733236933488732,-.0351935147417539,.1216189700678191
ECI,log_coalpc,2,-.004499090097231,.0268834575085655,-.1673553372291312,.8677935525160401,-.058551904169067,.049553723974605
ECI,hhi,2,-.1399285980305823,.1763211627218783,-.7936006992609269,.431333684058243,-.494446056303909,.2145888602427445
ECI,pexp,2,-.0030792774673957,.0017458099205121,-1.763810270073647,.0841279057827478,-.0065894635737825,.0004309086389911
