order,term,xtreg_b,reghdfe_b,diff_b,xtreg_se,reghdfe_se,diff_se,match
1,rents_oil_gas,-.0048487999837241,-.0048488001,0,.0013854586,.0013854586,6.3300060e-14,1
2,rents_mining,-.0014128563697215,-.0014128564,9.9963440e-17,.0018924191,.0018924191,1.5950002e-13,1
3,inst,.0163219843559727,.016321985,2.0122792e-16,.027968707,.027968707,7.2039943e-13,1
4,log_oilpc,.0088743388908937,.0088743391,1.0061396e-16,.0084942365,.0084942365,3.4409975e-13,1
5,log_gaspc,.0047902634662268,.0047902633,0,.0065495837,.0065495837,9.2199685e-14,1
6,log_coalpc,-.0135526847881415,-.013552684,2.0122792e-16,.0072832434,.0072832434,8.0499843e-14,1
7,pexp,.0015165414871231,.0015165415,0,.00063887087,.00063887087,1.7499999e-14,1
8,fexp,-.000928296852307,-.00092829682,1.0007186e-16,.00097116287,.00097116287,5.3599920e-14,1
9,vol,.0004515226271107,.00045152262,0,.0009574616,.0009574616,9.3400006e-14,1
10,rer,-.0414011416594044,-.04140114,0,.035411824,.035411824,1.2150975e-12,1
11,humcap,.1065592237513667,.10655922,1.9428903e-16,.042415868,.042415868,1.4304800e-11,1
12,innov,.0102262984510551,.010226298,1.9949320e-16,.013702212,.013702212,5.6549904e-13,1
13,net,-.0006446115553347,-.00064461154,0,.00036277698,.00036277698,6.3999912e-15,1
14,log_gdppc,-.1410728664429199,-.14107287,8.0491169e-16,.035880663,.035880663,9.9879827e-13,1
15,govcons,.0029054701633957,.0029054701,0,.0017347144,.0017347144,1.9829993e-13,1
16,fin,.000584373904385,.00058437389,0,.00035227058,.00035227058,3.0900033e-14,1
