model,component,percentile,inst_val,marginal_effect,standard_error,t_stat,p_val,ci_lower,ci_upper,significance
DIVX,rents_mining,P10,-1.23937289999999,-.0003011596,.0020425906,-.14744002,.88278472,-.0043045636,.0037022443,No
DIVX,rents_mining,P25,-.8784681166666666,-.00062488514,.0015420859,-.40522072,.68531531,-.0036473181,.0023975477,No
DIVX,rents_mining,P50,-.3916064666666665,-.0010615919,.0014385482,-.73796058,.46053839,-.0038810947,.0017579108,No
DIVX,rents_mining,P75,.141340766666667,-.0015396366,.0021242173,-.7248019,.4685736,-.005703026,.0026237527,No
DIVX,rents_mining,P90,.9154543000000001,-.0022340035,.0036383092,-.61402243,.53920048,-.0093649589,.0048969514,No
DIVX,rents_oil_gas,P10,-1.23937289999999,-.0063476767,.0015567942,-4.0774026,.000045541608,-.0093989372,-.003296416,1%
DIVX,rents_oil_gas,P25,-.8784681166666666,-.0059112045,.0013190723,-4.4813347,7.4177697e-06,-.0084965387,-.0033258703,1%
DIVX,rents_oil_gas,P50,-.3916064666666665,-.0053224023,.0012315075,-4.3218594,.000015471984,-.0077361125,-.0029086918,1%
DIVX,rents_oil_gas,P75,.141340766666667,-.0046778647,.001480696,-3.1592336,.0015818463,-.0075799758,-.0017757539,1%
DIVX,rents_oil_gas,P90,.9154543000000001,-.003741665,.002210764,-1.692476,.090555236,-.0080746831,.00059135258,10%
ECI,rents_mining,P10,-1.23937289999999,-.010961487,.0049030995,-2.2356241,.025376398,-.020571385,-.0013515893,5%
ECI,rents_mining,P25,-.8784681166666666,-.011729071,.0039592604,-2.96244,.0030521133,-.01948908,-.0039690635,1%
ECI,rents_mining,P50,-.3916064666666665,-.012764544,.0034607188,-3.6884084,.00022566115,-.019547429,-.0059816604,1%
ECI,rents_mining,P75,.141340766666667,-.013898034,.004232598,-3.2835705,.0010250097,-.022193773,-.0056022946,1%
ECI,rents_mining,P90,.9154543000000001,-.015544443,.0067181713,-2.313791,.020679193,-.028711818,-.00237707,5%
ECI,rents_oil_gas,P10,-1.23937289999999,-.00024693742,.0055050519,-.044856507,.96422166,-.011036641,.010542766,No
ECI,rents_oil_gas,P25,-.8784681166666666,-.0022874491,.0051200464,-.44676337,.65504593,-.012322555,.0077476571,No
ECI,rents_oil_gas,P50,-.3916064666666665,-.0050401054,.0051965518,-.96989423,.33209923,-.015225159,.0051449486,No
ECI,rents_oil_gas,P75,.141340766666667,-.0080533242,.0060144919,-1.3389866,.18057503,-.019841511,.0037348631,No
ECI,rents_oil_gas,P90,.9154543000000001,-.012430067,.0080595538,-1.5422773,.12300622,-.028226504,.0033663681,No
