model,vce_type,variable,beta,se,pval
ECI,Cluster-Robust (Pais),rents_oil_gas,-.0072542005719523,.0057355305102628,.2120555652876384
ECI,Cluster-Robust (Pais),inst,.2678691730140971,.1379342106686947,.0580171448024377
ECI,Cluster-Robust (Pais),rents_oil_gas_x_inst,-.0056538779833719,.003909253369597,.1545971296586714
ECI,Cluster-Robust (Pais),rents_mining,-.0135974258260262,.0039144448223894,.0010980716165416
ECI,Cluster-Robust (Pais),rents_mining_x_inst,-.0021268324145991,.0042867669843632,.6220606627941274
ECI,Cluster-Robust (Pais),log_oilpc,.0257683551232153,.0369874164612538,.4893640245786155
ECI,Cluster-Robust (Pais),log_gaspc,.0396976864306044,.034058279375191,.2495432994944272
ECI,Cluster-Robust (Pais),log_coalpc,.0202685832053855,.0250732332792616,.4228630580882524
ECI,Cluster-Robust (Pais),hhi,-.5746616898885796,.2336140351029818,.0175509305754936
ECI,Cluster-Robust (Pais),pexp,-.0042333279556088,.0016052318741581,.0112310044168834
ECI,Cluster-Robust (Pais),fexp,-.0070011526464361,.0019621703600837,.0008279413409217
ECI,Cluster-Robust (Pais),vol,-.0022107635290803,.0026284442858688,.4044670791533442
ECI,Cluster-Robust (Pais),rer,-.082605249988152,.0975681464010987,.4013963500585271
ECI,Cluster-Robust (Pais),humcap,-.0574792573490782,.2249334068926641,.7993986982934131
ECI,Cluster-Robust (Pais),innov,-.0348768267660665,.0491771837379761,.4816264950629175
ECI,Cluster-Robust (Pais),net,-.0014461904336295,.0020567039429252,.4853532384802316
ECI,Cluster-Robust (Pais),log_gdppc,-.0482211862742084,.2214735840518389,.8285633363679179
ECI,Cluster-Robust (Pais),govcons,-.0055598591765945,.0091508479374405,.5463308823507553
ECI,Cluster-Robust (Pais),fin,-.0009791226426994,.0024123779999251,.6866385336545573
ECI,Driscoll-Kraay HAC (lag 2),rents_oil_gas,-.0072542005719514,.0054014084700135,.1929578363995189
ECI,Driscoll-Kraay HAC (lag 2),inst,.2678691730141907,.0613037856274704,.000244637840658
ECI,Driscoll-Kraay HAC (lag 2),rents_oil_gas_x_inst,-.0056538779833719,.0029126545353843,.0651591801772051
ECI,Driscoll-Kraay HAC (lag 2),rents_mining,-.0135974258260236,.0056348136087408,.0245921887755053
ECI,Driscoll-Kraay HAC (lag 2),rents_mining_x_inst,-.0021268324145958,.0035723129748319,.5576744429481714
ECI,Driscoll-Kraay HAC (lag 2),log_oilpc,.0257683551233097,.0206469122078284,.2251335451036575
ECI,Driscoll-Kraay HAC (lag 2),log_gaspc,.0396976864307526,.0143147888466599,.0110894733639965
ECI,Driscoll-Kraay HAC (lag 2),log_coalpc,.0202685832054872,.0217209301141958,.3608787476693804
ECI,Driscoll-Kraay HAC (lag 2),hhi,-.5746616898884156,.1055705408166776,.0000181327028583
ECI,Driscoll-Kraay HAC (lag 2),pexp,-.0042333279556083,.0009908788857644,.0003102581806452
ECI,Driscoll-Kraay HAC (lag 2),fexp,-.0070011526464355,.0011086170979695,2.35034844474e-06
ECI,Driscoll-Kraay HAC (lag 2),vol,-.00221076352909,.0030596610147024,.4775666737275169
ECI,Driscoll-Kraay HAC (lag 2),rer,-.0826052499880845,.0938309517838953,.3881791363239659
ECI,Driscoll-Kraay HAC (lag 2),humcap,-.0574792573493035,.1224318990054429,.6433467591525541
ECI,Driscoll-Kraay HAC (lag 2),innov,-.0348768267659167,.0362088969605562,.3459101150611886
ECI,Driscoll-Kraay HAC (lag 2),net,-.0014461904336294,.0016975899330016,.4034438192488448
ECI,Driscoll-Kraay HAC (lag 2),log_gdppc,-.0482211862753843,.1018408646177428,.6405245422733181
ECI,Driscoll-Kraay HAC (lag 2),govcons,-.0055598591765977,.0075200202620755,.4675160669815136
ECI,Driscoll-Kraay HAC (lag 2),fin,-.0009791226426989,.0008996845452761,.288243710225395
ECI,Panel PCSE (AR1),rents_oil_gas,-.0055872815965366,.0030386072452421,.0659499061951848
ECI,Panel PCSE (AR1),inst,.1513509846075442,.0839759897748482,.0714962369873294
ECI,Panel PCSE (AR1),rents_oil_gas_x_inst,.0000559754009799,.003629201619723,.9876942252827793
ECI,Panel PCSE (AR1),rents_mining,-.0095238107480673,.0030661857001725,.0018958695015267
ECI,Panel PCSE (AR1),rents_mining_x_inst,-.0010551348616883,.0069114991856708,.878663508487372
ECI,Panel PCSE (AR1),log_oilpc,.0070817802413237,.0171731788118814,.6800649841566078
ECI,Panel PCSE (AR1),log_gaspc,.0249055597152148,.0195492578494482,.2026669473653165
ECI,Panel PCSE (AR1),log_coalpc,.0125383013470405,.0158664538758649,.4293878098333408
ECI,Panel PCSE (AR1),hhi,-.5291681219445159,.1370281706543818,.0001125791332872
ECI,Panel PCSE (AR1),pexp,-.0037633061403797,.0010373471097582,.0002858270258183
ECI,Panel PCSE (AR1),fexp,-.0065956567988351,.001114026843024,3.20857660907e-09
ECI,Panel PCSE (AR1),vol,-.0005282769560971,.0020026869674533,.7919462960542736
ECI,Panel PCSE (AR1),rer,.0141163343439296,.0542135150406955,.7945675487978274
ECI,Panel PCSE (AR1),humcap,-.0189491018949768,.096354533476938,.8440934570225929
ECI,Panel PCSE (AR1),innov,-.0310326002659751,.028276606517332,.2724379517689088
ECI,Panel PCSE (AR1),net,-.0016492855433226,.0010101337600804,.1025237434039534
ECI,Panel PCSE (AR1),log_gdppc,-.069562224628506,.1011435607234945,.4916056148149626
ECI,Panel PCSE (AR1),govcons,-.0020169892050224,.0047461935836933,.6708586491807569
ECI,Panel PCSE (AR1),fin,-.0001696662589073,.0009360973277301,.8561725086823734
