model,component,variable,beta,se,pval
ECI,Tendencia Largo Plazo,rents_oil_gas,-.0072129683699272,.0050814474220865,.1622236406137466
ECI,Tendencia Largo Plazo,inst,.3275282166290852,.1258521310649514,.012274126585895
ECI,Tendencia Largo Plazo,rents_oil_gas_x_inst,-.0073172751186892,.004042934829056,.0765757388599531
ECI,Tendencia Largo Plazo,rents_mining,-.0135041181733497,.0033656117879677,.0002096325997299
ECI,Tendencia Largo Plazo,rents_mining_x_inst,-.002339065289655,.0037054705137755,.5308740180357199
ECI,Tendencia Largo Plazo,log_oilpc,.0242913473100037,.0347699940715049,.4881548012475303
ECI,Tendencia Largo Plazo,log_gaspc,.0492086975085365,.0343635848985107,.1586235114836831
ECI,Tendencia Largo Plazo,log_coalpc,.0169605739883078,.0250583100694508,.5017537269438366
ECI,Tendencia Largo Plazo,hhi,-.4164699569609747,.1893593551773335,.0327018209506328
ECI,Tendencia Largo Plazo,pexp,-.0027456488853268,.0015150487390215,.0762049360408497
ECI,Tendencia Largo Plazo,fexp,-.0051038477178143,.0018840571126678,.0093279138992709
ECI,Tendencia Largo Plazo,vol,-.0029061741993951,.0023515407071276,.2225248845381983
ECI,Tendencia Largo Plazo,rer,-.0876099150098107,.0809800232060556,.2847153373689209
ECI,Tendencia Largo Plazo,humcap,-.026337042802227,.210503254362844,.9009553189153866
ECI,Tendencia Largo Plazo,innov,-.029819719932505,.0486947988278992,.5431767065816147
ECI,Tendencia Largo Plazo,net,-.0013805701471913,.0018630383505477,.4622843454570433
ECI,Tendencia Largo Plazo,log_gdppc,-.0735102823446152,.2058517408268565,.72257992709383
ECI,Tendencia Largo Plazo,govcons,-.0066344229882885,.006679496815034,.3255680792582257
ECI,Tendencia Largo Plazo,fin,-.0011170138231054,.0023422659312357,.6356013088709367
ECI,Ciclo Corto Plazo,rents_oil_gas,-.000041232202025,.0017868357830464,.98168567912095
ECI,Ciclo Corto Plazo,inst,-.059659043614988,.0245659644578721,.0189566081168986
ECI,Ciclo Corto Plazo,rents_oil_gas_x_inst,.0016633971353173,.0011026160768518,.1379578003799184
ECI,Ciclo Corto Plazo,rents_mining,-.0000933076526765,.0012856009459839,.9424427183904458
ECI,Ciclo Corto Plazo,rents_mining_x_inst,.0002122328750559,.0011473753119304,.8540299684884817
ECI,Ciclo Corto Plazo,log_oilpc,.0014770078132116,.0063648206106375,.8174794725458174
ECI,Ciclo Corto Plazo,log_gaspc,-.009511011077932,.0064789833753082,.1486327548042589
ECI,Ciclo Corto Plazo,log_coalpc,.0033080092170776,.0052284084957978,.5299328869992155
ECI,Ciclo Corto Plazo,hhi,-.1581917329276057,.0754681201243971,.0413662825886017
ECI,Ciclo Corto Plazo,pexp,-.0014876790702821,.0005033689590147,.0048277689418699
ECI,Ciclo Corto Plazo,fexp,-.0018973049286217,.000593978312891,.0024775376533967
ECI,Ciclo Corto Plazo,vol,.0006954106703147,.001487260579648,.6422021755850313
ECI,Ciclo Corto Plazo,rer,.0050046650216588,.033744592566505,.8827193218838685
ECI,Ciclo Corto Plazo,humcap,-.0311422145468508,.0497021779113474,.5339056787316114
ECI,Ciclo Corto Plazo,innov,-.0050571068335615,.0122172526492459,.6807680087261161
ECI,Ciclo Corto Plazo,net,-.0000656202864383,.0003957773672579,.8690099402317508
ECI,Ciclo Corto Plazo,log_gdppc,.0252890960704067,.0346406832563312,.4689136158566645
ECI,Ciclo Corto Plazo,govcons,.0010745638116939,.0034825377373846,.7589932223213109
ECI,Ciclo Corto Plazo,fin,.000137891180406,.0003167552757652,.6652785156287484
