outcome,shock_var,horizon,beta,se,pval,ci_lower,ci_upper
ECI,rents_oil_gas,0,-.0072542005719523,.0057355305102628,.2120555652876384,-.0187862575693009,.0042778564253963
ECI,rents_mining,0,-.0135974258260262,.0039144448223894,.0010980716165416,-.0214679446427245,-.0057269070093279
ECI,rents_oil_gas,1,-.0125661639437044,.0047216661294091,.010553322575699,-.0220597099773914,-.0030726179100174
ECI,rents_mining,1,-.0143647515788186,.0045331391752401,.0026631726184754,-.0234792387657044,-.0052502643919328
ECI,rents_oil_gas,2,-.0146570913838659,.0061806915686832,.0217793645976347,-.0270842046780154,-.0022299780897164
ECI,rents_mining,2,-.0142512274920414,.0047205026411419,.0040531689598161,-.0237424341757783,-.0047600208083045
ECI,rents_oil_gas,3,-.0160641314685684,.0050956632135494,.0027892774158458,-.026309649038878,-.0058186138982588
ECI,rents_mining,3,-.0148128329500262,.0042120579630611,.0009656554968657,-.0232817430916848,-.0063439228083676
ECI,rents_oil_gas,4,-.0120914529333775,.0041862305273451,.0057932560738683,-.0205084335350852,-.0036744723316698
ECI,rents_mining,4,-.011649759806152,.0043437856840116,.0100069229534815,-.0203835262820963,-.0029159933302077
ECI,rents_oil_gas,5,-.0113260424029747,.0049519808147962,.02663584291758,-.0212826671482923,-.0013694176576571
ECI,rents_mining,5,-.0136242223015728,.0045757453387884,.0045447073646541,-.0228243749217778,-.0044240696813678
DIVX,rents_oil_gas,0,-.0048487999837241,.0013854586456797,.0010159024828258,-.0076344512919787,-.0020631486754695
DIVX,rents_mining,0,-.0014128563697214,.0018924190190461,.4589539247370548,-.0052178198254046,.0023921070859618
DIVX,rents_oil_gas,1,-.0038120651624651,.0011712586153501,.0020837287086896,-.0061670384446548,-.0014570918802754
DIVX,rents_mining,1,.0002261135955061,.0021187933908114,.9154574129244772,-.0040340060402838,.004486233231296
DIVX,rents_oil_gas,2,-.0028669672221841,.0009682021996202,.0047532965426931,-.0048136682171487,-.0009202662272195
DIVX,rents_mining,2,.0005282020548397,.0023120629545478,.8202631336607622,-.0041205120833895,.0051769161930689
DIVX,rents_oil_gas,3,-.0029972272323815,.0008662636567926,.0011436745038716,-.0047389670499954,-.0012554874147676
DIVX,rents_mining,3,-.0018588051018419,.0018363038769477,.3164924096648813,-.0055509415023931,.0018333312987093
DIVX,rents_oil_gas,4,-.0017658311616795,.0010977668190367,.1142695591673272,-.0039730392838013,.0004413769604423
DIVX,rents_mining,4,-.0041174638724587,.0013161809810046,.0029863930307027,-.0067638231001905,-.0014711046447269
DIVX,rents_oil_gas,5,-.0017698999159435,.0010951357602743,.1126171076367557,-.0039718179398682,.0004320181079812
DIVX,rents_mining,5,-.0040458922303933,.0017249835725663,.0231837283231063,-.0075142041577259,-.0005775803030607
