variable,divx,rents,inst,rents_x_inst,log_oilpc,log_gaspc,log_coalpc,pexp,fexp,vol,rer,humcap,innov,net,log_gdppc,govcons,fin
divx,1,-.6382121848980852,.2878385200235103,.5209207084787468,-.3549592160543134,-.0892740545597594,.3225226932748468,.3576786150312875,-.633088658356649,-.4436889881638592,-.0650273791174252,.2360592492098781,.1895809764141995,.1562271477251022,-.0759656687269325,-.1545300137243903,.3472907381727347
rents,-.6382121848980852,1,-.0536408881807274,-.4023624895472355,.7406891970194802,.4926297877649059,-.1046317701832291,-.4937955192401655,.7506740698915023,.4759036097301703,.0220517372300193,.0270407879630074,.1275196647109443,.0220821303503846,.435962422899398,.1926959983053313,-.0663208332433425
inst,.2878385200235103,-.0536408881807274,1,.6143529265328243,.2081456304268476,.46248667752406,.2124307907189365,-.0827558704692317,-.0500987467076352,.0964147254761903,.5456571208536152,.6869535622356538,.7995418067845353,.610202237697957,.7310503885303343,.3440325212581557,.7606800346978658
rents_x_inst,.5209207084787468,-.4023624895472355,.6143529265328243,1,-.0540738264996273,.2670437268441283,.0709758388174455,.145046886124984,-.2940147905279745,-.1145528033637815,.1608667452596153,.2632476595783856,.4042420921340862,.3719708101573591,.2963061792836192,-.0035752063587957,.4437001736673757
log_oilpc,-.3549592160543134,.7406891970194802,.2081456304268476,-.0540738264996273,1,.7880028748751785,.0305740286639754,-.6326334250475092,.7983960985731721,.4539520722696643,.14211919137535,.3219437391665379,.4101034946046906,.3100280312293066,.6991039409375874,.1433183493139732,.2139743351856201
log_gaspc,-.0892740545597594,.4926297877649059,.46248667752406,.2670437268441283,.7880028748751785,1,.0305904308252353,-.5697452115636725,.6183048583808187,.457472987719276,.2191338661528865,.4692879060853214,.6253804302589435,.4988105969123224,.767674580838722,.244255834907112,.4526841590300564
log_coalpc,.3225226932748468,-.1046317701832291,.2124307907189365,.0709758388174455,.0305740286639754,.0305904308252353,1,.0980538766159819,-.1368226759087607,-.1622458026011303,.0592933303082489,.2768429212454131,.2407928406240361,.1499887428282597,.1027595310862785,.0016686203801318,.4032024353546466
pexp,.3576786150312875,-.4937955192401655,-.0827558704692317,.145046886124984,-.6326334250475092,-.5697452115636725,.0980538766159819,1,-.6854961509270578,-.4269300311718082,-.0720170539069572,-.2169734670097327,-.2981296402651998,-.2068992114397833,-.4786225429350972,-.170112100838924,-.1186290957579512
fexp,-.633088658356649,.7506740698915023,-.0500987467076352,-.2940147905279745,.7983960985731721,.6183048583808187,-.1368226759087607,-.6854961509270578,1,.57233055064408,.0678368243348648,.063211564625561,.1945184735672615,.1064220089980649,.4688702789559013,.2066642447513348,-.0631533261596547
vol,-.4436889881638592,.4759036097301703,.0964147254761903,-.1145528033637815,.4539520722696643,.457472987719276,-.1622458026011303,-.4269300311718082,.57233055064408,1,.1919712682218263,.1977063026424535,.2627842427580262,.297393179012396,.389089999060587,.2793531138409487,.0671234357662275
rer,-.0650273791174252,.0220517372300193,.5456571208536152,.1608667452596153,.14211919137535,.2191338661528865,.0592933303082489,-.0720170539069572,.0678368243348648,.1919712682218263,1,.5711254014813117,.5062951348220048,.5407059038936124,.5014577425916456,.3566821145306836,.4418742815602337
humcap,.2360592492098781,.0270407879630074,.6869535622356538,.2632476595783856,.3219437391665379,.4692879060853214,.2768429212454131,-.2169734670097327,.063211564625561,.1977063026424535,.5711254014813117,1,.7862052274011189,.7113143543361776,.7488381545038217,.3538587925218157,.6644179342949976
innov,.1895809764141995,.1275196647109443,.7995418067845353,.4042420921340862,.4101034946046906,.6253804302589435,.2407928406240361,-.2981296402651998,.1945184735672615,.2627842427580262,.5062951348220048,.7862052274011189,1,.7220030098522094,.8080426858529343,.4123606064189594,.7261065069391636
net,.1562271477251022,.0220821303503846,.610202237697957,.3719708101573591,.3100280312293066,.4988105969123224,.1499887428282597,-.2068992114397833,.1064220089980649,.297393179012396,.5407059038936124,.7113143543361776,.7220030098522094,1,.6520652364131646,.2998588591419666,.6623055858792488
log_gdppc,-.0759656687269325,.435962422899398,.7310503885303343,.2963061792836192,.6991039409375874,.767674580838722,.1027595310862785,-.4786225429350972,.4688702789559013,.389089999060587,.5014577425916456,.7488381545038217,.8080426858529343,.6520652364131646,1,.4117314568942563,.5984228572810814
govcons,-.1545300137243903,.1926959983053313,.3440325212581557,-.0035752063587957,.1433183493139732,.244255834907112,.0016686203801318,-.170112100838924,.2066642447513348,.2793531138409487,.3566821145306836,.3538587925218157,.4123606064189594,.2998588591419666,.4117314568942563,1,.2897950962041345
fin,.3472907381727347,-.0663208332433425,.7606800346978658,.4437001736673757,.2139743351856201,.4526841590300564,.4032024353546466,-.1186290957579512,-.0631533261596547,.0671234357662275,.4418742815602337,.6644179342949976,.7261065069391636,.6623055858792488,.5984228572810814,.2897950962041345,1
