analysis_sample,variable,observations,zeros,zero_percent,mean,sd,min,p25,median,p75,max
ESTIMATION,divx,1044,0,0,.7493628238761009,.21521232,.016017606,.64788193,.81712657,.91121006,.98790681
ESTIMATION,eci,1044,0,0,-.4097585818347701,.86290097,-2.9010394,-1.0056864,-.34998724,.26447293,1.2825152
ESTIMATION,fexp,1044,3,.29,34.60990668490096,32.315815,0,4.2703772,24.812267,59.510387,99.325035
ESTIMATION,fin,1044,0,0,35.70888273422737,27.92264,.44918296,13.26777,28.983568,51.800247,142.10426
ESTIMATION,govcons,1044,0,0,14.83159359082612,5.5889149,.91123462,11.160045,14.003025,18.090248,47.191559
ESTIMATION,hhi,1044,0,0,.2506371761238991,.21521232,.012093193,.088789955,.1828734,.3521181,.98398238
ESTIMATION,humcap,1044,0,0,2.448523352843528,.57006842,1.2047354,2.0609779,2.4999082,2.8594854,3.7297919
ESTIMATION,innov,1044,0,0,3.644897993876053,1.8378175,.12776071,2.2206998,3.5700421,5.0065885,7.8450785
ESTIMATION,inst,1044,0,0,-.270243508684546,.81133187,-1.9363129,-.8784681,-.39160648,.14134076,2.0902696
ESTIMATION,log_coalpc,1044,699,66.95,.7580700183537176,1.588534,0,0,0,.24555266,7.3675814
ESTIMATION,log_gaspc,1044,294,28.16,2.461333665641401,2.6044447,0,0,1.5447528,4.7464585,8.9704313
ESTIMATION,log_gdppc,1044,0,0,9.401348792345546,1.1866046,6.8345962,8.7218933,9.3727922,10.237544,11.91187
ESTIMATION,log_oilpc,1044,224,21.46,4.207264129113402,3.2004523,0,.66142589,4.2577786,6.8598685,10.127297
ESTIMATION,net,1044,2,.19,29.54568796484765,29.284925,0,3.8199999,19.919123,50.425205,100
ESTIMATION,pexp,1044,0,0,30.42859470289837,25.566545,.1347945,7.3803592,23.647558,50.342178,97.656174
ESTIMATION,rents,1044,79,7.57,12.41350878920966,13.729756,0,2.1542301,6.831039,18.638056,65.312958
ESTIMATION,rents_x_inst,1044,79,7.57,-3.951624528217116,15.12886,-106.69419,-6.4491267,-.76086336,.090532057,34.273895
ESTIMATION,rer,1044,0,0,-.9464319137255448,.39427051,-2.2306235,-1.1712232,-.95422018,-.72634959,.27942032
ESTIMATION,vol,1044,0,0,12.20983170925117,7.5115871,.78332031,6.353549,10.213748,16.363928,42.587971
PANEL_COMPLETE,divx,1430,0,0,.7275443078386237,.22581959,.016017606,.60495919,.80066425,.90345716,.98790681
PANEL_COMPLETE,eci,1430,0,0,-.4386357599516084,.90257818,-2.9010394,-1.0354139,-.38779974,.26860806,1.2825152
PANEL_COMPLETE,fexp,1430,10,.7000000000000001,35.24503895626614,33.583534,0,3.3412871,24.681566,64.398613,99.325035
PANEL_COMPLETE,fin,1328,0,0,32.52830939177941,27.186174,.44918296,11.477591,24.514624,47.171627,142.10426
PANEL_COMPLETE,govcons,1430,0,0,15.98258551750111,8.575326,.91123462,11.244499,14.322047,18.567638,73.83651
PANEL_COMPLETE,hhi,1430,0,0,.2724556921613763,.22581959,.012093193,.096542813,.19933572,.39504081,.98398238
PANEL_COMPLETE,humcap,1403,0,0,2.374436096500365,.58079565,1.1201597,1.9561377,2.4121428,2.7907066,3.7297919
PANEL_COMPLETE,innov,1430,15,1.05,3.398523224705345,1.8432992,0,2.0466709,3.2270577,4.7796593,7.8450785
PANEL_COMPLETE,inst,1257,0,0,-.3657046029700338,.82618886,-1.9363129,-.96437424,-.47907138,.096832037,2.0902696
PANEL_COMPLETE,log_coalpc,1384,958,69.22,.6736037790204799,1.4896159,0,0,0,.14262624,7.3675814
PANEL_COMPLETE,log_gaspc,1365,376,27.55,2.463053898898074,2.5522521,0,0,1.6068004,4.7500319,8.9704313
PANEL_COMPLETE,log_gdppc,1378,0,0,9.320600320380043,1.1783018,6.3676348,8.5759087,9.3115587,10.093853,11.91187
PANEL_COMPLETE,log_oilpc,1397,311,22.26,4.23530643916132,3.1907423,0,.29352945,4.3266058,6.8249331,10.127297
PANEL_COMPLETE,net,1379,3,.22,25.6428752372136,28.956541,0,1.8549992,12.917769,43.164001,100
PANEL_COMPLETE,pexp,1430,0,0,31.53752428454013,27.035442,.056909073,6.8009286,24.206772,52.838455,97.656174
PANEL_COMPLETE,rents,1352,100,7.4,13.1937557935059,14.159501,0,2.3608899,7.5618029,20.726442,66.027267
PANEL_COMPLETE,rents_x_inst,1197,86,7.18,-6.008625385438878,17.292089,-106.69419,-8.3712502,-1.3128594,.019007193,34.273895
PANEL_COMPLETE,rer,1352,0,0,-.9739841721033059,.47348782,-2.5693226,-1.2255114,-.9796679,-.74481636,3.1645789
PANEL_COMPLETE,vol,1403,0,0,12.14631482068894,7.5766044,.78332031,6.3045082,9.8644943,16.221598,42.587971
