country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
BDI,Burundi,BDI,1998,.1208674660969731,.0675799891268616,-6.539448929177835,0,1,1,DIVX,.237550896520383,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2003,.0795215376972846,.0261045378494827,-5.127221287183484,0,1,1,DIVX,.318748486389221,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2006,.0806081164555374,.0240589206865561,-4.886058277512168,0,1,1,DIVX,.315883879619409,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2018,.0974032669285236,.0239577355350097,-4.394835525541399,0,1,1,DIVX,.345738628747758,.1666666666666667,.0038314176245211
GMB,The Gambia,GMB,1996,.1244728648175917,.0220616532045088,-3.674312716031855,0,1,1,DIVX,.449002979601359,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2002,.0829964462746418,.0210969015500424,-4.503236182875202,0,1,1,DIVX,.382450256042501,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2019,.0976025724782144,.0200540668027805,-4.016327760613536,0,1,1,DIVX,.377487391766622,.1666666666666667,.0038314176245211
IRN,Iran,IRN,2016,.0960271731016666,.0176766328375427,3.804871664066713,0,1,1,DIVX,.915227745108491,.1666666666666667,.0038314176245211
LBR,Liberia,LBR,2004,.088663416320645,.0169566104941965,-3.894003343029731,0,1,1,DIVX,.421498438757196,.1666666666666667,.0038314176245211
LBR,Liberia,LBR,2005,.0838859833381669,.0168011145668648,-3.995385940370248,0,1,1,DIVX,.404038791515113,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2017,.1135309248274226,.0167048568105893,-3.368648615488549,0,1,1,DIVX,.360059846869693,.1666666666666667,.0038314176245211
CAF,Central African Republic,CAF,2000,.1064304873020481,.0152669609722993,-3.339389444936556,0,1,1,DIVX,.499416970106045,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2014,.1059214229524619,.0139607271968227,3.201913445901496,0,1,1,DIVX,.8506434203637649,.1666666666666667,.0038314176245211
COG,Republic of the Congo,COG,1996,.1163797317369335,.0139245092757107,3.032799741148541,0,1,1,DIVX,.575844401388786,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2021,.112779257661356,.0136484949606621,3.056351051367679,0,1,1,DIVX,.919845415286601,.1666666666666667,.0038314176245211
BDI,Burundi,BDI,2000,.097390499057636,.0127456550927202,-3.205770011465503,0,1,1,DIVX,.488169015133907,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2004,.0877655089421587,.0126138224621089,-3.377336159832144,0,1,1,DIVX,.42006865146268,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2017,.0950155033633724,.0114126023188196,-3.07521370412186,0,1,1,DIVX,.395293742485273,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2009,.0775640337264862,.0108320058699943,3.347742073169484,0,1,1,DIVX,.958168827690615,.1666666666666667,.0038314176245211
IRN,Iran,IRN,2015,.0896096833419753,.0101714001813315,2.998377709298355,0,1,0,DIVX,.85750568866868,.1666666666666667,.0038314176245211
KWT,Kuwait,KWT,2005,.0857285204518892,.0098284491707895,3.019792110812951,0,1,1,DIVX,.5928204065454979,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2010,.0854916645040609,.0093093730612987,2.943416982636693,0,1,0,DIVX,.967013297892917,.1666666666666667,.0038314176245211
IRN,Iran,IRN,2013,.0895909666246206,.0089096597384915,2.806573069125908,0,1,0,DIVX,.774168156532334,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2005,.0893681530758297,.0085063786089739,2.746072548007912,0,1,0,DIVX,.869797916524804,.1666666666666667,.0038314176245211
IRQ,Iraq,IRQ,2020,.1217509272488959,.0082590680122088,2.276658330634255,0,1,0,DIVX,.367514207874692,.1666666666666667,.0038314176245211
GIN,Guinea,GIN,1996,.093476436581776,.008241074129506,-2.636877844085047,0,1,0,DIVX,.514500224128272,.1666666666666667,.0038314176245211
LBR,Liberia,LBR,2007,.0723882747682714,.0081122029200501,-3.007308839466133,0,1,1,DIVX,.515019121470664,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2012,.0847157013014472,.008053987395257,2.751446990213361,0,1,0,DIVX,.962344198943676,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2016,.0960713525764225,.008016733138776,-2.561701145212683,0,1,0,DIVX,.470668578805959,.1666666666666667,.0038314176245211
COD,Democratic Republic of the Congo,COD,2020,.0919200259764859,.0078603464902838,-2.599186552854708,0,1,0,DIVX,.60964666294631,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2005,.0722750487530464,.0078310915940765,-2.957237467926649,0,1,0,DIVX,.435670167004369,.1666666666666667,.0038314176245211
