variable,observations,countries,average_periods,mean,sd_overall,sd_between,sd_within,within_sd_ratio
divx,1044,49,21.30612244897959,.74936283,.215212316284091,.20208909,.084769644,.39388844
eci,1044,49,21.30612244897959,-.40975857,.8629009541373156,.828664,.28072086,.32532224
fexp,1044,49,21.30612244897959,34.609905,32.31581347728636,31.193331,9.6889553,.29982087
fin,1044,49,21.30612244897959,35.708881,27.9226407472856,25.769096,11.308404,.40499049
govcons,1044,49,21.30612244897959,14.831594,5.58891482027076,4.8133259,2.9110184,.52085572
hhi,1044,49,21.30612244897959,.25063717,.215212316284091,.20208909,.084769644,.39388844
humcap,1044,49,21.30612244897959,2.4485233,.570068416311227,.54603368,.17642847,.30948648
innov,1044,49,21.30612244897959,3.6448979,1.837817548824723,1.7662753,.57863873,.31485102
inst,1044,49,21.30612244897959,-.2702435,.8113318635510173,.80390668,.15811808,.19488707
log_coalpc,1044,49,21.30612244897959,.75806999,1.588534017274778,1.556574,.4375138,.27541986
log_gaspc,1044,49,21.30612244897959,2.4613338,2.604444784977153,2.5792584,.50304067,.193147
log_gdppc,1044,49,21.30612244897959,9.4013491,1.18660464358155,1.1843433,.17379281,.14646226
log_oilpc,1044,49,21.30612244897959,4.2072639,3.200452246917845,3.1555898,.63177139,.19740066
net,1044,49,21.30612244897959,29.545689,29.28492628722731,20.038805,21.512766,.73460203
pexp,1044,49,21.30612244897959,30.428595,25.56654590130593,23.996099,9.5829191,.37482259
rents,1044,49,21.30612244897959,12.413508,13.72975617073961,12.80459,5.6261654,.40977895
rents_x_inst,1044,49,21.30612244897959,-3.9516246,15.12886077528227,14.608282,5.6294336,.37209895
rer,1044,49,21.30612244897959,-.94643193,.3942705163224948,.33630389,.20391501,.5171957
vol,1044,49,21.30612244897959,12.209831,7.511587244282188,5.8731833,4.7823644,.63666493
