model,variable,vif,assessment
ECI_DISA,log_gdppc,1.563932765782046,LOW
ECI_DISA,fexp,1.502325449738365,LOW
ECI_DISA,log_oilpc,1.471099723220081,LOW
ECI_DISA,rents_oil_gas,1.406014226294017,LOW
ECI_DISA,hhi,1.396846610458968,LOW
ECI_DISA,innov,1.324995176082456,LOW
ECI_DISA,net,1.228732174466497,LOW
ECI_DISA,log_coalpc,1.214873997663966,LOW
ECI_DISA,fin,1.209509299864203,LOW
ECI_DISA,pexp,1.205144329942933,LOW
ECI_DISA,inst,1.155491255419462,LOW
ECI_DISA,vol,1.134546508012783,LOW
ECI_DISA,govcons,1.114193100901032,LOW
ECI_DISA,humcap,1.110153980387773,LOW
ECI_DISA,rents_mining,1.105185246395976,LOW
ECI_DISA,rer,1.096341484637499,LOW
ECI_DISA,log_gaspc,1.072590133761055,LOW
