order,term,xtreg_b,reghdfe_b,diff_b,xtreg_se,reghdfe_se,diff_se,match
1,rents_oil_gas,-.0072542005719523,-.0072542005,0,.0057355305,.0057355305,1.9553005e-12,1
2,rents_mining,-.0135974258260262,-.013597426,0,.0039144447,.0039144447,1.1199982e-13,1
3,inst,.2678691730140966,.26786917,4.9960036e-16,.13793421,.13793421,7.0010941e-12,1
4,log_oilpc,.0257683551232152,.025768355,9.7144515e-17,.036987416,.036987416,1.6047996e-12,1
5,log_gaspc,.0396976864306043,.039697688,1.0408341e-16,.03405828,.03405828,1.5596968e-12,1
6,log_coalpc,.0202685832053854,.020268584,1.0061396e-16,.025073234,.025073234,9.7129943e-13,1
7,hhi,-.5746616898885819,-.57466167,2.3314684e-15,.23361404,.23361404,1.8966773e-12,1
8,pexp,-.0042333279556088,-.0042333282,0,.0016052319,.0016052319,3.3000946e-15,1
9,fexp,-.0070011526464361,-.0070011527,0,.0019621705,.0019621705,8.2399799e-14,1
10,vol,-.0022107635290803,-.0022107635,0,.0026284442,.0026284442,1.9540012e-13,1
11,rer,-.0826052499881517,-.08260525,2.9143354e-16,.097568147,.097568147,2.8262948e-12,1
12,humcap,-.0574792573490785,-.057479259,2.9837244e-16,.2249334,.2249334,1.8112095e-11,1
13,innov,-.0348768267660669,-.034876827,3.9551695e-16,.049177185,.049177185,1.4985027e-12,1
14,net,-.0014461904336295,-.0014461904,0,.0020567039,.0020567039,5.6300017e-14,1
15,log_gdppc,-.0482211862742057,-.048221186,2.6992297e-15,.22147359,.22147359,5.3679006e-12,1
16,govcons,-.0055598591765945,-.0055598593,0,.0091508478,.0091508478,9.1300231e-14,1
17,fin,-.0009791226426994,-.00097912259,0,.0024123781,.0024123781,6.1699777e-14,1
