order,term,variable_label,channel,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
1,rents_oil_gas,rents_oil_gas,Institucional desagregado,-.0048487999837241,.0013854586,-3.4997797,.0010159025,-.0076344511,-.0020631487
2,rents_mining,rents_mining,Institucional desagregado,-.0014128563697215,.0018924191,-.74658751,.45895392,-.0052178199,.0023921072
3,inst,Calidad institucional (INST),Institucional desagregado,.0163219843559727,.027968707,.5835802,.56223512,-.039912868,.072556838
4,log_oilpc,log(1 + OILPC),Abundancia de recursos,.0088743388908937,.0084942365,1.0447483,.30137238,-.0082044685,.025953146
5,log_gaspc,log(1 + GASPC),Abundancia de recursos,.0047902634662268,.0065495837,.7313844,.46810007,-.0083785579,.017959084
6,log_coalpc,log(1 + COALPC),Abundancia de recursos,-.0135526847881415,.0072832434,-1.8608036,.068903245,-.028196627,.0010912571
7,pexp,Exp. primarias no energéticas (% exp. merc.),Estructura exportadora,.0015165414871231,.00063887087,2.3737841,.02165602,.00023200546,.0028010774
8,fexp,Exp. combustibles (% exp. merc.),Estructura exportadora,-.000928296852307,.00097116287,-.95586115,.34393194,-.0028809507,.0010243569
9,vol,Volatilidad términos de intercambio (VOL),Condiciones macroeconómicas,.0004515226271107,.0009574616,.47158301,.63936108,-.001473583,.0023766283
10,rer,Tipo de cambio real (log pl_gdpo),Condiciones macroeconómicas,-.0414011416594044,.035411824,-1.1691333,.24812324,-.11260138,.029799104
11,humcap,Capital humano (Índice retornos),Capacidades productivas,.1065592237513667,.042415868,2.512249,.015411726,.021276403,.19184205
12,innov,Innovación (log 1 + art. científ./millón hab),Capacidades productivas,.0102262984510551,.013702212,.74632466,.45911118,-.017323846,.037776444
13,net,Conectividad digital (% pob. internet),Capacidades productivas,-.0006446115553347,.00036277698,-1.7768811,.081925064,-.0013740235,.000084800442
14,log_gdppc,Nivel de desarrollo (log PIB pc PPA),Controles económicos y financieros,-.1410728664429199,.035880663,-3.9317241,.00027037304,-.21321577,-.068929963
15,govcons,Consumo del gobierno (% PIB),Controles económicos y financieros,.0029054701633957,.0017347144,1.6748983,.10045824,-.00058240682,.0063933474
16,fin,Profundidad financiera (Crédito bancario % PIB),Controles económicos y financieros,.000584373904385,.00035227058,1.658878,.10366161,-.00012391356,.0012926614
