model,excluded_id,excluded_iso3,term,base_b,b,se,p,obs,countries,sign_change,sig_5
ECI,1,AGO,RENTS,-.0097954691504722,-.0085851634,.0042445161,.048819866,1023,48,0,1
DIVX,1,AGO,RENTS,-.0035361282417884,-.003737177,.0013137928,.0065661427,1023,48,0,1
ECI,2,ALB,RENTS,-.0097954691504722,-.0096989805,.0041878936,.024972297,1021,48,0,1
DIVX,2,ALB,RENTS,-.0035361282417884,-.0035181537,.0012998106,.009442945,1021,48,0,1
ECI,3,ARE,RENTS,-.0097954691504722,-.010221225,.0041537187,.017594375,1021,48,0,1
DIVX,3,ARE,RENTS,-.0035361282417884,-.003630585,.0014132094,.013432856,1021,48,0,1
ECI,4,ATG,RENTS,-.0097954691504722,-.010622417,.0041596103,.013961626,1023,48,0,1
DIVX,4,ATG,RENTS,-.0035361282417884,-.0036360575,.0012844732,.0068122102,1023,48,0,1
ECI,5,AUS,RENTS,-.0097954691504722,-.0093508335,.0043650325,.037387669,1024,48,0,1
DIVX,5,AUS,RENTS,-.0035361282417884,-.0030218407,.0012817577,.022609556,1024,48,0,1
ECI,6,BDI,RENTS,-.0097954691504722,-.0095492648,.0042654639,.029946508,1021,48,0,1
DIVX,6,BDI,RENTS,-.0035361282417884,-.0034192938,.0012832291,.010528495,1021,48,0,1
ECI,7,BHR,RENTS,-.0097954691504722,-.010110219,.0041902983,.019786011,1027,48,0,1
DIVX,7,BHR,RENTS,-.0035361282417884,-.0035439916,.0012983838,.008896823,1027,48,0,1
ECI,8,BOL,RENTS,-.0097954691504722,-.0097741392,.0043016048,.027691551,1021,48,0,1
DIVX,8,BOL,RENTS,-.0035361282417884,-.003539725,.0013159547,.0098638451,1021,48,0,1
ECI,9,BRN,RENTS,-.0097954691504722,-.0066983458,.0033649516,.05235517,1023,48,0,0
DIVX,9,BRN,RENTS,-.0035361282417884,-.0036597345,.0013533721,.0095046265,1023,48,0,1
ECI,10,CAF,RENTS,-.0097954691504722,-.0099699348,.0043388666,.026069237,1023,48,0,1
DIVX,10,CAF,RENTS,-.0035361282417884,-.0033493685,.0012670229,.011115307,1023,48,0,1
ECI,11,CHL,RENTS,-.0097954691504722,-.010328373,.0043961313,.023055932,1021,48,0,1
DIVX,11,CHL,RENTS,-.0035361282417884,-.0032168389,.0013837952,.024461294,1021,48,0,1
ECI,12,CMR,RENTS,-.0097954691504722,-.0093402723,.0042161248,.031616356,1024,48,0,1
DIVX,12,CMR,RENTS,-.0035361282417884,-.0035597624,.0013061218,.0089924317,1024,48,0,1
ECI,13,COD,RENTS,-.0097954691504722,-.0098088738,.0042807525,.026468355,1026,48,0,1
DIVX,13,COD,RENTS,-.0035361282417884,-.0031587314,.0012807996,.017358642,1026,48,0,1
ECI,14,COG,RENTS,-.0097954691504722,-.0089106122,.0041617346,.037483867,1023,48,0,1
DIVX,14,COG,RENTS,-.0035361282417884,-.0034423687,.0013095343,.01154445,1023,48,0,1
ECI,15,COL,RENTS,-.0097954691504722,-.0099178841,.0042802221,.024902036,1021,48,0,1
DIVX,15,COL,RENTS,-.0035361282417884,-.0035591412,.0013035112,.0088762827,1021,48,0,1
ECI,16,DZA,RENTS,-.0097954691504722,-.0095979804,.004042719,.021726366,1021,48,0,1
DIVX,16,DZA,RENTS,-.0035361282417884,-.0034772684,.0012997534,.010241259,1021,48,0,1
ECI,17,ECU,RENTS,-.0097954691504722,-.0096700462,.0041645663,.02461713,1021,48,0,1
DIVX,17,ECU,RENTS,-.0035361282417884,-.0035476042,.0013007285,.0089467252,1021,48,0,1
ECI,18,EGY,RENTS,-.0097954691504722,-.0099999681,.0041949865,.021226224,1021,48,0,1
DIVX,18,EGY,RENTS,-.0035361282417884,-.0035443348,.0012922046,.0085924286,1021,48,0,1
ECI,19,GAB,RENTS,-.0097954691504722,-.010095746,.0042973226,.02306216,1023,48,0,1
DIVX,19,GAB,RENTS,-.0035361282417884,-.003382718,.0013354754,.014706986,1023,48,0,1
ECI,20,GHA,RENTS,-.0097954691504722,-.009381216,.0042534745,.032342777,1021,48,0,1
DIVX,20,GHA,RENTS,-.0035361282417884,-.0035457516,.0013100384,.0094445413,1021,48,0,1
ECI,21,GIN,RENTS,-.0097954691504722,-.010215219,.0042516962,.020279955,1021,48,0,1
DIVX,21,GIN,RENTS,-.0035361282417884,-.0035809348,.0013033387,.0084884232,1021,48,0,1
ECI,22,GMB,RENTS,-.0097954691504722,-.009764432,.0041584484,.023129402,1023,48,0,1
DIVX,22,GMB,RENTS,-.0035361282417884,-.0033844726,.0012766882,.0109039,1023,48,0,1
ECI,23,GUY,RENTS,-.0097954691504722,-.010277786,.0042961598,.020792838,1021,48,0,1
