model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries
DIVX,1,AGO,c.rents_mining#c.inst,-.0008969832927308,-.00090437831,.0022465833,.68909919,1023,48
DIVX,2,ALB,c.rents_mining#c.inst,-.0008969832927308,-.00085102156,.0022550293,.7075839,1021,48
DIVX,3,ARE,c.rents_mining#c.inst,-.0008969832927308,-.00087879988,.0022546728,.69846863,1021,48
DIVX,4,ATG,c.rents_mining#c.inst,-.0008969832927308,-.001197862,.0022755228,.60107768,1023,48
DIVX,5,AUS,c.rents_mining#c.inst,-.0008969832927308,.0002822105,.0027630879,.9190833,1024,48
DIVX,6,BDI,c.rents_mining#c.inst,-.0008969832927308,-.00088783319,.0023155236,.70313245,1021,48
DIVX,7,BHR,c.rents_mining#c.inst,-.0008969832927308,-.00090657378,.0022684576,.6912297,1027,48
DIVX,8,BOL,c.rents_mining#c.inst,-.0008969832927308,-.0010221216,.0022773249,.65562016,1021,48
DIVX,9,BRN,c.rents_mining#c.inst,-.0008969832927308,-.00083941431,.0022273709,.70797139,1023,48
DIVX,10,CAF,c.rents_mining#c.inst,-.0008969832927308,-.00090580044,.0022046538,.68304366,1023,48
DIVX,11,CHL,c.rents_mining#c.inst,-.0008969832927308,.0016386471,.0037881299,.66730267,1021,48
DIVX,12,CMR,c.rents_mining#c.inst,-.0008969832927308,-.00090316992,.0022743233,.69307965,1024,48
DIVX,13,COD,c.rents_mining#c.inst,-.0008969832927308,-.0028819155,.0016191407,.081557289,1026,48
DIVX,14,COG,c.rents_mining#c.inst,-.0008969832927308,-.0010044751,.002244168,.65650278,1023,48
DIVX,15,COL,c.rents_mining#c.inst,-.0008969832927308,-.00091967295,.0022418282,.6834988,1021,48
DIVX,16,DZA,c.rents_mining#c.inst,-.0008969832927308,-.00093478622,.0022635816,.68150824,1021,48
DIVX,17,ECU,c.rents_mining#c.inst,-.0008969832927308,-.0009355853,.0022581366,.68052655,1021,48
DIVX,18,EGY,c.rents_mining#c.inst,-.0008969832927308,-.0008545171,.0022601699,.70707601,1021,48
DIVX,19,GAB,c.rents_mining#c.inst,-.0008969832927308,-.00089083397,.0022730883,.69690007,1023,48
DIVX,20,GHA,c.rents_mining#c.inst,-.0008969832927308,-.00097404432,.0022850779,.67186219,1021,48
DIVX,21,GIN,c.rents_mining#c.inst,-.0008969832927308,-.00040063637,.0023309384,.86427158,1021,48
DIVX,22,GMB,c.rents_mining#c.inst,-.0008969832927308,-.00093915453,.0022384254,.67671829,1023,48
DIVX,23,GUY,c.rents_mining#c.inst,-.0008969832927308,-.00092796492,.0022263436,.6787141,1021,48
DIVX,24,IDN,c.rents_mining#c.inst,-.0008969832927308,-.00088771235,.0022774187,.69845349,1021,48
DIVX,25,IND,c.rents_mining#c.inst,-.0008969832927308,-.00087134197,.0022459889,.69980115,1021,48
DIVX,26,IRN,c.rents_mining#c.inst,-.0008969832927308,-.0010044839,.0022379076,.65560293,1026,48
DIVX,27,IRQ,c.rents_mining#c.inst,-.0008969832927308,-.00093358714,.0022458464,.67952508,1026,48
DIVX,28,ISR,c.rents_mining#c.inst,-.0008969832927308,-.00087635271,.0022404415,.69745266,1021,48
DIVX,29,JAM,c.rents_mining#c.inst,-.0008969832927308,-.00079394481,.0023090011,.73249435,1021,48
DIVX,30,JOR,c.rents_mining#c.inst,-.0008969832927308,-.00081831741,.002307337,.72443163,1021,48
DIVX,31,KWT,c.rents_mining#c.inst,-.0008969832927308,-.00092152599,.0022706881,.68670517,1022,48
DIVX,32,LBR,c.rents_mining#c.inst,-.0008969832927308,-.00073551544,.002107189,.72861034,1023,48
DIVX,34,MNG,c.rents_mining#c.inst,-.0008969832927308,-.0010152404,.0022238051,.65010959,1023,48
DIVX,35,MRT,c.rents_mining#c.inst,-.0008969832927308,-.00095166918,.0023921279,.69255406,1029,48
DIVX,36,NGA,c.rents_mining#c.inst,-.0008969832927308,-.00088310055,.0022515967,.69667542,1021,48
DIVX,37,NOR,c.rents_mining#c.inst,-.0008969832927308,-.00090144144,.0022822618,.6946466,1021,48
DIVX,39,OMN,c.rents_mining#c.inst,-.0008969832927308,-.00090770342,.0022763463,.69187999,1023,48
DIVX,40,PER,c.rents_mining#c.inst,-.0008969832927308,-.00084642495,.0022975632,.71422833,1021,48
DIVX,42,QAT,c.rents_mining#c.inst,-.0008969832927308,-.0011077659,.0022378534,.62289745,1021,48
DIVX,43,RUS,c.rents_mining#c.inst,-.0008969832927308,-.00089470972,.0022529766,.69307417,1024,48
DIVX,44,SAU,c.rents_mining#c.inst,-.0008969832927308,-.00088891725,.0022528342,.69493973,1025,48
DIVX,46,SUR,c.rents_mining#c.inst,-.0008969832927308,-.0019905053,.0015663846,.21006663,1028,48
DIVX,47,SYC,c.rents_mining#c.inst,-.0008969832927308,-.00094963284,.0022580763,.67600077,1024,48
DIVX,48,SYR,c.rents_mining#c.inst,-.0008969832927308,-.00090448081,.0022579483,.69054717,1031,48
DIVX,49,TGO,c.rents_mining#c.inst,-.0008969832927308,-.0011026345,.0023199124,.6367808,1021,48
DIVX,50,TTO,c.rents_mining#c.inst,-.0008969832927308,-.00090771198,.0022716799,.69127792,1021,48
DIVX,52,VNM,c.rents_mining#c.inst,-.0008969832927308,-.00080454303,.0022731947,.72497708,1021,48
DIVX,54,ZAF,c.rents_mining#c.inst,-.0008969832927308,-.00079890533,.0023316338,.73339885,1021,48
DIVX,55,ZMB,c.rents_mining#c.inst,-.0008969832927308,-.00062482391,.0022584153,.78325063,1021,48
DIVX,1,AGO,c.rents_oil_gas#c.inst,.0012093830587751,.0016911873,.0014082476,.23580112,1023,48
DIVX,2,ALB,c.rents_oil_gas#c.inst,.0012093830587751,.0012319819,.0013141549,.35330904,1021,48
DIVX,3,ARE,c.rents_oil_gas#c.inst,.0012093830587751,.0010809937,.0014432733,.45759699,1021,48
DIVX,4,ATG,c.rents_oil_gas#c.inst,.0012093830587751,.0010929921,.0012701327,.39386347,1023,48
DIVX,5,AUS,c.rents_oil_gas#c.inst,.0012093830587751,.0014044741,.0012965476,.28422728,1024,48
DIVX,6,BDI,c.rents_oil_gas#c.inst,.0012093830587751,.0011219828,.001303632,.39379513,1021,48
DIVX,7,BHR,c.rents_oil_gas#c.inst,.0012093830587751,.0012109829,.001302659,.35731614,1027,48
DIVX,8,BOL,c.rents_oil_gas#c.inst,.0012093830587751,.0011249802,.0013309491,.40225568,1021,48
DIVX,9,BRN,c.rents_oil_gas#c.inst,.0012093830587751,.0011255789,.0013887341,.42173392,1023,48
DIVX,10,CAF,c.rents_oil_gas#c.inst,.0012093830587751,.0013404766,.0012891714,.30375391,1023,48
DIVX,11,CHL,c.rents_oil_gas#c.inst,.0012093830587751,.0011690556,.0013112929,.37718704,1021,48
DIVX,12,CMR,c.rents_oil_gas#c.inst,.0012093830587751,.0011682868,.0012980624,.37269622,1024,48
DIVX,13,COD,c.rents_oil_gas#c.inst,.0012093830587751,.0014683492,.0012601682,.2498174,1026,48
DIVX,14,COG,c.rents_oil_gas#c.inst,.0012093830587751,.00060062157,.0012273082,.6268481,1023,48
