model,percentile,inst_val,marginal_effect,standard_error,t_stat,p_val,ci_lower,ci_upper,significance
DIVX,P10,-1.23937289999999,-.0047108568,.0012094987,-3.8948836,.000098245881,-.0070814309,-.002340283,1%
DIVX,P25,-.8784681166666666,-.0043687765,.0010398979,-4.201159,.000026555206,-.0064069391,-.002330614,1%
DIVX,P50,-.3916064666666665,-.0039073089,.0010702872,-3.6507108,.00026151564,-.0060050334,-.0018095846,1%
DIVX,P75,.141340766666667,-.0034021595,.001406357,-2.4191294,.015557702,-.0061585689,-.00064575061,5%
DIVX,P90,.9154543000000001,-.0026684229,.0021460704,-1.2433995,.21372065,-.0068746437,.0015377979,No
ECI,P10,-1.23937289999999,-.0033524234,.0044218241,-.75815398,.4483588,-.012019039,.0053141923,No
ECI,P25,-.8784681166666666,-.0052286354,.0038947724,-1.3424752,.17944196,-.012862248,.002404978,No
ECI,P50,-.3916064666666665,-.0077596507,.0037653677,-2.0607948,.039322611,-.015139636,-.00037966549,5%
ECI,P75,.141340766666667,-.010530248,.0044242456,-2.3801229,.017306864,-.01920161,-.0018588863,5%
ECI,P90,.9154543000000001,-.014554581,.0062830774,-2.3164732,.020532446,-.026869187,-.0022399751,5%
