model,variable,available,missing,coverage_percent
DIVX,divx,1430,0,100.00
DIVX,fexp,1430,0,100.00
DIVX,fin,1328,102,92.87
DIVX,govcons,1430,0,100.00
DIVX,humcap,1403,27,98.11
DIVX,innov,1430,0,100.00
DIVX,inst,1257,173,87.90
DIVX,ln1p_coalpc,1384,46,96.78
DIVX,ln1p_gaspc,1365,65,95.45
DIVX,ln1p_oilpc,1397,33,97.69
DIVX,log_gdppc,1378,52,96.36
DIVX,net,1379,51,96.43
DIVX,pexp,1430,0,100.00
DIVX,rents,1352,78,94.55
DIVX,rents_x_inst,1197,233,83.71
DIVX,rer,1352,78,94.55
DIVX,vol,1403,27,98.11
ECI,eci,1430,0,100.00
ECI,fexp,1430,0,100.00
ECI,fin,1328,102,92.87
ECI,govcons,1430,0,100.00
ECI,hhi,1430,0,100.00
ECI,humcap,1403,27,98.11
ECI,innov,1430,0,100.00
ECI,inst,1257,173,87.90
ECI,ln1p_coalpc,1384,46,96.78
ECI,ln1p_gaspc,1365,65,95.45
ECI,ln1p_oilpc,1397,33,97.69
ECI,log_gdppc,1378,52,96.36
ECI,net,1379,51,96.43
ECI,pexp,1430,0,100.00
ECI,rents,1352,78,94.55
ECI,rents_x_inst,1197,233,83.71
ECI,rer,1352,78,94.55
ECI,vol,1403,27,98.11
