country_iso3_code,country,country_id,eligible_eci,observations_eci,first_year_eci,last_year_eci,observed_span_eci,internal_missing_eci,leading_missing_eci,trailing_missing_eci,temporal_status_eci,eligible_divx,observations_divx,first_year_divx,last_year_divx,observed_span_divx,internal_missing_divx,leading_missing_divx,trailing_missing_divx,temporal_status_divx
AGO,Angola,AGO,1,21,2000,2021,22,1,4,0,INTERRUPTED,1,21,2000,2021,22,1,4,0,INTERRUPTED
ALB,Albania,ALB,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
ARE,United Arab Emirates,ARE,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
ATG,Antigua and Barbuda,ATG,1,21,2000,2021,22,1,4,0,INTERRUPTED,1,21,2000,2021,22,1,4,0,INTERRUPTED
AUS,Australia,AUS,1,20,1996,2021,26,6,0,0,INTERRUPTED,1,20,1996,2021,26,6,0,0,INTERRUPTED
BDI,Burundi,BDI,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
BHR,Bahrain,BHR,1,17,1996,2015,20,3,0,6,INTERRUPTED,1,17,1996,2015,20,3,0,6,INTERRUPTED
BOL,Bolivia,BOL,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
BRN,Brunei,BRN,1,21,2000,2021,22,1,4,0,INTERRUPTED,1,21,2000,2021,22,1,4,0,INTERRUPTED
CAF,Central African Republic,CAF,1,21,1996,2019,24,3,0,2,INTERRUPTED,1,21,1996,2019,24,3,0,2,INTERRUPTED
CHL,Chile,CHL,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
CMR,Cameroon,CMR,1,20,1998,2019,22,2,2,2,INTERRUPTED,1,20,1998,2019,22,2,2,2,INTERRUPTED
COD,Democratic Republic of the Congo,COD,1,18,2000,2021,22,4,4,0,INTERRUPTED,1,18,2000,2021,22,4,4,0,INTERRUPTED
COG,Republic of the Congo,COG,1,21,1996,2021,26,5,0,0,INTERRUPTED,1,21,1996,2021,26,5,0,0,INTERRUPTED
COL,Colombia,COL,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
DZA,Algeria,DZA,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
ECU,Ecuador,ECU,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
EGY,Egypt,EGY,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
GAB,Gabon,GAB,1,21,1996,2019,24,3,0,2,INTERRUPTED,1,21,1996,2019,24,3,0,2,INTERRUPTED
GHA,Ghana,GHA,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
GIN,Guinea,GIN,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
GMB,The Gambia,GMB,1,21,1996,2021,26,5,0,0,INTERRUPTED,1,21,1996,2021,26,5,0,0,INTERRUPTED
GUY,Guyana,GUY,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
IDN,Indonesia,IDN,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
IND,India,IND,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
IRN,Iran,IRN,1,18,1996,2016,21,3,0,5,INTERRUPTED,1,18,1996,2016,21,3,0,5,INTERRUPTED
IRQ,Iraq,IRQ,1,18,2004,2021,18,0,8,0,CONTINUOUS,1,18,2004,2021,18,0,8,0,CONTINUOUS
ISR,Israel,ISR,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
JAM,Jamaica,JAM,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
JOR,Jordan,JOR,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
KWT,Kuwait,KWT,1,22,1996,2020,25,3,0,1,INTERRUPTED,1,22,1996,2020,25,3,0,1,INTERRUPTED
LBR,Liberia,LBR,1,21,2000,2021,22,1,4,0,INTERRUPTED,1,21,2000,2021,22,1,4,0,INTERRUPTED
LBY,Libya,LBY,0,0,,,,,,,FULLY_EXCLUDED,0,0,,,,,,,FULLY_EXCLUDED
MNG,Mongolia,MNG,1,21,1996,2021,26,5,0,0,INTERRUPTED,1,21,1996,2021,26,5,0,0,INTERRUPTED
MRT,Mauritania,MRT,1,15,2005,2019,15,0,9,2,CONTINUOUS,1,15,2005,2019,15,0,9,2,CONTINUOUS
NGA,Nigeria,NGA,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
NOR,Norway,NOR,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
NRU,Nauru,NRU,0,0,,,,,,,FULLY_EXCLUDED,0,0,,,,,,,FULLY_EXCLUDED
OMN,Oman,OMN,1,21,2000,2021,22,1,4,0,INTERRUPTED,1,21,2000,2021,22,1,4,0,INTERRUPTED
PER,Peru,PER,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
PNG,Papua New Guinea,PNG,0,0,,,,,,,FULLY_EXCLUDED,0,0,,,,,,,FULLY_EXCLUDED
QAT,Qatar,QAT,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
RUS,Russian Federation,RUS,1,20,2002,2021,20,0,6,0,CONTINUOUS,1,20,2002,2021,20,0,6,0,CONTINUOUS
SAU,Saudi Arabia,SAU,1,19,1996,2017,22,3,0,4,INTERRUPTED,1,19,1996,2017,22,3,0,4,INTERRUPTED
SLE,Sierra Leone,SLE,0,0,,,,,,,FULLY_EXCLUDED,0,0,,,,,,,FULLY_EXCLUDED
SUR,Suriname,SUR,1,16,2004,2019,16,0,8,2,CONTINUOUS,1,16,2004,2019,16,0,8,2,CONTINUOUS
SYC,Seychelles,SYC,1,20,2000,2021,22,2,4,0,INTERRUPTED,1,20,2000,2021,22,2,4,0,INTERRUPTED
SYR,Syria,SYR,1,13,1996,2011,16,3,0,10,INTERRUPTED,1,13,1996,2011,16,3,0,10,INTERRUPTED
TGO,Togo,TGO,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
TTO,Trinidad and Tobago,TTO,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
VEN,Venezuela,VEN,0,0,,,,,,,FULLY_EXCLUDED,0,0,,,,,,,FULLY_EXCLUDED
VNM,Vietnam,VNM,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
YEM,Yemen,YEM,0,0,,,,,,,FULLY_EXCLUDED,0,0,,,,,,,FULLY_EXCLUDED
ZAF,South Africa,ZAF,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
ZMB,Zambia,ZMB,1,23,1996,2021,26,3,0,0,INTERRUPTED,1,23,1996,2021,26,3,0,0,INTERRUPTED
