year,eligible_countries_eci,observations_eci,temporarily_absent_eci,fully_excluded_countries_eci,coverage_status_eci,eligible_countries_divx,observations_divx,temporarily_absent_divx,fully_excluded_countries_divx,coverage_status_divx
1996,49,37,12,6,PARTIAL_COVERAGE,49,37,12,6,PARTIAL_COVERAGE
1997,49,0,49,6,COMMON_GAP,49,0,49,6,COMMON_GAP
1998,49,38,11,6,PARTIAL_COVERAGE,49,38,11,6,PARTIAL_COVERAGE
1999,49,0,49,6,COMMON_GAP,49,0,49,6,COMMON_GAP
2000,49,45,4,6,PARTIAL_COVERAGE,49,45,4,6,PARTIAL_COVERAGE
2001,49,0,49,6,COMMON_GAP,49,0,49,6,COMMON_GAP
2002,49,45,4,6,PARTIAL_COVERAGE,49,45,4,6,PARTIAL_COVERAGE
2003,49,43,6,6,PARTIAL_COVERAGE,49,43,6,6,PARTIAL_COVERAGE
2004,49,45,4,6,PARTIAL_COVERAGE,49,45,4,6,PARTIAL_COVERAGE
2005,49,49,0,6,FULL_COVERAGE,49,49,0,6,FULL_COVERAGE
2006,49,49,0,6,FULL_COVERAGE,49,49,0,6,FULL_COVERAGE
2007,49,49,0,6,FULL_COVERAGE,49,49,0,6,FULL_COVERAGE
2008,49,49,0,6,FULL_COVERAGE,49,49,0,6,FULL_COVERAGE
2009,49,48,1,6,PARTIAL_COVERAGE,49,48,1,6,PARTIAL_COVERAGE
2010,49,49,0,6,FULL_COVERAGE,49,49,0,6,FULL_COVERAGE
2011,49,49,0,6,FULL_COVERAGE,49,49,0,6,FULL_COVERAGE
2012,49,47,2,6,PARTIAL_COVERAGE,49,47,2,6,PARTIAL_COVERAGE
2013,49,47,2,6,PARTIAL_COVERAGE,49,47,2,6,PARTIAL_COVERAGE
2014,49,48,1,6,PARTIAL_COVERAGE,49,48,1,6,PARTIAL_COVERAGE
2015,49,47,2,6,PARTIAL_COVERAGE,49,47,2,6,PARTIAL_COVERAGE
2016,49,46,3,6,PARTIAL_COVERAGE,49,46,3,6,PARTIAL_COVERAGE
2017,49,45,4,6,PARTIAL_COVERAGE,49,45,4,6,PARTIAL_COVERAGE
2018,49,45,4,6,PARTIAL_COVERAGE,49,45,4,6,PARTIAL_COVERAGE
2019,49,45,4,6,PARTIAL_COVERAGE,49,45,4,6,PARTIAL_COVERAGE
2020,49,40,9,6,PARTIAL_COVERAGE,49,40,9,6,PARTIAL_COVERAGE
2021,49,39,10,6,PARTIAL_COVERAGE,49,39,10,6,PARTIAL_COVERAGE
