variable,eci,rents,inst,rents_x_inst,ln1p_oilpc,ln1p_gaspc,ln1p_coalpc,pexp,fexp,vol,rer,humcap,innov,net,log_gdppc,govcons,fin,hhi
eci,1,-.1053002260402371,.6808611187808729,.4773967380087227,.1973328965517616,.4351554688710125,.2579166980246906,-.2532784723172922,-.0792187875156098,.0163518432920691,.2919387523330421,.6135130711808157,.6871212914031536,.4661126006257594,.5792974494318527,.3056787860097325,.6332071857336602,-.4177846617425081
rents,-.1053002260402371,1,-.0536408881807274,-.4023624895472355,.7406891970194802,.4926297877649059,-.1046317701832291,-.4937955192401655,.7506740698915023,.4759036097301703,.0220517372300193,.0270407879630074,.1275196647109443,.0220821303503846,.435962422899398,.1926959983053313,-.0663208332433425,.6382121848980848
inst,.6808611187808729,-.0536408881807274,1,.6143529265328243,.2081456304268476,.46248667752406,.2124307907189365,-.0827558704692317,-.0500987467076352,.0964147254761903,.5456571208536152,.6869535622356538,.7995418067845353,.610202237697957,.7310503885303343,.3440325212581557,.7606800346978658,-.2878385200235103
rents_x_inst,.4773967380087227,-.4023624895472355,.6143529265328243,1,-.0540738264996273,.2670437268441283,.0709758388174455,.145046886124984,-.2940147905279745,-.1145528033637815,.1608667452596153,.2632476595783856,.4042420921340862,.3719708101573591,.2963061792836192,-.0035752063587957,.4437001736673757,-.5209207084787467
ln1p_oilpc,.1973328965517616,.7406891970194802,.2081456304268476,-.0540738264996273,1,.7880028748751785,.0305740286639754,-.6326334250475092,.7983960985731721,.4539520722696643,.14211919137535,.3219437391665379,.4101034946046906,.3100280312293066,.6991039409375874,.1433183493139732,.2139743351856201,.3549592160543132
ln1p_gaspc,.4351554688710125,.4926297877649059,.46248667752406,.2670437268441283,.7880028748751785,1,.0305904308252353,-.5697452115636725,.6183048583808187,.457472987719276,.2191338661528865,.4692879060853214,.6253804302589435,.4988105969123224,.767674580838722,.244255834907112,.4526841590300564,.0892740545597594
ln1p_coalpc,.2579166980246906,-.1046317701832291,.2124307907189365,.0709758388174455,.0305740286639754,.0305904308252353,1,.0980538766159819,-.1368226759087607,-.1622458026011303,.0592933303082489,.2768429212454131,.2407928406240361,.1499887428282597,.1027595310862785,.0016686203801318,.4032024353546466,-.3225226932748466
pexp,-.2532784723172922,-.4937955192401655,-.0827558704692317,.145046886124984,-.6326334250475092,-.5697452115636725,.0980538766159819,1,-.6854961509270578,-.4269300311718082,-.0720170539069572,-.2169734670097327,-.2981296402651998,-.2068992114397833,-.4786225429350972,-.170112100838924,-.1186290957579512,-.3576786150312876
fexp,-.0792187875156098,.7506740698915023,-.0500987467076352,-.2940147905279745,.7983960985731721,.6183048583808187,-.1368226759087607,-.6854961509270578,1,.57233055064408,.0678368243348648,.063211564625561,.1945184735672615,.1064220089980649,.4688702789559013,.2066642447513348,-.0631533261596547,.6330886583566485
vol,.0163518432920691,.4759036097301703,.0964147254761903,-.1145528033637815,.4539520722696643,.457472987719276,-.1622458026011303,-.4269300311718082,.57233055064408,1,.1919712682218263,.1977063026424535,.2627842427580262,.297393179012396,.389089999060587,.2793531138409487,.0671234357662275,.4436889881638591
rer,.2919387523330421,.0220517372300193,.5456571208536152,.1608667452596153,.14211919137535,.2191338661528865,.0592933303082489,-.0720170539069572,.0678368243348648,.1919712682218263,1,.5711254014813117,.5062951348220048,.5407059038936124,.5014577425916456,.3566821145306836,.4418742815602337,.0650273791174251
humcap,.6135130711808157,.0270407879630074,.6869535622356538,.2632476595783856,.3219437391665379,.4692879060853214,.2768429212454131,-.2169734670097327,.063211564625561,.1977063026424535,.5711254014813117,1,.7862052274011189,.7113143543361776,.7488381545038217,.3538587925218157,.6644179342949976,-.2360592492098781
innov,.6871212914031536,.1275196647109443,.7995418067845353,.4042420921340862,.4101034946046906,.6253804302589435,.2407928406240361,-.2981296402651998,.1945184735672615,.2627842427580262,.5062951348220048,.7862052274011189,1,.7220030098522094,.8080426858529343,.4123606064189594,.7261065069391636,-.1895809764141995
net,.4661126006257594,.0220821303503846,.610202237697957,.3719708101573591,.3100280312293066,.4988105969123224,.1499887428282597,-.2068992114397833,.1064220089980649,.297393179012396,.5407059038936124,.7113143543361776,.7220030098522094,1,.6520652364131646,.2998588591419666,.6623055858792488,-.1562271477251023
log_gdppc,.5792974494318527,.435962422899398,.7310503885303343,.2963061792836192,.6991039409375874,.767674580838722,.1027595310862785,-.4786225429350972,.4688702789559013,.389089999060587,.5014577425916456,.7488381545038217,.8080426858529343,.6520652364131646,1,.4117314568942563,.5984228572810814,.0759656687269324
govcons,.3056787860097325,.1926959983053313,.3440325212581557,-.0035752063587957,.1433183493139732,.244255834907112,.0016686203801318,-.170112100838924,.2066642447513348,.2793531138409487,.3566821145306836,.3538587925218157,.4123606064189594,.2998588591419666,.4117314568942563,1,.2897950962041345,.1545300137243903
fin,.6332071857336602,-.0663208332433425,.7606800346978658,.4437001736673757,.2139743351856201,.4526841590300564,.4032024353546466,-.1186290957579512,-.0631533261596547,.0671234357662275,.4418742815602337,.6644179342949976,.7261065069391636,.6623055858792488,.5984228572810814,.2897950962041345,1,-.3472907381727344
hhi,-.4177846617425081,.6382121848980848,-.2878385200235103,-.5209207084787467,.3549592160543132,.0892740545597594,-.3225226932748466,-.3576786150312876,.6330886583566485,.4436889881638591,.0650273791174251,-.2360592492098781,-.1895809764141995,-.1562271477251023,.0759656687269324,.1545300137243903,-.3472907381727344,1
