analysis_sample,variable,observations,zeros,zero_percent,mean,sd,min,p25,median,p75,max
ESTIMATION,divx,1044,0,0.00,0.749363,0.215212,0.016018,0.647882,0.817127,0.911210,0.987907
ESTIMATION,eci,1044,0,0.00,-0.409759,0.862901,-2.901039,-1.005686,-0.349987,0.264473,1.282515
ESTIMATION,fexp,1044,3,0.29,34.609907,32.315815,0.000000,4.270377,24.812267,59.510387,99.325035
ESTIMATION,fin,1044,0,0.00,35.708883,27.922640,0.449183,13.267770,28.983568,51.800247,142.104263
ESTIMATION,govcons,1044,0,0.00,14.831594,5.588915,0.911235,11.160045,14.003025,18.090248,47.191559
ESTIMATION,hhi,1044,0,0.00,0.250637,0.215212,0.012093,0.088790,0.182873,0.352118,0.983982
ESTIMATION,humcap,1044,0,0.00,2.448523,0.570068,1.204735,2.060978,2.499908,2.859485,3.729792
ESTIMATION,innov,1044,0,0.00,3.644898,1.837818,0.127761,2.220700,3.570042,5.006588,7.845078
ESTIMATION,inst,1044,0,0.00,-0.270244,0.811332,-1.936313,-0.878468,-0.391606,0.141341,2.090270
ESTIMATION,ln1p_coalpc,1044,699,66.95,0.758070,1.588534,0.000000,0.000000,0.000000,0.245553,7.367581
ESTIMATION,ln1p_gaspc,1044,294,28.16,2.461334,2.604445,0.000000,0.000000,1.544753,4.746459,8.970431
ESTIMATION,ln1p_oilpc,1044,224,21.46,4.207264,3.200452,0.000000,0.661426,4.257779,6.859869,10.127297
ESTIMATION,log_gdppc,1044,0,0.00,9.401349,1.186605,6.834596,8.721893,9.372792,10.237544,11.911870
ESTIMATION,net,1044,2,0.19,29.545688,29.284925,0.000000,3.820000,19.919123,50.425205,100.000000
ESTIMATION,pexp,1044,0,0.00,30.428595,25.566545,0.134795,7.380359,23.647558,50.342178,97.656174
ESTIMATION,rents,1044,79,7.57,12.413509,13.729756,0.000000,2.154230,6.831039,18.638056,65.312958
ESTIMATION,rents_x_inst,1044,79,7.57,-3.951625,15.128860,-106.694191,-6.449127,-0.760863,0.090532,34.273895
ESTIMATION,rer,1044,0,0.00,-0.946432,0.394271,-2.230623,-1.171223,-0.954220,-0.726350,0.279420
ESTIMATION,vol,1044,0,0.00,12.209832,7.511587,0.783320,6.353549,10.213748,16.363928,42.587971
PANEL_COMPLETE,divx,1430,0,0.00,0.727544,0.225820,0.016018,0.604959,0.800664,0.903457,0.987907
PANEL_COMPLETE,eci,1430,0,0.00,-0.438636,0.902578,-2.901039,-1.035414,-0.387800,0.268608,1.282515
PANEL_COMPLETE,fexp,1430,10,0.70,35.245039,33.583534,0.000000,3.341287,24.681566,64.398613,99.325035
PANEL_COMPLETE,fin,1328,0,0.00,32.528309,27.186174,0.449183,11.477591,24.514624,47.171627,142.104263
PANEL_COMPLETE,govcons,1430,0,0.00,15.982586,8.575326,0.911235,11.244499,14.322047,18.567638,73.836510
PANEL_COMPLETE,hhi,1430,0,0.00,0.272456,0.225820,0.012093,0.096543,0.199336,0.395041,0.983982
PANEL_COMPLETE,humcap,1403,0,0.00,2.374436,0.580796,1.120160,1.956138,2.412143,2.790707,3.729792
PANEL_COMPLETE,innov,1430,15,1.05,3.398523,1.843299,0.000000,2.046671,3.227058,4.779659,7.845078
PANEL_COMPLETE,inst,1257,0,0.00,-0.365705,0.826189,-1.936313,-0.964374,-0.479071,0.096832,2.090270
PANEL_COMPLETE,ln1p_coalpc,1384,958,69.22,0.673604,1.489616,0.000000,0.000000,0.000000,0.142626,7.367581
PANEL_COMPLETE,ln1p_gaspc,1365,376,27.55,2.463054,2.552252,0.000000,0.000000,1.606800,4.750032,8.970431
PANEL_COMPLETE,ln1p_oilpc,1397,311,22.26,4.235306,3.190742,0.000000,0.293529,4.326606,6.824933,10.127297
PANEL_COMPLETE,log_gdppc,1378,0,0.00,9.320600,1.178302,6.367635,8.575909,9.311559,10.093853,11.911870
PANEL_COMPLETE,net,1379,3,0.22,25.642875,28.956541,0.000000,1.854999,12.917769,43.164001,100.000000
PANEL_COMPLETE,pexp,1430,0,0.00,31.537524,27.035442,0.056909,6.800929,24.206772,52.838455,97.656174
PANEL_COMPLETE,rents,1352,100,7.40,13.193756,14.159501,0.000000,2.360890,7.561803,20.726442,66.027267
PANEL_COMPLETE,rents_x_inst,1197,86,7.18,-6.008625,17.292089,-106.694191,-8.371250,-1.312859,0.019007,34.273895
PANEL_COMPLETE,rer,1352,0,0.00,-0.973984,0.473488,-2.569323,-1.225511,-0.979668,-0.744816,3.164579
PANEL_COMPLETE,vol,1403,0,0.00,12.146315,7.576604,0.783320,6.304508,9.864494,16.221598,42.587971
