country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff,model_observations,model_parameters,flagged_observations_model,flagged_leverage_model,flagged_cooks_model,flagged_residual_model
BDI,Burundi,BDI,1998,0.120867,0.067580,-6.539449,0,1,1,DIVX,.2375509,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2003,0.079522,0.026105,-5.127221,0,1,1,DIVX,.31874849,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2006,0.080608,0.024059,-4.886058,0,1,1,DIVX,.31588388,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2018,0.097403,0.023958,-4.394836,0,1,1,DIVX,.34573863,0.166667,0.003831,1044,87,75,4,73,21
GMB,The Gambia,GMB,1996,0.124473,0.022062,-3.674313,0,1,1,DIVX,.44900298,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2002,0.082996,0.021097,-4.503236,0,1,1,DIVX,.38245026,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2019,0.097603,0.020054,-4.016328,0,1,1,DIVX,.37748739,0.166667,0.003831,1044,87,75,4,73,21
IRN,Iran,IRN,2016,0.096027,0.017677,3.804872,0,1,1,DIVX,.91522775,0.166667,0.003831,1044,87,75,4,73,21
LBR,Liberia,LBR,2004,0.088663,0.016957,-3.894003,0,1,1,DIVX,.42149844,0.166667,0.003831,1044,87,75,4,73,21
LBR,Liberia,LBR,2005,0.083886,0.016801,-3.995386,0,1,1,DIVX,.40403879,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2017,0.113531,0.016705,-3.368649,0,1,1,DIVX,.36005985,0.166667,0.003831,1044,87,75,4,73,21
CAF,Central African Republic,CAF,2000,0.106430,0.015267,-3.339389,0,1,1,DIVX,.49941697,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2014,0.105921,0.013961,3.201913,0,1,1,DIVX,.85064342,0.166667,0.003831,1044,87,75,4,73,21
COG,Republic of the Congo,COG,1996,0.116380,0.013925,3.032800,0,1,1,DIVX,.5758444,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2021,0.112779,0.013648,3.056351,0,1,1,DIVX,.91984542,0.166667,0.003831,1044,87,75,4,73,21
BDI,Burundi,BDI,2000,0.097390,0.012746,-3.205770,0,1,1,DIVX,.48816902,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2004,0.087766,0.012614,-3.377336,0,1,1,DIVX,.42006865,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2017,0.095016,0.011413,-3.075214,0,1,1,DIVX,.39529374,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2009,0.077564,0.010832,3.347742,0,1,1,DIVX,.95816883,0.166667,0.003831,1044,87,75,4,73,21
IRN,Iran,IRN,2015,0.089610,0.010171,2.998378,0,1,0,DIVX,.85750569,0.166667,0.003831,1044,87,75,4,73,21
KWT,Kuwait,KWT,2005,0.085729,0.009828,3.019792,0,1,1,DIVX,.59282041,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2010,0.085492,0.009309,2.943417,0,1,0,DIVX,.9670133,0.166667,0.003831,1044,87,75,4,73,21
IRN,Iran,IRN,2013,0.089591,0.008910,2.806573,0,1,0,DIVX,.77416816,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2005,0.089368,0.008506,2.746073,0,1,0,DIVX,.86979792,0.166667,0.003831,1044,87,75,4,73,21
IRQ,Iraq,IRQ,2020,0.121751,0.008259,2.276658,0,1,0,DIVX,.36751421,0.166667,0.003831,1044,87,75,4,73,21
