variable,model_scope,series_form,method,deterministics,demeaned,lags,observations,countries,statistic,p_value,reject_5pct,decision,return_code,null_hypothesis,alternative_hypothesis,model_change_authorized,interpretation_limit
fexp,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,528.0377315950,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
fexp,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,131.6641070075,0.0131975049,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
fin,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,308.0368830857,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
fin,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,111.0478396020,0.1734281927,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
govcons,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,413.8320425842,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
govcons,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,146.2895429721,0.0011414506,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
hhi,ECI_ONLY,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,497.6574277208,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
hhi,ECI_ONLY,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,108.2624141413,0.2247825265,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
humcap,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,211.4976765264,0.0000000003,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
humcap,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,114.0769843276,0.1275638491,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
innov,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,414.7464792027,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
innov,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,96.3514152951,0.5281872153,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
ln1p_coalpc,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,699.4388905544,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
ln1p_coalpc,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,650.1264250958,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
ln1p_gaspc,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,525.4971720061,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
ln1p_gaspc,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,138.0558627817,0.0047954479,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
ln1p_oilpc,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,554.2261182218,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
ln1p_oilpc,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,118.5021717854,0.0777925253,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
log_gdppc,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,169.1302277802,0.0000108506,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
log_gdppc,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,83.0414952873,0.8599226475,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
net,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,187.5365662436,0.0000001394,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
net,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,66.6128211192,0.9936160445,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
pexp,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,532.5599187070,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
pexp,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,179.3472267324,0.0000010262,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
rer,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,550.1322979830,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
rer,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,189.9056410836,0.0000000769,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
vol,BOTH,FIRST_DIFFERENCE,FISHER_ADF,CONSTANT,1,1,869,49,249.0391319346,0.0000000000,1,REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
vol,BOTH,LEVEL,FISHER_ADF,CONSTANT,1,1,1044,49,89.5936249487,0.7158465981,0,DO_NOT_REJECT_UNIT_ROOT_NULL,0,All panels contain unit roots,At least one panel is stationary,0,El rechazo no demuestra estacionariedad universal ni clasifica automaticamente I(0) o I(1).
