variable,observations,countries,average_periods,mean,sd_overall,sd_between,sd_within,within_sd_ratio,has_within_variation
divx,1044,49,21.306122,0.749363,0.215212,0.202089,0.084770,0.393888,1
eci,1044,49,21.306122,-0.409759,0.862901,0.828664,0.280721,0.325322,1
fexp,1044,49,21.306122,34.609905,32.315813,31.193331,9.688955,0.299821,1
fin,1044,49,21.306122,35.708881,27.922641,25.769096,11.308404,0.404990,1
govcons,1044,49,21.306122,14.831594,5.588915,4.813326,2.911018,0.520856,1
hhi,1044,49,21.306122,0.250637,0.215212,0.202089,0.084770,0.393888,1
humcap,1044,49,21.306122,2.448523,0.570068,0.546034,0.176428,0.309486,1
innov,1044,49,21.306122,3.644898,1.837818,1.766275,0.578639,0.314851,1
inst,1044,49,21.306122,-0.270243,0.811332,0.803907,0.158118,0.194887,1
ln1p_coalpc,1044,49,21.306122,0.758070,1.588534,1.556574,0.437514,0.275420,1
ln1p_gaspc,1044,49,21.306122,2.461334,2.604445,2.579258,0.503041,0.193147,1
ln1p_oilpc,1044,49,21.306122,4.207264,3.200452,3.155590,0.631771,0.197401,1
log_gdppc,1044,49,21.306122,9.401349,1.186605,1.184343,0.173793,0.146462,1
net,1044,49,21.306122,29.545689,29.284926,20.038805,21.512766,0.734602,1
pexp,1044,49,21.306122,30.428595,25.566546,23.996099,9.582919,0.374823,1
rents,1044,49,21.306122,12.413508,13.729756,12.804590,5.626165,0.409779,1
rents_x_inst,1044,49,21.306122,-3.951625,15.128861,14.608282,5.629434,0.372099,1
rer,1044,49,21.306122,-0.946432,0.394271,0.336304,0.203915,0.517196,1
vol,1044,49,21.306122,12.209831,7.511587,5.873183,4.782364,0.636665,1
