variable,model_scope,source_observations,valid_lag_pairs,countries,lag_pair_loss_percent,min_periods,max_periods,average_periods,total_internal_gaps,common_gap_years,ar1_coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,cluster_df,persistence_label,model_change_authorized,interpretation_limit
fexp,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.63909133,0.07194347,8.88324261,0.00000000,0.49443927,0.78374338,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
fin,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.85281509,0.04942424,17.25499725,0.00000000,0.75344098,0.95218921,48,ABS_RHO_AT_LEAST_0_80,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
govcons,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.70153482,0.03925411,17.87162781,0.00000000,0.62260914,0.78046048,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
hhi,ECI_ONLY,1044,869,49,16.76245211,13,23,21.306122,133,3,0.74419307,0.03451482,21.56155014,0.00000000,0.67479634,0.81358975,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
humcap,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.93773211,0.02279695,41.13410568,0.00000000,0.89189577,0.98356843,48,ABS_RHO_AT_LEAST_0_80,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
innov,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.82816661,0.05636459,14.69303036,0.00000000,0.71483803,0.94149518,48,ABS_RHO_AT_LEAST_0_80,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
ln1p_coalpc,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.61648681,0.05982409,10.30499363,0.00000000,0.49620241,0.73677117,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
ln1p_gaspc,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.77985648,0.03301051,23.62449074,0.00000000,0.71348441,0.84622854,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
ln1p_oilpc,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.83840351,0.12792039,6.55410385,0.00000004,0.58120233,1.09560466,48,ABS_RHO_AT_LEAST_0_80,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
log_gdppc,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.93786941,0.02275105,41.22312164,0.00000000,0.89212537,0.98361349,48,ABS_RHO_AT_LEAST_0_80,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
net,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.92399642,0.01962110,47.09197998,0.00000000,0.88454556,0.96344727,48,ABS_RHO_AT_LEAST_0_80,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
pexp,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.52766094,0.07472938,7.06095648,0.00000001,0.37740743,0.67791444,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
rer,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.66827745,0.03253229,20.54197502,0.00000000,0.60286689,0.73368800,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
vol,BOTH,1044,869,49,16.76245211,13,23,21.306122,133,3,0.56079106,0.03106752,18.05071831,0.00000000,0.49832562,0.62325650,48,ABS_RHO_0_50_TO_0_79,0,Persistencia descriptiva; no es un modelo dinamico causal ni una regla de seleccion.
