model,variable,auxiliary_r2,tolerance,vif,auxiliary_rank,expected_rank,rank_deficient,assessment
DIVX,rents_x_inst,0.481627,0.518373,1.929111,16,16,0,LOW
DIVX,rents,0.475169,0.524831,1.905375,16,16,0,LOW
DIVX,log_gdppc,0.334488,0.665512,1.502603,16,16,0,LOW
DIVX,fexp,0.321491,0.678509,1.473820,16,16,0,LOW
DIVX,ln1p_oilpc,0.315025,0.684975,1.459908,16,16,0,LOW
DIVX,innov,0.244593,0.755407,1.323790,16,16,0,LOW
DIVX,inst,0.226508,0.773492,1.292838,16,16,0,LOW
DIVX,fin,0.189271,0.810729,1.233458,16,16,0,LOW
DIVX,net,0.184983,0.815017,1.226968,16,16,0,LOW
DIVX,govcons,0.167635,0.832364,1.201397,16,16,0,LOW
DIVX,ln1p_coalpc,0.145288,0.854712,1.169985,16,16,0,LOW
DIVX,pexp,0.138988,0.861012,1.161424,16,16,0,LOW
DIVX,vol,0.103888,0.896112,1.115932,16,16,0,LOW
DIVX,humcap,0.090271,0.909729,1.099229,16,16,0,LOW
DIVX,rer,0.079978,0.920022,1.086930,16,16,0,LOW
DIVX,ln1p_gaspc,0.077139,0.922862,1.083586,16,16,0,LOW
ECI,rents,0.488724,0.511276,1.955892,17,17,0,LOW
ECI,rents_x_inst,0.483055,0.516945,1.934442,17,17,0,LOW
ECI,log_gdppc,0.366279,0.633721,1.577982,17,17,0,LOW
ECI,fexp,0.330392,0.669608,1.493412,17,17,0,LOW
ECI,ln1p_oilpc,0.316743,0.683257,1.463579,17,17,0,LOW
ECI,hhi,0.271318,0.728682,1.372341,17,17,0,LOW
ECI,innov,0.246578,0.753422,1.327277,17,17,0,LOW
ECI,inst,0.227362,0.772638,1.294267,17,17,0,LOW
ECI,fin,0.193836,0.806164,1.240442,17,17,0,LOW
ECI,net,0.192849,0.807151,1.238926,17,17,0,LOW
ECI,govcons,0.178827,0.821173,1.217770,17,17,0,LOW
ECI,pexp,0.169272,0.830728,1.203763,17,17,0,LOW
ECI,ln1p_coalpc,0.147016,0.852984,1.172355,17,17,0,LOW
ECI,vol,0.105310,0.894690,1.117705,17,17,0,LOW
ECI,humcap,0.104633,0.895367,1.116861,17,17,0,LOW
ECI,rer,0.085980,0.914020,1.094068,17,17,0,LOW
ECI,ln1p_gaspc,0.077989,0.922011,1.084585,17,17,0,LOW
