order,term,xtreg_coefficient,reghdfe_coefficient,absolute_coefficient_difference,xtreg_standard_error,reghdfe_standard_error,absolute_se_difference,coefficient_match
1,rents,-0.0097954692,-0.0097954692,0.0000000000,0.0041812542,0.0041812542,0.0000000000,1
2,inst,0.2667053724,0.2667053640,0.0000000000,0.1367290169,0.1367290169,0.0000000000,1
3,c.rents#c.inst,-0.0051986337,-0.0051986338,0.0000000000,0.0034531935,0.0034531935,0.0000000000,1
4,ln1p_oilpc,0.0283470848,0.0283470843,0.0000000000,0.0376028195,0.0376028195,0.0000000000,1
5,ln1p_gaspc,0.0396346455,0.0396346450,0.0000000000,0.0342995189,0.0342995189,0.0000000000,1
6,ln1p_coalpc,0.0109056158,0.0109056160,0.0000000000,0.0264302306,0.0264302306,0.0000000000,1
7,hhi,-0.5354827063,-0.5354827046,0.0000000000,0.2252341807,0.2252341807,0.0000000000,1
8,pexp,-0.0041992584,-0.0041992585,0.0000000000,0.0015650297,0.0015650297,0.0000000000,1
9,fexp,-0.0068003997,-0.0068003996,0.0000000000,0.0018843749,0.0018843749,0.0000000000,1
10,vol,-0.0029025623,-0.0029025623,0.0000000000,0.0024472999,0.0024472999,0.0000000000,1
11,rer,-0.0873191041,-0.0873191059,0.0000000000,0.0984427258,0.0984427258,0.0000000000,1
12,humcap,-0.0539940992,-0.0539941005,0.0000000000,0.2243988067,0.2243988067,0.0000000000,1
13,innov,-0.0361179185,-0.0361179188,0.0000000000,0.0484107956,0.0484107956,0.0000000000,1
14,net,-0.0013053884,-0.0013053884,0.0000000000,0.0020795390,0.0020795390,0.0000000000,1
15,log_gdppc,-0.0458856576,-0.0458856560,0.0000000000,0.2211998552,0.2211998552,0.0000000000,1
16,govcons,-0.0060475630,-0.0060475632,0.0000000000,0.0089479033,0.0089479033,0.0000000000,1
17,fin,-0.0009975980,-0.0009975981,0.0000000000,0.0023553288,0.0023553288,0.0000000000,1
