model,method,result_type,term,support_point,support_value,estimate,standard_error,p_value,ci_lower,ci_upper,reference_estimate,reference_p_value,estimate_min,estimate_max,p_value_at_min_estimate,p_value_at_max_estimate,sign_stable,observations,countries,repetitions,excluded_observations,sample_changed,inference_method,hierarchy,comparable_to_main,source_file,source_fields,interpretation_scope,significance_selected
DIVX,COUNTRY_LINEAR_TRENDS,COEFFICIENT,INST,FULL_SAMPLE,,0.045387,0.038071,0.239052,-0.031159,0.121933,0.017472,0.538255,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/country_linear_trend_sensitivity.csv,trend_coefficient; trend_standard_error; trend_p_value; trend_ci_lower; trend_ci_upper; base_coefficient; base_p_value,Mismo canal focal con tendencias lineales específicas por país.,0
DIVX,COUNTRY_LINEAR_TRENDS,COEFFICIENT,RENTS,FULL_SAMPLE,,-0.002996,0.001247,0.020215,-0.005503,-0.000488,-0.003536,0.008862,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/country_linear_trend_sensitivity.csv,trend_coefficient; trend_standard_error; trend_p_value; trend_ci_lower; trend_ci_upper; base_coefficient; base_p_value,Mismo canal focal con tendencias lineales específicas por país.,0
DIVX,COUNTRY_LINEAR_TRENDS,COEFFICIENT,RENTS x INST,FULL_SAMPLE,,-0.000256,0.001396,0.855390,-0.003062,0.002550,0.000948,0.427406,,,,,0,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/country_linear_trend_sensitivity.csv,trend_coefficient; trend_standard_error; trend_p_value; trend_ci_lower; trend_ci_upper; base_coefficient; base_p_value,Mismo canal focal con tendencias lineales específicas por país.,0
DIVX,INFLUENCE_BASE,COEFFICIENT,RENTS,FULL_SAMPLE,,-0.003536,0.001296,0.008862,,,-0.003536,0.008862,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; rents_coefficient; rents_standard_error; rents_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
DIVX,INFLUENCE_BASE,COEFFICIENT,RENTS x INST,FULL_SAMPLE,,0.000948,0.001184,0.427406,,,0.000948,0.427406,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; interaction_coefficient; interaction_standard_error; interaction_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
DIVX,INFLUENCE_EXCLUSION,COEFFICIENT,RENTS,EXCLUDES_FLAGGED,,-0.004478,0.001005,0.000050,,,-0.003536,0.008862,,,,,1,969,49,,75,1,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; rents_coefficient; rents_standard_error; rents_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
DIVX,INFLUENCE_EXCLUSION,COEFFICIENT,RENTS x INST,EXCLUDES_FLAGGED,,0.000362,0.000914,0.693558,,,0.000948,0.427406,,,,,1,969,49,,75,1,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; interaction_coefficient; interaction_standard_error; interaction_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
DIVX,LEAVE_ONE_COUNTRY_OUT,COEFFICIENT_RANGE,RENTS,49_EXCLUSIONS,,-0.003536,,,,,-0.003536,,-0.004143,-0.003009,0.001494,0.024461,1,,48,49,,1,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/leave_one_country_out_summary.csv,base_coefficient; min_coefficient; min_p_value; max_coefficient; max_p_value; sign_reversals,Rango entre 49 reestimaciones; no es un único coeficiente comparable con el M3.,0
DIVX,LEAVE_ONE_COUNTRY_OUT,COEFFICIENT_RANGE,RENTS x INST,49_EXCLUSIONS,,0.000948,,,,,0.000948,,0.000290,0.001374,0.257448,0.784559,1,,48,49,,1,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/leave_one_country_out_summary.csv,base_coefficient; min_coefficient; min_p_value; max_coefficient; max_p_value; sign_reversals,Rango entre 49 reestimaciones; no es un único coeficiente comparable con el M3.,0
DIVX,MAIN_TWFE,COEFFICIENT,INST,FULL_SAMPLE,,0.017472,0.028185,0.538255,-0.039198,0.074142,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,MAIN,1,04_divx/divx_twfe_coefficients.csv,coefficient; standard_error; p_value; ci_lower; ci_upper,Coeficiente focal del M3 principal en la muestra común.,0
DIVX,MAIN_TWFE,COEFFICIENT,RENTS,FULL_SAMPLE,,-0.003536,0.001296,0.008862,-0.006142,-0.000930,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,MAIN,1,04_divx/divx_twfe_coefficients.csv,coefficient; standard_error; p_value; ci_lower; ci_upper,Coeficiente focal del M3 principal en la muestra común.,0
DIVX,MAIN_TWFE,COEFFICIENT,RENTS x INST,FULL_SAMPLE,,0.000948,0.001184,0.427406,-0.001433,0.003329,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,MAIN,1,04_divx/divx_twfe_coefficients.csv,coefficient; standard_error; p_value; ci_lower; ci_upper,Coeficiente focal del M3 principal en la muestra común.,0
DIVX,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P10,-1.239373,-0.004711,0.001209,0.000098,-0.007081,-0.002340,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
DIVX,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P25,-0.878468,-0.004369,0.001040,0.000027,-0.006407,-0.002331,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
DIVX,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P50,-0.391606,-0.003907,0.001070,0.000262,-0.006005,-0.001810,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
