model,order,term,variable_label,channel,evidence_class,association_direction,significance_level,coefficient,standard_error,p_value,ci_lower,ci_upper,interpretation_note,t_statistic
DIVX,1,rents,Rentas extractivas del subsuelo (% PIB),Institucional,Central,Negativa,Significativo al 1%,-.003536,.001296,.008862,-.006142,-.00093,Asociación agregada central; la estabilidad se evalúa en la sección 7 y no implica causalidad.,-2.728598
DIVX,2,inst,Calidad institucional (INST),Institucional,Control,Positiva,No significativo,.017472,.028185,.538255,-.039198,.074142,Control incluido en la especificación; interpretar con cautela.,.619901
DIVX,3,c.rents#c.inst,Interacción entre rentas y calidad institucional,Institucional,No concluyente,Positiva,No significativo,.000948,.001184,.427406,-.001433,.003329,No hay evidencia estadística suficiente de moderación institucional.,.800429
DIVX,4,ln1p_oilpc,ln(1 + OILPC),Abundancia de recursos,No concluyente,Positiva,No significativo,.007643,.008984,.399143,-.010421,.025707,No se distingue una asociación individual robusta por recurso en esta especificación agregada.,.850731
DIVX,5,ln1p_gaspc,ln(1 + GASPC),Abundancia de recursos,No concluyente,Positiva,No significativo,.004935,.006661,.462357,-.008458,.018329,No se distingue una asociación individual robusta por recurso en esta especificación agregada.,.740911
DIVX,6,ln1p_coalpc,ln(1 + COALPC),Abundancia de recursos,No concluyente,Negativa,No significativo,-.008548,.007838,.280944,-.024308,.007213,No se distingue una asociación individual robusta por recurso en esta especificación agregada.,-1.090484
DIVX,7,pexp,Exportaciones primarias no energéticas,Estructura exportadora,Central comparativa,Positiva,Significativo al 5%,.001533,.000627,.018141,.000273,.002793,El signo opuesto entre modelos distingue diversificación exportadora y complejidad económica.,2.446445
DIVX,8,fexp,Exportaciones de combustibles,Estructura exportadora,Control,Negativa,No significativo,-.001063,.000978,.282916,-.00303,.000905,Control incluido en la especificación; interpretar con cautela.,-1.08597
DIVX,9,vol,Volatilidad de términos de intercambio,Condiciones macroeconómicas,Control,Positiva,No significativo,.000848,.000954,.378445,-.00107,.002767,Control incluido en la especificación; interpretar con cautela.,.888985
DIVX,10,rer,Tipo de cambio real,Condiciones macroeconómicas,Control,Negativa,No significativo,-.039707,.035912,.274371,-.111912,.032498,Control incluido en la especificación; interpretar con cautela.,-1.105692
DIVX,11,humcap,Capital humano,Capacidades productivas,Complementaria,Positiva,Significativo al 5%,.106887,.044314,.019736,.017788,.195986,Resultado complementario DIVX; requiere sensibilidad específica antes de una interpretación estructural.,2.412035
