model,order,term,variable_label,channel,base_coefficient,base_standard_error,base_p_value,base_ci_lower,base_ci_upper,trend_coefficient,trend_standard_error,trend_p_value,trend_ci_lower,trend_ci_upper,absolute_change,percentage_change,sign_stable,significant_base_5pct,significant_trend_5pct,observations,countries,singletons_removed,trend_center_year,country_fe,year_fe,hierarchy
DIVX,1,rents,Rentas extractivas del subsuelo (% PIB),Institucional,-0.003536,0.001296,0.008862,-0.006142,-0.000930,-0.002996,0.001247,0.020215,-0.005503,-0.000488,0.000540,15.280,1,1,1,1044,49,0,1996,1,1,SENSITIVITY
DIVX,2,inst,Calidad institucional (INST),Institucional,0.017472,0.028185,0.538255,-0.039198,0.074142,0.045387,0.038071,0.239052,-0.031159,0.121933,0.027915,159.770,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,3,c.rents#c.inst,Interacción entre rentas y calidad institucional,Institucional,0.000948,0.001184,0.427406,-0.001433,0.003329,-0.000256,0.001396,0.855390,-0.003062,0.002550,0.001204,126.977,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,4,ln1p_oilpc,ln(1 + OILPC),Abundancia de recursos,0.007643,0.008984,0.399143,-0.010421,0.025707,-0.006101,0.011118,0.585731,-0.028454,0.016253,0.013744,179.817,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,5,ln1p_gaspc,ln(1 + GASPC),Abundancia de recursos,0.004935,0.006661,0.462357,-0.008458,0.018329,-0.002634,0.008733,0.764246,-0.020194,0.014926,0.007570,153.372,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,6,ln1p_coalpc,ln(1 + COALPC),Abundancia de recursos,-0.008548,0.007838,0.280944,-0.024308,0.007213,-0.001018,0.007710,0.895529,-0.016520,0.014485,0.007530,88.092,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,7,pexp,Exportaciones primarias no energéticas,Estructura exportadora,0.001533,0.000627,0.018141,0.000273,0.002793,0.001070,0.000722,0.145081,-0.000382,0.002521,0.000463,30.233,1,1,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,8,fexp,Exportaciones de combustibles,Estructura exportadora,-0.001063,0.000978,0.282916,-0.003030,0.000905,-0.001398,0.000985,0.162307,-0.003380,0.000583,0.000336,31.610,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,9,vol,Volatilidad de términos de intercambio,Condiciones macroeconómicas,0.000848,0.000954,0.378445,-0.001070,0.002767,0.001016,0.000744,0.178377,-0.000480,0.002512,0.000168,19.801,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,10,rer,Tipo de cambio real,Condiciones macroeconómicas,-0.039707,0.035912,0.274371,-0.111912,0.032498,-0.079624,0.041723,0.062329,-0.163512,0.004265,0.039917,100.527,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,11,humcap,Capital humano,Capacidades productivas,0.106887,0.044314,0.019736,0.017788,0.195986,-0.006065,0.056270,0.914621,-0.119202,0.107073,0.112952,105.674,0,1,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,12,innov,Innovación,Capacidades productivas,0.011198,0.013647,0.415935,-0.016240,0.038636,-0.028478,0.014809,0.060421,-0.058254,0.001298,0.039677,354.312,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,13,net,Conectividad digital,Capacidades productivas,-0.000741,0.000353,0.040731,-0.001450,-0.000033,0.000822,0.000568,0.154324,-0.000320,0.001964,0.001564,210.893,0,1,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,14,log_gdppc,Logaritmo del PIB per cápita PPA,Controles económicos y financieros,-0.145551,0.035052,0.000134,-0.216028,-0.075074,0.005925,0.070896,0.933742,-0.136621,0.148471,0.151476,104.071,0,1,0,1044,49,0,1996,1,1,SENSITIVITY
DIVX,15,govcons,Consumo final del gobierno (% PIB),Controles económicos y financieros,0.003239,0.001763,0.072360,-0.000306,0.006783,0.004437,0.001695,0.011834,0.001028,0.007846,0.001198,36.994,1,0,1,1044,49,0,1996,1,1,SENSITIVITY
DIVX,16,fin,Profundidad financiera,Controles económicos y financieros,0.000605,0.000367,0.106040,-0.000133,0.001343,0.000688,0.000425,0.112150,-0.000167,0.001542,0.000083,13.694,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,1,rents,Rentas extractivas del subsuelo (% PIB),Institucional,-0.009795,0.004181,0.023337,-0.018202,-0.001388,-0.004403,0.003462,0.209604,-0.011363,0.002558,0.005393,55.055,1,1,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,2,inst,Calidad institucional (INST),Institucional,0.266705,0.136729,0.056955,-0.008207,0.541617,0.020426,0.086480,0.814284,-0.153453,0.194305,0.246279,92.341,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,3,c.rents#c.inst,Interacción entre rentas y calidad institucional,Institucional,-0.005199,0.003453,0.138759,-0.012142,0.001744,0.000588,0.002596,0.821697,-0.004631,0.005808,0.005787,111.316,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,4,ln1p_oilpc,ln(1 + OILPC),Abundancia de recursos,0.028347,0.037603,0.454618,-0.047258,0.103953,0.028657,0.031607,0.369105,-0.034892,0.092206,0.000310,1.094,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,5,ln1p_gaspc,ln(1 + GASPC),Abundancia de recursos,0.039635,0.034300,0.253587,-0.029329,0.108598,0.028898,0.050117,0.566896,-0.071869,0.129665,0.010737,27.089,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,6,ln1p_coalpc,ln(1 + COALPC),Abundancia de recursos,0.010906,0.026430,0.681723,-0.042236,0.064047,-0.044986,0.024411,0.071529,-0.094067,0.004095,0.055891,512.501,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,7,hhi,Concentración exportadora (HHI),Estructura exportadora,-0.535483,0.225234,0.021465,-0.988346,-0.082619,-0.687550,0.238563,0.005893,-1.167212,-0.207887,0.152067,28.398,1,1,1,1044,49,0,1996,1,1,SENSITIVITY
ECI,8,pexp,Exportaciones primarias no energéticas,Estructura exportadora,-0.004199,0.001565,0.009975,-0.007346,-0.001053,-0.002676,0.001657,0.112938,-0.006007,0.000656,0.001524,36.283,1,1,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,9,fexp,Exportaciones de combustibles,Estructura exportadora,-0.006800,0.001884,0.000732,-0.010589,-0.003012,-0.004634,0.001534,0.004034,-0.007719,-0.001550,0.002166,31.857,1,1,1,1044,49,0,1996,1,1,SENSITIVITY
ECI,10,vol,Volatilidad de términos de intercambio,Condiciones macroeconómicas,-0.002903,0.002447,0.241450,-0.007823,0.002018,-0.001061,0.002735,0.699682,-0.006560,0.004437,0.001841,63.437,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,11,rer,Tipo de cambio real,Condiciones macroeconómicas,-0.087319,0.098443,0.379500,-0.285251,0.110613,-0.038190,0.104118,0.715383,-0.247532,0.171152,0.049129,56.264,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,12,humcap,Capital humano,Capacidades productivas,-0.053994,0.224399,0.810877,-0.505178,0.397190,0.074112,0.235852,0.754708,-0.400100,0.548324,0.128106,237.259,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,13,innov,Innovación,Capacidades productivas,-0.036118,0.048411,0.459263,-0.133454,0.061219,-0.048029,0.050647,0.347727,-0.149861,0.053804,0.011911,32.977,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,14,net,Conectividad digital,Capacidades productivas,-0.001305,0.002080,0.533156,-0.005487,0.002876,0.001376,0.002709,0.613939,-0.004072,0.006823,0.002681,205.393,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,15,log_gdppc,Logaritmo del PIB per cápita PPA,Controles económicos y financieros,-0.045886,0.221200,0.836544,-0.490638,0.398866,-0.137057,0.148864,0.361817,-0.436368,0.162253,0.091172,198.693,1,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,16,govcons,Consumo final del gobierno (% PIB),Controles económicos y financieros,-0.006048,0.008948,0.502371,-0.024039,0.011943,0.001608,0.009670,0.868630,-0.017834,0.021050,0.007655,126.588,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
ECI,17,fin,Profundidad financiera,Controles económicos y financieros,-0.000998,0.002355,0.673786,-0.005733,0.003738,0.002087,0.001806,0.253344,-0.001543,0.005718,0.003085,309.252,0,0,0,1044,49,0,1996,1,1,SENSITIVITY
