model,institutional_percentile,inst_value,marginal_effect,standard_error,t_statistic,p_value,ci_lower,ci_upper,significance
DIVX,P10,-1.239373,-0.004711,0.001209,-3.894884,0.000098,-0.007081,-0.002340,1%
DIVX,P25,-0.878468,-0.004369,0.001040,-4.201159,0.000027,-0.006407,-0.002331,1%
DIVX,P50,-0.391606,-0.003907,0.001070,-3.650711,0.000262,-0.006005,-0.001810,1%
DIVX,P75,0.141341,-0.003402,0.001406,-2.419129,0.015558,-0.006159,-0.000646,5%
DIVX,P90,0.915454,-0.002668,0.002146,-1.243400,0.213721,-0.006875,0.001538,No
ECI,P10,-1.239373,-0.003352,0.004422,-0.758154,0.448359,-0.012019,0.005314,No
ECI,P25,-0.878468,-0.005229,0.003895,-1.342475,0.179442,-0.012862,0.002405,No
ECI,P50,-0.391606,-0.007760,0.003765,-2.060795,0.039323,-0.015140,-0.000380,5%
ECI,P75,0.141341,-0.010530,0.004424,-2.380123,0.017307,-0.019202,-0.001859,5%
ECI,P90,0.915454,-0.014555,0.006283,-2.316473,0.020532,-0.026869,-0.002240,5%
