country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
BDI,Burundi,BDI,1998,.1210074782300907,.0663491320960498,-6.549363744931631,0,1,1,DIVX,.237550896520383,.1704980842911877,.0038314176245211
COD,Democratic Republic of the Congo,COD,2021,.3277705145103571,.0508332281517586,-3.046089684538797,1,1,1,DIVX,.633153053558585,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2003,.0795741105347849,.0257128403888698,-5.144919059968976,0,1,1,DIVX,.318748486389221,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2006,.0806874954327714,.0244082281019348,-4.974982944038222,0,1,1,DIVX,.315883879619409,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2018,.1042904639142774,.0231982576892118,-4.210987834750422,0,1,1,DIVX,.345738628747758,.1704980842911877,.0038314176245211
GMB,The Gambia,GMB,1996,.1251760932560986,.021612592062892,-3.666469328063064,0,1,1,DIVX,.449002979601359,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2002,.0831491809425033,.020626003925148,-4.499071573654237,0,1,1,DIVX,.382450256042501,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2019,.1042199061863576,.0193675714440057,-3.849088984200674,0,1,1,DIVX,.377487391766622,.1704980842911877,.0038314176245211
IRN,Iran,IRN,2016,.0965603055074524,.0168886775849241,3.750102120182822,0,1,1,DIVX,.915227745108491,.1704980842911877,.0038314176245211
LBR,Liberia,LBR,2004,.0887017856557124,.0167518642938839,-3.913728138165627,0,1,1,DIVX,.421498438757196,.1704980842911877,.0038314176245211
LBR,Liberia,LBR,2005,.0839112367822139,.0166550230981524,-4.022780533658417,0,1,1,DIVX,.404038791515113,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2017,.1135499512398619,.0165805900571385,-3.394131406179896,0,1,1,DIVX,.360059846869693,.1704980842911877,.0038314176245211
CAF,Central African Republic,CAF,2000,.1068983650273347,.0161526295104673,-3.465624698309455,0,1,1,DIVX,.499416970106045,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2021,.1128682368679419,.0140066796742613,3.13019069260406,0,1,1,DIVX,.919845415286601,.1704980842911877,.0038314176245211
BDI,Burundi,BDI,2000,.0979385256477645,.013560344597771,-3.334046502435314,0,1,1,DIVX,.488169015133907,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2017,.0980707163311214,.0134380018461019,-3.31649175271684,0,1,1,DIVX,.395293742485273,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2014,.1063153733921585,.0131614674615658,3.137915682668184,0,1,1,DIVX,.8506434203637649,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2004,.0879533640084773,.0128217693908263,-3.439943263038478,0,1,1,DIVX,.42006865146268,.1704980842911877,.0038314176245211
COG,Republic of the Congo,COG,1996,.1180164656667939,.0123669634067774,2.8680418072639,0,1,0,DIVX,.575844401388786,.1704980842911877,.0038314176245211
IRQ,Iraq,IRQ,2004,.1625613327990409,.0115622250117783,2.30241492062932,0,1,0,DIVX,.178724763993457,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2009,.0776998999039682,.0111751496294246,3.435955851477809,0,1,1,DIVX,.958168827690615,.1704980842911877,.0038314176245211
KWT,Kuwait,KWT,2005,.0886631965898204,.0102614109464082,3.063841579335531,0,1,1,DIVX,.5928204065454979,.1704980842911877,.0038314176245211
AGO,Angola,AGO,2000,.1837706578519596,.0099005503883714,1.978302450717044,1,1,0,DIVX,.209185116068919,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2010,.0857848973213846,.0097745225820528,3.044819542134436,0,1,1,DIVX,.967013297892917,.1704980842911877,.0038314176245211
IRN,Iran,IRN,2015,.0898996456222703,.0096920363749872,2.955072721202078,0,1,0,DIVX,.85750568866868,.1704980842911877,.0038314176245211
IRN,Iran,IRN,2013,.0898222139287341,.0092345489293503,2.885852201308324,0,1,0,DIVX,.774168156532334,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2016,.0967213552682287,.0085718678176703,-2.6692080181501,0,1,0,DIVX,.470668578805959,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2012,.0847642134792066,.008198471299094,2.806865948374653,0,1,0,DIVX,.962344198943676,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2005,.0724605310771214,.0081800811486953,-3.052736029453318,0,1,1,DIVX,.435670167004369,.1704980842911877,.0038314176245211
GIN,Guinea,GIN,1996,.093552716079965,.0080090191502039,-2.628014426776575,0,1,0,DIVX,.514500224128272,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2005,.0898958133832624,.0079382422141593,2.674440863412613,0,1,0,DIVX,.869797916524804,.1704980842911877,.0038314176245211
IRN,Iran,IRN,1996,.1392967875202595,.0079316568333091,-2.088493475649705,0,1,0,DIVX,.299826959683757,.1704980842911877,.0038314176245211
COD,Democratic Republic of the Congo,COD,2020,.0920716898599716,.0076581762639384,-2.592509785344113,0,1,0,DIVX,.60964666294631,.1704980842911877,.0038314176245211
BRN,Brunei,BRN,2021,.1070413640389125,.0076164471146138,2.377995740035468,0,1,0,DIVX,.823911237285603,.1704980842911877,.0038314176245211
LBR,Liberia,LBR,2007,.0730486103773211,.0075912677831025,-2.928024185455453,0,1,0,DIVX,.515019121470664,.1704980842911877,.0038314176245211
AUS,Australia,AUS,2021,.1575618366651437,.0075103108775079,-1.890459855706092,0,1,0,DIVX,.80751988971906,.1704980842911877,.0038314176245211
IRN,Iran,IRN,2000,.1088481047652854,.0072462231699008,-2.297821494899536,0,1,0,DIVX,.31740798088737,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2006,.1156306004906069,.0070064933128144,2.183865171594231,0,1,0,DIVX,.832888614022723,.1704980842911877,.0038314176245211
COG,Republic of the Congo,COG,2021,.1166327171876613,.0069566734081327,2.165490432737609,0,1,0,DIVX,.767229336051761,.1704980842911877,.0038314176245211
GUY,Guyana,GUY,2019,.1241455526813882,.0066812814901164,-2.048213737679744,0,1,0,DIVX,.722744617010873,.1704980842911877,.0038314176245211
