model,variable,auxiliary_r2,vif,assessment
DIVX,rents_oil_gas,.4913644555440249,1.9660443,LOW
DIVX,rents_oil_gas_x_inst,.474857871456053,1.9042463,LOW
DIVX,rents_mining,.4185201187554235,1.7197499,LOW
DIVX,rents_mining_x_inst,.386933417552719,1.6311442,LOW
DIVX,log_gdppc,.33596364219425,1.5059416,LOW
DIVX,fexp,.3291763154821891,1.4907047,LOW
DIVX,ln1p_oilpc,.3219617608337519,1.474843,LOW
DIVX,innov,.2467965467330984,1.3276625,LOW
DIVX,inst,.2300776653595825,1.2988323,LOW
DIVX,fin,.2001768530310255,1.2502764,LOW
DIVX,net,.1952632250584631,1.2426424,LOW
DIVX,govcons,.1836678589980573,1.2249916,LOW
DIVX,ln1p_coalpc,.1752191348366754,1.2124432,LOW
DIVX,pexp,.1435655016027677,1.1676316,LOW
DIVX,vol,.1306542969012429,1.1502904,LOW
DIVX,humcap,.0907618990659996,1.0998219,LOW
DIVX,rer,.0822486179753894,1.0896198,LOW
DIVX,ln1p_gaspc,.0771824194431386,1.0836378,LOW
ECI,rents_oil_gas,.5099075550887466,2.0404313,LOW
ECI,rents_oil_gas_x_inst,.4768261433797578,1.9114105,LOW
ECI,rents_mining,.4194663958861833,1.7225531,LOW
ECI,rents_mining_x_inst,.3872694634423053,1.6320388,LOW
ECI,log_gdppc,.3664227256662707,1.5783395,LOW
ECI,fexp,.3359868223665914,1.5059942,LOW
ECI,ln1p_oilpc,.3242799731342579,1.4799029,LOW
ECI,hhi,.2872805814705862,1.4030766,LOW
ECI,innov,.2484797296856014,1.3306361,LOW
ECI,inst,.2308326531354875,1.3001072,LOW
ECI,fin,.2044181026203649,1.2569417,LOW
ECI,net,.2012043118921277,1.2518846,LOW
ECI,govcons,.1925491451298987,1.2384654,LOW
ECI,ln1p_coalpc,.1793418842854374,1.2185342,LOW
ECI,pexp,.1735504551266673,1.2099953,LOW
ECI,vol,.1310423177543267,1.150804,LOW
ECI,humcap,.1053362489555313,1.1177384,LOW
ECI,rer,.088882157035502,1.0975529,LOW
ECI,ln1p_gaspc,.0780012043222732,1.0846001,LOW
