order,term,xtreg_coefficient,reghdfe_coefficient,absolute_coefficient_difference,xtreg_standard_error,reghdfe_standard_error,absolute_se_difference,coefficient_match
1,rents_oil_gas,-.0072542005719523,-.0072542005,0,.0057355305,.0057355305,1.9553005e-12,1
2,rents_mining,-.0135974258260262,-.013597426,0,.0039144447,.0039144447,1.1199982e-13,1
3,inst,.2678691730140966,.26786917,4.9960036e-16,.13793421,.13793421,7.0010941e-12,1
4,c.rents_oil_gas#c.inst,-.0056538779833719,-.0056538782,0,.0039092535,.0039092535,1.6139954e-13,1
5,c.rents_mining#c.inst,-.0021268324145991,-.0021268325,0,.004286767,.004286767,1.5919991e-13,1
6,ln1p_oilpc,.0257683551232152,.025768355,9.7144515e-17,.036987416,.036987416,1.6047025e-12,1
7,ln1p_gaspc,.0396976864306043,.039697688,1.0408341e-16,.03405828,.03405828,1.5596968e-12,1
8,ln1p_coalpc,.0202685832053854,.020268584,1.0061396e-16,.025073234,.025073234,9.7140004e-13,1
9,hhi,-.5746616898885819,-.57466167,2.3314684e-15,.23361404,.23361404,1.8967050e-12,1
10,pexp,-.0042333279556088,-.0042333282,0,.0016052319,.0016052319,3.3000946e-15,1
11,fexp,-.0070011526464361,-.0070011527,0,.0019621705,.0019621705,8.2399799e-14,1
12,vol,-.0022107635290803,-.0022107635,0,.0026284442,.0026284442,1.9540012e-13,1
13,rer,-.0826052499881517,-.08260525,2.9143354e-16,.097568147,.097568147,2.8262948e-12,1
14,humcap,-.0574792573490785,-.057479259,2.9837244e-16,.2249334,.2249334,1.8112484e-11,1
15,innov,-.0348768267660669,-.034876827,3.9551695e-16,.049177185,.049177185,1.4985027e-12,1
16,net,-.0014461904336295,-.0014461904,0,.0020567039,.0020567039,5.6300017e-14,1
17,log_gdppc,-.0482211862742057,-.048221186,2.6992297e-15,.22147359,.22147359,5.3713145e-12,1
18,govcons,-.0055598591765945,-.0055598593,0,.0091508478,.0091508478,9.1300231e-14,1
19,fin,-.0009791226426994,-.00097912259,0,.0024123781,.0024123781,6.1799958e-14,1
