model,component,term,percentile,inst_value,marginal_effect,standard_error,t_statistic,p_value,ci_lower,ci_upper,significance
DIVX,mining,rents_mining,P10,-1.239373,-0.000301,0.002043,-0.147440,0.882785,-0.004305,0.003702,No
DIVX,mining,rents_mining,P25,-0.878468,-0.000625,0.001542,-0.405221,0.685315,-0.003647,0.002398,No
DIVX,mining,rents_mining,P50,-0.391606,-0.001062,0.001439,-0.737961,0.460538,-0.003881,0.001758,No
DIVX,mining,rents_mining,P75,0.141341,-0.001540,0.002124,-0.724802,0.468574,-0.005703,0.002624,No
DIVX,mining,rents_mining,P90,0.915454,-0.002234,0.003638,-0.614022,0.539200,-0.009365,0.004897,No
DIVX,oil_gas,rents_oil_gas,P10,-1.239373,-0.006348,0.001557,-4.077403,0.000046,-0.009399,-0.003296,1%
DIVX,oil_gas,rents_oil_gas,P25,-0.878468,-0.005911,0.001319,-4.481335,0.000007,-0.008497,-0.003326,1%
DIVX,oil_gas,rents_oil_gas,P50,-0.391606,-0.005322,0.001232,-4.321859,0.000015,-0.007736,-0.002909,1%
DIVX,oil_gas,rents_oil_gas,P75,0.141341,-0.004678,0.001481,-3.159234,0.001582,-0.007580,-0.001776,1%
DIVX,oil_gas,rents_oil_gas,P90,0.915454,-0.003742,0.002211,-1.692476,0.090555,-0.008075,0.000591,10%
ECI,mining,rents_mining,P10,-1.239373,-0.010961,0.004903,-2.235624,0.025376,-0.020571,-0.001352,5%
ECI,mining,rents_mining,P25,-0.878468,-0.011729,0.003959,-2.962440,0.003052,-0.019489,-0.003969,1%
ECI,mining,rents_mining,P50,-0.391606,-0.012765,0.003461,-3.688408,0.000226,-0.019547,-0.005982,1%
ECI,mining,rents_mining,P75,0.141341,-0.013898,0.004233,-3.283571,0.001025,-0.022194,-0.005602,1%
ECI,mining,rents_mining,P90,0.915454,-0.015544,0.006718,-2.313791,0.020679,-0.028712,-0.002377,5%
ECI,oil_gas,rents_oil_gas,P10,-1.239373,-0.000247,0.005505,-0.044857,0.964222,-0.011037,0.010543,No
ECI,oil_gas,rents_oil_gas,P25,-0.878468,-0.002287,0.005120,-0.446763,0.655046,-0.012323,0.007748,No
ECI,oil_gas,rents_oil_gas,P50,-0.391606,-0.005040,0.005197,-0.969894,0.332099,-0.015225,0.005145,No
ECI,oil_gas,rents_oil_gas,P75,0.141341,-0.008053,0.006014,-1.338987,0.180575,-0.019842,0.003735,No
ECI,oil_gas,rents_oil_gas,P90,0.915454,-0.012430,0.008060,-1.542277,0.123006,-0.028227,0.003366,No
