model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries
DIVX,1,AGO,c.rents_mining#c.inst,-0.0008969833,-0.0009043783,0.0022465833,0.6890991926,1023,48
DIVX,2,ALB,c.rents_mining#c.inst,-0.0008969833,-0.0008510216,0.0022550293,0.7075839043,1021,48
DIVX,3,ARE,c.rents_mining#c.inst,-0.0008969833,-0.0008787999,0.0022546728,0.6984686255,1021,48
DIVX,4,ATG,c.rents_mining#c.inst,-0.0008969833,-0.0011978620,0.0022755228,0.6010776758,1023,48
DIVX,5,AUS,c.rents_mining#c.inst,-0.0008969833,0.0002822105,0.0027630879,0.9190832973,1024,48
DIVX,6,BDI,c.rents_mining#c.inst,-0.0008969833,-0.0008878332,0.0023155236,0.7031324506,1021,48
DIVX,7,BHR,c.rents_mining#c.inst,-0.0008969833,-0.0009065738,0.0022684576,0.6912297010,1027,48
DIVX,8,BOL,c.rents_mining#c.inst,-0.0008969833,-0.0010221216,0.0022773249,0.6556201577,1021,48
DIVX,9,BRN,c.rents_mining#c.inst,-0.0008969833,-0.0008394143,0.0022273709,0.7079713941,1023,48
DIVX,10,CAF,c.rents_mining#c.inst,-0.0008969833,-0.0009058004,0.0022046538,0.6830436587,1023,48
DIVX,11,CHL,c.rents_mining#c.inst,-0.0008969833,0.0016386471,0.0037881299,0.6673026681,1021,48
DIVX,12,CMR,c.rents_mining#c.inst,-0.0008969833,-0.0009031699,0.0022743233,0.6930796504,1024,48
DIVX,13,COD,c.rents_mining#c.inst,-0.0008969833,-0.0028819155,0.0016191407,0.0815572888,1026,48
DIVX,14,COG,c.rents_mining#c.inst,-0.0008969833,-0.0010044751,0.0022441680,0.6565027833,1023,48
DIVX,15,COL,c.rents_mining#c.inst,-0.0008969833,-0.0009196730,0.0022418282,0.6834987998,1021,48
DIVX,16,DZA,c.rents_mining#c.inst,-0.0008969833,-0.0009347862,0.0022635816,0.6815082431,1021,48
DIVX,17,ECU,c.rents_mining#c.inst,-0.0008969833,-0.0009355853,0.0022581366,0.6805265546,1021,48
DIVX,18,EGY,c.rents_mining#c.inst,-0.0008969833,-0.0008545171,0.0022601699,0.7070760131,1021,48
DIVX,19,GAB,c.rents_mining#c.inst,-0.0008969833,-0.0008908340,0.0022730883,0.6969000697,1023,48
DIVX,20,GHA,c.rents_mining#c.inst,-0.0008969833,-0.0009740443,0.0022850779,0.6718621850,1021,48
DIVX,21,GIN,c.rents_mining#c.inst,-0.0008969833,-0.0004006364,0.0023309384,0.8642715812,1021,48
DIVX,22,GMB,c.rents_mining#c.inst,-0.0008969833,-0.0009391545,0.0022384254,0.6767182946,1023,48
DIVX,23,GUY,c.rents_mining#c.inst,-0.0008969833,-0.0009279649,0.0022263436,0.6787140965,1021,48
DIVX,24,IDN,c.rents_mining#c.inst,-0.0008969833,-0.0008877123,0.0022774187,0.6984534860,1021,48
DIVX,25,IND,c.rents_mining#c.inst,-0.0008969833,-0.0008713420,0.0022459889,0.6998011470,1021,48
DIVX,26,IRN,c.rents_mining#c.inst,-0.0008969833,-0.0010044839,0.0022379076,0.6556029320,1026,48
DIVX,27,IRQ,c.rents_mining#c.inst,-0.0008969833,-0.0009335871,0.0022458464,0.6795250773,1026,48
DIVX,28,ISR,c.rents_mining#c.inst,-0.0008969833,-0.0008763527,0.0022404415,0.6974526644,1021,48
DIVX,29,JAM,c.rents_mining#c.inst,-0.0008969833,-0.0007939448,0.0023090011,0.7324943542,1021,48
DIVX,30,JOR,c.rents_mining#c.inst,-0.0008969833,-0.0008183174,0.0023073370,0.7244316339,1021,48
DIVX,31,KWT,c.rents_mining#c.inst,-0.0008969833,-0.0009215260,0.0022706881,0.6867051721,1022,48
DIVX,32,LBR,c.rents_mining#c.inst,-0.0008969833,-0.0007355154,0.0021071890,0.7286103368,1023,48
DIVX,34,MNG,c.rents_mining#c.inst,-0.0008969833,-0.0010152404,0.0022238051,0.6501095891,1023,48
DIVX,35,MRT,c.rents_mining#c.inst,-0.0008969833,-0.0009516692,0.0023921279,0.6925540566,1029,48
DIVX,36,NGA,c.rents_mining#c.inst,-0.0008969833,-0.0008831006,0.0022515967,0.6966754198,1021,48
DIVX,37,NOR,c.rents_mining#c.inst,-0.0008969833,-0.0009014414,0.0022822618,0.6946465969,1021,48
DIVX,39,OMN,c.rents_mining#c.inst,-0.0008969833,-0.0009077034,0.0022763463,0.6918799877,1023,48
DIVX,40,PER,c.rents_mining#c.inst,-0.0008969833,-0.0008464250,0.0022975632,0.7142283320,1021,48
DIVX,42,QAT,c.rents_mining#c.inst,-0.0008969833,-0.0011077659,0.0022378534,0.6228974462,1021,48
DIVX,43,RUS,c.rents_mining#c.inst,-0.0008969833,-0.0008947097,0.0022529766,0.6930741668,1024,48
DIVX,44,SAU,c.rents_mining#c.inst,-0.0008969833,-0.0008889172,0.0022528342,0.6949397326,1025,48
DIVX,46,SUR,c.rents_mining#c.inst,-0.0008969833,-0.0019905053,0.0015663846,0.2100666314,1028,48
DIVX,47,SYC,c.rents_mining#c.inst,-0.0008969833,-0.0009496328,0.0022580763,0.6760007739,1024,48
DIVX,48,SYR,c.rents_mining#c.inst,-0.0008969833,-0.0009044808,0.0022579483,0.6905471683,1031,48
DIVX,49,TGO,c.rents_mining#c.inst,-0.0008969833,-0.0011026345,0.0023199124,0.6367807984,1021,48
DIVX,50,TTO,c.rents_mining#c.inst,-0.0008969833,-0.0009077120,0.0022716799,0.6912779212,1021,48
DIVX,52,VNM,c.rents_mining#c.inst,-0.0008969833,-0.0008045430,0.0022731947,0.7249770761,1021,48
DIVX,54,ZAF,c.rents_mining#c.inst,-0.0008969833,-0.0007989053,0.0023316338,0.7333988547,1021,48
DIVX,55,ZMB,c.rents_mining#c.inst,-0.0008969833,-0.0006248239,0.0022584153,0.7832506299,1021,48
DIVX,1,AGO,c.rents_oil_gas#c.inst,0.0012093831,0.0016911873,0.0014082476,0.2358011156,1023,48
DIVX,2,ALB,c.rents_oil_gas#c.inst,0.0012093831,0.0012319819,0.0013141549,0.3533090353,1021,48
DIVX,3,ARE,c.rents_oil_gas#c.inst,0.0012093831,0.0010809937,0.0014432733,0.4575969875,1021,48
DIVX,4,ATG,c.rents_oil_gas#c.inst,0.0012093831,0.0010929921,0.0012701327,0.3938634694,1023,48
DIVX,5,AUS,c.rents_oil_gas#c.inst,0.0012093831,0.0014044741,0.0012965476,0.2842272818,1024,48
DIVX,6,BDI,c.rents_oil_gas#c.inst,0.0012093831,0.0011219828,0.0013036320,0.3937951326,1021,48
DIVX,7,BHR,c.rents_oil_gas#c.inst,0.0012093831,0.0012109829,0.0013026590,0.3573161364,1027,48
DIVX,8,BOL,c.rents_oil_gas#c.inst,0.0012093831,0.0011249802,0.0013309491,0.4022556841,1021,48
DIVX,9,BRN,c.rents_oil_gas#c.inst,0.0012093831,0.0011255789,0.0013887341,0.4217339158,1023,48
DIVX,10,CAF,c.rents_oil_gas#c.inst,0.0012093831,0.0013404766,0.0012891714,0.3037539124,1023,48
DIVX,11,CHL,c.rents_oil_gas#c.inst,0.0012093831,0.0011690556,0.0013112929,0.3771870434,1021,48
DIVX,12,CMR,c.rents_oil_gas#c.inst,0.0012093831,0.0011682868,0.0012980624,0.3726962209,1024,48
DIVX,13,COD,c.rents_oil_gas#c.inst,0.0012093831,0.0014683492,0.0012601682,0.2498174012,1026,48
DIVX,14,COG,c.rents_oil_gas#c.inst,0.0012093831,0.0006006216,0.0012273082,0.6268481016,1023,48
DIVX,15,COL,c.rents_oil_gas#c.inst,0.0012093831,0.0011851310,0.0013226005,0.3747867048,1021,48
DIVX,16,DZA,c.rents_oil_gas#c.inst,0.0012093831,0.0011875603,0.0013100657,0.3693011701,1021,48
