model,component,term,percentile,inst_value,marginal_effect,standard_error,t_statistic,p_value,ci_lower,ci_upper,significance
DIVX,mining,rents_mining,P10,-1.239373,-.000301,.002043,-.14744,.882785,-.004305,.003702,No
DIVX,mining,rents_mining,P25,-.878468,-.000625,.001542,-.405221,.685315,-.003647,.002398,No
DIVX,mining,rents_mining,P50,-.391606,-.001062,.001439,-.737961,.460538,-.003881,.001758,No
DIVX,mining,rents_mining,P75,.141341,-.00154,.002124,-.724802,.468574,-.005703,.002624,No
DIVX,mining,rents_mining,P90,.915454,-.002234,.003638,-.614022,.5392,-.009365,.004897,No
DIVX,oil_gas,rents_oil_gas,P10,-1.239373,-.006348,.001557,-4.077403,.000046,-.009399,-.003296,1%
DIVX,oil_gas,rents_oil_gas,P25,-.878468,-.005911,.001319,-4.481335,7.000e-06,-.008497,-.003326,1%
DIVX,oil_gas,rents_oil_gas,P50,-.391606,-.005322,.001232,-4.321859,.000015,-.007736,-.002909,1%
DIVX,oil_gas,rents_oil_gas,P75,.141341,-.004678,.001481,-3.159234,.001582,-.00758,-.001776,1%
DIVX,oil_gas,rents_oil_gas,P90,.915454,-.003742,.002211,-1.692476,.090555,-.008075,.000591,10%
ECI,mining,rents_mining,P10,-1.239373,-.010961,.004903,-2.235624,.025376,-.020571,-.001352,5%
ECI,mining,rents_mining,P25,-.878468,-.011729,.003959,-2.96244,.003052,-.019489,-.003969,1%
ECI,mining,rents_mining,P50,-.391606,-.012765,.003461,-3.688408,.000226,-.019547,-.005982,1%
ECI,mining,rents_mining,P75,.141341,-.013898,.004233,-3.283571,.001025,-.022194,-.005602,1%
ECI,mining,rents_mining,P90,.915454,-.015544,.006718,-2.313791,.020679,-.028712,-.002377,5%
ECI,oil_gas,rents_oil_gas,P10,-1.239373,-.000247,.005505,-.044857,.964222,-.011037,.010543,No
ECI,oil_gas,rents_oil_gas,P25,-.878468,-.002287,.00512,-.446763,.655046,-.012323,.007748,No
ECI,oil_gas,rents_oil_gas,P50,-.391606,-.00504,.005197,-.969894,.332099,-.015225,.005145,No
ECI,oil_gas,rents_oil_gas,P75,.141341,-.008053,.006014,-1.338987,.180575,-.019842,.003735,No
ECI,oil_gas,rents_oil_gas,P90,.915454,-.01243,.00806,-1.542277,.123006,-.028227,.003366,No
