model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M1,DIVX,1,rents,-0.004492,0.001356,-3.312896,0.001761,-0.007217,-0.001766
M1,DIVX,2,inst,0.035485,0.030999,1.144698,0.258010,-0.026843,0.097813
M1,DIVX,3,c.rents#c.inst,0.000148,0.001135,0.130703,0.896557,-0.002133,0.002430
M1,DIVX,4,ln1p_oilpc,0.008346,0.008706,0.958650,0.342539,-0.009159,0.025851
M1,DIVX,5,ln1p_gaspc,0.005619,0.007026,0.799765,0.427787,-0.008507,0.019745
M1,DIVX,6,ln1p_coalpc,-0.005638,0.007920,-0.711806,0.480030,-0.021562,0.010287
M1,DIVX,7,pexp,0.001601,0.000635,2.522697,0.015014,0.000325,0.002877
M1,DIVX,8,fexp,-0.001146,0.001064,-1.076859,0.286926,-0.003285,0.000994
M1,DIVX,9,log_gdppc,-0.139016,0.035955,-3.866372,0.000332,-0.211309,-0.066723
M1,ECI,1,rents,-0.007237,0.003882,-1.864190,0.068417,-0.015043,0.000569
M1,ECI,2,inst,0.219506,0.140088,1.566922,0.123702,-0.062159,0.501171
M1,ECI,3,c.rents#c.inst,-0.003190,0.003660,-0.871631,0.387749,-0.010549,0.004169
M1,ECI,4,ln1p_oilpc,0.024163,0.035134,0.687756,0.494917,-0.046478,0.094804
M1,ECI,5,ln1p_gaspc,0.038073,0.035953,1.058982,0.294908,-0.034215,0.110361
M1,ECI,6,ln1p_coalpc,-0.011887,0.029114,-0.408272,0.684890,-0.070425,0.046652
M1,ECI,7,hhi,-0.503108,0.266009,-1.891321,0.064624,-1.037955,0.031739
M1,ECI,8,pexp,-0.003989,0.001704,-2.341037,0.023431,-0.007416,-0.000563
M1,ECI,9,fexp,-0.006494,0.002288,-2.837769,0.006638,-0.011095,-0.001893
M1,ECI,10,log_gdppc,-0.078325,0.203963,-0.384018,0.702661,-0.488420,0.331770
