model,outcome,order,percentile,inst_value,marginal_effect,standard_error,p_value,ci_lower,ci_upper
M1,DIVX,1,P10,-1.239373,-0.004675,0.001360,0.000584,-0.007340,-0.002011
M1,DIVX,2,P25,-0.878468,-0.004622,0.001199,0.000116,-0.006971,-0.002272
M1,DIVX,3,P50,-0.391606,-0.004550,0.001189,0.000130,-0.006880,-0.002219
M1,DIVX,4,P75,0.141341,-0.004471,0.001445,0.001977,-0.007303,-0.001638
M1,DIVX,5,P90,0.915454,-0.004356,0.002091,0.037212,-0.008453,-0.000258
M1,ECI,1,P10,-1.239373,-0.003284,0.004849,0.498315,-0.012788,0.006221
M1,ECI,2,P25,-0.878468,-0.004435,0.004100,0.279393,-0.012471,0.003601
M1,ECI,3,P50,-0.391606,-0.005988,0.003646,0.100515,-0.013134,0.001158
M1,ECI,4,P75,0.141341,-0.007688,0.004089,0.060103,-0.015704,0.000327
M1,ECI,5,P90,0.915454,-0.010158,0.005938,0.087140,-0.021796,0.001480
