model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M1,DIVX,1,rents,-0.0044915034,-0.0044915034,0.0000000000,1
M1,DIVX,2,inst,0.0354847097,0.0354847088,0.0000000000,1
M1,DIVX,3,c.rents#c.inst,0.0001483233,0.0001483233,0.0000000000,1
M1,DIVX,4,ln1p_oilpc,0.0083460560,0.0083460556,0.0000000000,1
M1,DIVX,5,ln1p_gaspc,0.0056188746,0.0056188744,0.0000000000,1
M1,DIVX,6,ln1p_coalpc,-0.0056375436,-0.0056375437,0.0000000000,1
M1,DIVX,7,pexp,0.0016011465,0.0016011465,0.0000000000,1
M1,DIVX,8,fexp,-0.0011457821,-0.0011457821,0.0000000000,1
M1,DIVX,9,log_gdppc,-0.1390163727,-0.1390163749,0.0000000000,1
M1,ECI,1,rents,-0.0072374388,-0.0072374386,0.0000000000,1
M1,ECI,2,inst,0.2195063100,0.2195063084,0.0000000000,1
M1,ECI,3,c.rents#c.inst,-0.0031900629,-0.0031900629,0.0000000000,1
M1,ECI,4,ln1p_oilpc,0.0241633884,0.0241633877,0.0000000000,1
M1,ECI,5,ln1p_gaspc,0.0380732934,0.0380732939,0.0000000000,1
M1,ECI,6,ln1p_coalpc,-0.0118865746,-0.0118865743,0.0000000000,1
M1,ECI,7,hhi,-0.5031081296,-0.5031081438,0.0000000000,1
M1,ECI,8,pexp,-0.0039893818,-0.0039893817,0.0000000000,1
M1,ECI,9,fexp,-0.0064937655,-0.0064937654,0.0000000000,1
M1,ECI,10,log_gdppc,-0.0783253675,-0.0783253685,0.0000000000,1
