model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M2,DIVX,1,rents,-0.004262,0.001219,-3.495708,0.001028,-0.006714,-0.001811
M2,DIVX,2,inst,0.026399,0.028844,0.915252,0.364635,-0.031595,0.084394
M2,DIVX,3,c.rents#c.inst,0.000735,0.001215,0.604789,0.548168,-0.001708,0.003178
M2,DIVX,4,vol,0.001309,0.000979,1.337255,0.187442,-0.000659,0.003276
M2,DIVX,5,rer,-0.044944,0.039884,-1.126876,0.265397,-0.125136,0.035248
M2,DIVX,6,humcap,0.131419,0.043368,3.030304,0.003928,0.044221,0.218617
M2,DIVX,7,innov,0.010622,0.014963,0.709880,0.481213,-0.019463,0.040707
M2,DIVX,8,net,-0.000888,0.000409,-2.173058,0.034742,-0.001710,-0.000066
M2,DIVX,9,log_gdppc,-0.167893,0.033792,-4.968488,0.000009,-0.235836,-0.099951
M2,DIVX,10,govcons,0.002293,0.001654,1.386152,0.172106,-0.001033,0.005618
M2,DIVX,11,fin,0.000732,0.000395,1.854455,0.069823,-0.000062,0.001525
M2,ECI,1,rents,-0.013059,0.004249,-3.073678,0.003482,-0.021601,-0.004516
M2,ECI,2,inst,0.295349,0.133380,2.214340,0.031588,0.027170,0.563527
M2,ECI,3,c.rents#c.inst,-0.004645,0.003789,-1.225996,0.226181,-0.012262,0.002973
M2,ECI,4,vol,-0.002162,0.002508,-0.861739,0.393116,-0.007205,0.002882
M2,ECI,5,rer,-0.084802,0.103877,-0.816361,0.418327,-0.293661,0.124058
M2,ECI,6,humcap,0.099611,0.244501,0.407407,0.685520,-0.391990,0.591213
M2,ECI,7,innov,-0.021213,0.047830,-0.443520,0.659382,-0.117382,0.074955
M2,ECI,8,net,-0.001569,0.002186,-0.717857,0.476325,-0.005964,0.002826
M2,ECI,9,log_gdppc,-0.153223,0.197706,-0.775006,0.442137,-0.550738,0.244291
M2,ECI,10,govcons,-0.006293,0.010385,-0.605966,0.547392,-0.027174,0.014588
M2,ECI,11,fin,-0.000158,0.002584,-0.061341,0.951342,-0.005354,0.005037
