model,outcome,order,percentile,inst_value,marginal_effect,standard_error,p_value,ci_lower,ci_upper
M2,DIVX,1,P10,-1.239373,-0.005173,0.001397,0.000212,-0.007911,-0.002436
M2,DIVX,2,P25,-0.878468,-0.004908,0.001161,0.000024,-0.007183,-0.002633
M2,DIVX,3,P50,-0.391606,-0.004550,0.001069,0.000021,-0.006646,-0.002455
M2,DIVX,4,P75,0.141341,-0.004159,0.001312,0.001529,-0.006731,-0.001587
M2,DIVX,5,P90,0.915454,-0.003590,0.002014,0.074684,-0.007537,0.000358
M2,ECI,1,P10,-1.239373,-0.007302,0.004630,0.114765,-0.016377,0.001773
M2,ECI,2,P25,-0.878468,-0.008978,0.003987,0.024344,-0.016794,-0.001163
M2,ECI,3,P50,-0.391606,-0.011240,0.003789,0.003011,-0.018666,-0.003814
M2,ECI,4,P75,0.141341,-0.013715,0.004524,0.002431,-0.022582,-0.004849
M2,ECI,5,P90,0.915454,-0.017311,0.006623,0.008955,-0.030292,-0.004330
