order,family,file,purpose
1,Diseño,m2_design_register.csv,"Pregunta, resultados y regla común de estimación."
2,Diseño,m2_variable_register.csv,Variables y canales incluidos en ECI y DIVX.
3,Muestra,m2_sample_validation.csv,Validación de 1.044 observaciones y 49 países.
4,Estimación,m2_eci.ster,Estimación principal M2 para ECI.
5,Estimación,m2_divx.ster,Estimación complementaria M2 para DIVX.
6,Resultados,m2_coefficients.csv,"Coeficientes, errores e intervalos de las dos ecuaciones."
7,Resultados,m2_model_summary.csv,Cobertura y ajuste within de ECI y DIVX.
8,Inferencia,m2_joint_tests.csv,Pruebas conjuntas por canal sustantivo.
9,Inferencia,m2_wild_cluster_bootstrap.csv,Bootstrap para RENTS y RENTS x INST.
10,Interpretación,m2_marginal_effects.csv,Asociación marginal de RENTS según percentiles de INST.
11,Verificación,m2_xtreg_reghdfe_verification.csv,Equivalencia numérica entre xtreg y reghdfe.
12,Tabla,m2_results_table.tex,Tabla LaTeX compacta del Modelo 2.
13,Tabla,m2_results_table.txt,Tabla de texto compacta del Modelo 2.
14,Figura,m2_marginal_effects.pdf,Figura comparada apta para LaTeX.
15,Figura,m2_marginal_effects.png,Figura comparada para inspección visual.
16,Documentación,m2_results_manifest.csv,Inventario reproducible de productos de M2.
