model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M2,DIVX,1,rents,-0.0042624922,-0.0042624921,0.0000000000,1
M2,DIVX,2,inst,0.0263994642,0.0263994634,0.0000000000,1
M2,DIVX,3,c.rents#c.inst,0.0007348483,0.0007348483,0.0000000000,1
M2,DIVX,4,vol,0.0013087281,0.0013087281,0.0000000000,1
M2,DIVX,5,rer,-0.0449442776,-0.0449442789,0.0000000000,1
M2,DIVX,6,humcap,0.1314188814,0.1314188838,0.0000000000,1
M2,DIVX,7,innov,0.0106218540,0.0106218541,0.0000000000,1
M2,DIVX,8,net,-0.0008882630,-0.0008882630,0.0000000000,1
M2,DIVX,9,log_gdppc,-0.1678930767,-0.1678930819,0.0000000000,1
M2,DIVX,10,govcons,0.0022925848,0.0022925849,0.0000000000,1
M2,DIVX,11,fin,0.0007318578,0.0007318578,0.0000000000,1
M2,ECI,1,rents,-0.0130588018,-0.0130588021,0.0000000000,1
M2,ECI,2,inst,0.2953486891,0.2953487039,0.0000000000,1
M2,ECI,3,c.rents#c.inst,-0.0046448577,-0.0046448577,0.0000000000,1
M2,ECI,4,vol,-0.0021616188,-0.0021616188,0.0000000000,1
M2,ECI,5,rer,-0.0848015109,-0.0848015100,0.0000000000,1
M2,ECI,6,humcap,0.0996113298,0.0996113271,0.0000000000,1
M2,ECI,7,innov,-0.0212134413,-0.0212134421,0.0000000000,1
M2,ECI,8,net,-0.0015691358,-0.0015691358,0.0000000000,1
M2,ECI,9,log_gdppc,-0.1532233022,-0.1532233059,0.0000000000,1
M2,ECI,10,govcons,-0.0062931289,-0.0062931287,0.0000000000,1
M2,ECI,11,fin,-0.0001584951,-0.0001584951,0.0000000000,1
