model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M3_OG,DIVX,1,rents_oil_gas,-0.004709,0.001348,-3.492064,0.001040,-0.007420,-0.001998
M3_OG,DIVX,2,inst,0.015207,0.028095,0.541264,0.590829,-0.041282,0.071695
M3_OG,DIVX,3,c.rents_oil_gas#c.inst,0.001273,0.001292,0.985544,0.329299,-0.001324,0.003870
M3_OG,DIVX,4,ln1p_oilpc,0.008459,0.008234,1.027284,0.309436,-0.008097,0.025014
M3_OG,DIVX,5,ln1p_gaspc,0.004727,0.006556,0.721103,0.474344,-0.008454,0.017908
M3_OG,DIVX,6,ln1p_coalpc,-0.014871,0.006840,-2.174182,0.034653,-0.028623,-0.001119
M3_OG,DIVX,7,pexp,0.001532,0.000635,2.414521,0.019617,0.000256,0.002808
M3_OG,DIVX,8,fexp,-0.000925,0.000969,-0.955108,0.344309,-0.002873,0.001022
M3_OG,DIVX,9,vol,0.000339,0.000947,0.358354,0.721650,-0.001565,0.002243
M3_OG,DIVX,10,rer,-0.042651,0.036111,-1.181080,0.243390,-0.115258,0.029956
M3_OG,DIVX,11,humcap,0.107623,0.041974,2.564066,0.013531,0.023229,0.192016
M3_OG,DIVX,12,innov,0.010533,0.013801,0.763220,0.449067,-0.017216,0.038282
M3_OG,DIVX,13,net,-0.000622,0.000370,-1.678293,0.099790,-0.001366,0.000123
M3_OG,DIVX,14,log_gdppc,-0.141916,0.035915,-3.951438,0.000254,-0.214129,-0.069704
M3_OG,DIVX,15,govcons,0.002941,0.001736,1.694259,0.096696,-0.000549,0.006432
M3_OG,DIVX,16,fin,0.000584,0.000352,1.656424,0.104160,-0.000125,0.001292
M3_OG,ECI,1,rents_oil_gas,-0.005604,0.005756,-0.973613,0.335130,-0.017178,0.005969
M3_OG,ECI,2,inst,0.265308,0.140189,1.892495,0.064464,-0.016562,0.547177
M3_OG,ECI,3,c.rents_oil_gas#c.inst,-0.005064,0.003928,-1.289356,0.203453,-0.012961,0.002833
M3_OG,ECI,4,ln1p_oilpc,0.018858,0.040779,0.462457,0.645843,-0.063133,0.100849
M3_OG,ECI,5,ln1p_gaspc,0.040660,0.035959,1.130732,0.263786,-0.031641,0.112961
M3_OG,ECI,6,ln1p_coalpc,0.004155,0.030497,0.136259,0.892186,-0.057163,0.065474
M3_OG,ECI,7,hhi,-0.590503,0.232107,-2.544096,0.014229,-1.057185,-0.123820
M3_OG,ECI,8,pexp,-0.004187,0.001565,-2.675327,0.010180,-0.007334,-0.001040
M3_OG,ECI,9,fexp,-0.006909,0.002000,-3.454392,0.001163,-0.010931,-0.002888
M3_OG,ECI,10,vol,-0.003127,0.002603,-1.201160,0.235583,-0.008362,0.002107
M3_OG,ECI,11,rer,-0.096169,0.097530,-0.986039,0.329059,-0.292266,0.099929
M3_OG,ECI,12,humcap,-0.048237,0.227704,-0.211843,0.833127,-0.506067,0.409592
M3_OG,ECI,13,innov,-0.032353,0.049068,-0.659354,0.512820,-0.131011,0.066305
M3_OG,ECI,14,net,-0.001056,0.002042,-0.517200,0.607392,-0.005163,0.003050
M3_OG,ECI,15,log_gdppc,-0.049191,0.221440,-0.222142,0.825146,-0.494426,0.396043
M3_OG,ECI,16,govcons,-0.005633,0.009213,-0.611408,0.543815,-0.024158,0.012892
M3_OG,ECI,17,fin,-0.000966,0.002462,-0.392300,0.696573,-0.005917,0.003985
