model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M3_OG,DIVX,1,rents_oil_gas,-0.0047087237,-0.0047087236,0.0000000000,1
M3_OG,DIVX,2,inst,0.0152067435,0.0152067440,0.0000000000,1
M3_OG,DIVX,3,c.rents_oil_gas#c.inst,0.0012731152,0.0012731153,0.0000000000,1
M3_OG,DIVX,4,ln1p_oilpc,0.0084585185,0.0084585184,0.0000000000,1
M3_OG,DIVX,5,ln1p_gaspc,0.0047272310,0.0047272309,0.0000000000,1
M3_OG,DIVX,6,ln1p_coalpc,-0.0148710163,-0.0148710161,0.0000000000,1
M3_OG,DIVX,7,pexp,0.0015320907,0.0015320907,0.0000000000,1
M3_OG,DIVX,8,fexp,-0.0009250847,-0.0009250847,0.0000000000,1
M3_OG,DIVX,9,vol,0.0003393470,0.0003393470,0.0000000000,1
M3_OG,DIVX,10,rer,-0.0426505700,-0.0426505692,0.0000000000,1
M3_OG,DIVX,11,humcap,0.1076229477,0.1076229513,0.0000000000,1
M3_OG,DIVX,12,innov,0.0105332382,0.0105332378,0.0000000000,1
M3_OG,DIVX,13,net,-0.0006216052,-0.0006216052,0.0000000000,1
M3_OG,DIVX,14,log_gdppc,-0.1419163975,-0.1419163942,0.0000000000,1
M3_OG,DIVX,15,govcons,0.0029411824,0.0029411823,0.0000000000,1
M3_OG,DIVX,16,fin,0.0005836115,0.0005836115,0.0000000000,1
M3_OG,ECI,1,rents_oil_gas,-0.0056043651,-0.0056043649,0.0000000000,1
M3_OG,ECI,2,inst,0.2653075684,0.2653075755,0.0000000000,1
M3_OG,ECI,3,c.rents_oil_gas#c.inst,-0.0050640369,-0.0050640367,0.0000000000,1
M3_OG,ECI,4,ln1p_oilpc,0.0188583742,0.0188583750,0.0000000000,1
M3_OG,ECI,5,ln1p_gaspc,0.0406602595,0.0406602584,0.0000000000,1
M3_OG,ECI,6,ln1p_coalpc,0.0041554890,0.0041554892,0.0000000000,1
M3_OG,ECI,7,hhi,-0.5905027766,-0.5905027986,0.0000000000,1
M3_OG,ECI,8,pexp,-0.0041870059,-0.0041870060,0.0000000000,1
M3_OG,ECI,9,fexp,-0.0069091016,-0.0069091017,0.0000000000,1
M3_OG,ECI,10,vol,-0.0031271687,-0.0031271686,0.0000000000,1
M3_OG,ECI,11,rer,-0.0961686247,-0.0961686224,0.0000000000,1
M3_OG,ECI,12,humcap,-0.0482374981,-0.0482374988,0.0000000000,1
M3_OG,ECI,13,innov,-0.0323531178,-0.0323531181,0.0000000000,1
M3_OG,ECI,14,net,-0.0010563235,-0.0010563234,0.0000000000,1
M3_OG,ECI,15,log_gdppc,-0.0491911413,-0.0491911396,0.0000000000,1
M3_OG,ECI,16,govcons,-0.0056332011,-0.0056332010,0.0000000000,1
M3_OG,ECI,17,fin,-0.0009659544,-0.0009659544,0.0000000000,1
