model_family,outcome,specification,order,concept,term,coefficient,standard_error,p_value
M1,DIVX,RENTS total,1,RENTS,rents,-0.004492,0.001356,0.001761
M1,DIVX,RENTS_OIL_GAS,1,RENTS,rents_oil_gas,-0.005901,0.001494,0.000255
M1,DIVX,RENTS total,2,INST,inst,0.035485,0.030999,0.258010
M1,DIVX,RENTS_OIL_GAS,2,INST,inst,0.029870,0.030262,0.328576
M1,DIVX,RENTS total,3,RENTS_x_INST,c.rents#c.inst,0.000148,0.001135,0.896557
M1,DIVX,RENTS_OIL_GAS,3,RENTS_x_INST,c.rents_oil_gas#c.inst,0.000422,0.001346,0.755491
M1,ECI,RENTS total,1,RENTS,rents,-0.007237,0.003882,0.068417
M1,ECI,RENTS_OIL_GAS,1,RENTS,rents_oil_gas,-0.002306,0.004700,0.625970
M1,ECI,RENTS total,2,INST,inst,0.219506,0.140088,0.123702
M1,ECI,RENTS_OIL_GAS,2,INST,inst,0.218292,0.141699,0.129996
M1,ECI,RENTS total,3,RENTS_x_INST,c.rents#c.inst,-0.003190,0.003660,0.387749
M1,ECI,RENTS_OIL_GAS,3,RENTS_x_INST,c.rents_oil_gas#c.inst,-0.002673,0.003990,0.506159
M2,DIVX,RENTS total,1,RENTS,rents,-0.004262,0.001219,0.001028
M2,DIVX,RENTS_OIL_GAS,1,RENTS,rents_oil_gas,-0.005262,0.001328,0.000245
M2,DIVX,RENTS total,2,INST,inst,0.026399,0.028844,0.364635
M2,DIVX,RENTS_OIL_GAS,2,INST,inst,0.022420,0.028997,0.443200
M2,DIVX,RENTS total,3,RENTS_x_INST,c.rents#c.inst,0.000735,0.001215,0.548168
M2,DIVX,RENTS_OIL_GAS,3,RENTS_x_INST,c.rents_oil_gas#c.inst,0.001196,0.001341,0.377036
M2,ECI,RENTS total,1,RENTS,rents,-0.013059,0.004249,0.003482
M2,ECI,RENTS_OIL_GAS,1,RENTS,rents_oil_gas,-0.011221,0.004962,0.028302
M2,ECI,RENTS total,2,INST,inst,0.295349,0.133380,0.031588
M2,ECI,RENTS_OIL_GAS,2,INST,inst,0.298049,0.137419,0.035074
M2,ECI,RENTS total,3,RENTS_x_INST,c.rents#c.inst,-0.004645,0.003789,0.226181
M2,ECI,RENTS_OIL_GAS,3,RENTS_x_INST,c.rents_oil_gas#c.inst,-0.004709,0.004378,0.287419
