model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M1_OG,DIVX,1,rents_oil_gas,-0.005901,0.001494,-3.949901,0.000255,-0.008905,-0.002897
M1_OG,DIVX,2,inst,0.029870,0.030262,0.987032,0.328576,-0.030976,0.090716
M1_OG,DIVX,3,c.rents_oil_gas#c.inst,0.000422,0.001346,0.313193,0.755491,-0.002286,0.003129
M1_OG,DIVX,4,ln1p_oilpc,0.009294,0.007999,1.161915,0.251015,-0.006789,0.025377
M1_OG,DIVX,5,ln1p_gaspc,0.004951,0.006899,0.717614,0.476474,-0.008920,0.018822
M1_OG,DIVX,6,ln1p_coalpc,-0.013463,0.006386,-2.108273,0.040253,-0.026303,-0.000624
M1_OG,DIVX,7,pexp,0.001597,0.000633,2.520832,0.015085,0.000323,0.002870
M1_OG,DIVX,8,fexp,-0.000992,0.001048,-0.946782,0.348492,-0.003098,0.001115
M1_OG,DIVX,9,log_gdppc,-0.133649,0.036430,-3.668666,0.000610,-0.206896,-0.060402
M1_OG,ECI,1,rents_oil_gas,-0.002306,0.004700,-0.490563,0.625970,-0.011755,0.007144
M1_OG,ECI,2,inst,0.218292,0.141699,1.540540,0.129996,-0.066612,0.503197
M1_OG,ECI,3,c.rents_oil_gas#c.inst,-0.002673,0.003990,-0.669856,0.506159,-0.010696,0.005350
M1_OG,ECI,4,ln1p_oilpc,0.013799,0.038342,0.359879,0.720516,-0.063294,0.090891
M1_OG,ECI,5,ln1p_gaspc,0.039205,0.036926,1.061739,0.293667,-0.035039,0.113449
M1_OG,ECI,6,ln1p_coalpc,-0.014672,0.032639,-0.449535,0.655069,-0.080297,0.050952
M1_OG,ECI,7,hhi,-0.567813,0.274728,-2.066817,0.044168,-1.120191,-0.015435
M1_OG,ECI,8,pexp,-0.004045,0.001678,-2.411219,0.019775,-0.007419,-0.000672
M1_OG,ECI,9,fexp,-0.006684,0.002367,-2.823597,0.006894,-0.011443,-0.001924
M1_OG,ECI,10,log_gdppc,-0.080806,0.205015,-0.394148,0.695218,-0.493015,0.331403
M2_OG,DIVX,1,rents_oil_gas,-0.005262,0.001328,-3.962876,0.000245,-0.007931,-0.002592
M2_OG,DIVX,2,inst,0.022420,0.028997,0.773191,0.443200,-0.035883,0.080724
M2_OG,DIVX,3,c.rents_oil_gas#c.inst,0.001196,0.001341,0.891636,0.377036,-0.001500,0.003892
M2_OG,DIVX,4,vol,0.000714,0.000986,0.723736,0.472741,-0.001269,0.002696
M2_OG,DIVX,5,rer,-0.051173,0.040299,-1.269824,0.210269,-0.132199,0.029854
M2_OG,DIVX,6,humcap,0.129344,0.041635,3.106602,0.003175,0.045631,0.213057
M2_OG,DIVX,7,innov,0.008940,0.015299,0.584363,0.561713,-0.021820,0.039700
M2_OG,DIVX,8,net,-0.000754,0.000425,-1.773769,0.082445,-0.001609,0.000101
M2_OG,DIVX,9,log_gdppc,-0.165818,0.034538,-4.801030,0.000016,-0.235261,-0.096374
M2_OG,DIVX,10,govcons,0.002070,0.001605,1.290249,0.203145,-0.001156,0.005296
M2_OG,DIVX,11,fin,0.000664,0.000367,1.808884,0.076735,-0.000074,0.001403
M2_OG,ECI,1,rents_oil_gas,-0.011221,0.004962,-2.261414,0.028302,-0.021198,-0.001244
M2_OG,ECI,2,inst,0.298049,0.137419,2.168907,0.035074,0.021750,0.574348
M2_OG,ECI,3,c.rents_oil_gas#c.inst,-0.004709,0.004378,-1.075745,0.287419,-0.013512,0.004093
M2_OG,ECI,4,vol,-0.002975,0.002544,-1.169358,0.248034,-0.008091,0.002140
M2_OG,ECI,5,rer,-0.104863,0.103794,-1.010295,0.317420,-0.313556,0.103830
M2_OG,ECI,6,humcap,0.110604,0.248831,0.444494,0.658683,-0.389704,0.610911
M2_OG,ECI,7,innov,-0.018167,0.047964,-0.378760,0.706537,-0.114604,0.078271
M2_OG,ECI,8,net,-0.001334,0.002148,-0.621184,0.537418,-0.005652,0.002984
M2_OG,ECI,9,log_gdppc,-0.175753,0.197459,-0.890071,0.377867,-0.572772,0.221266
M2_OG,ECI,10,govcons,-0.006508,0.010498,-0.619920,0.538242,-0.027615,0.014599
M2_OG,ECI,11,fin,-0.000207,0.002714,-0.076182,0.939591,-0.005663,0.005249
