model,outcome,order,percentile,inst_value,marginal_effect,standard_error,p_value,ci_lower,ci_upper
M1_OG,DIVX,1,P10,-1.239373,-0.006424,0.001683,0.000135,-0.009722,-0.003125
M1_OG,DIVX,2,P25,-0.878468,-0.006272,0.001443,0.000014,-0.009100,-0.003443
M1_OG,DIVX,3,P50,-0.391606,-0.006066,0.001349,0.000007,-0.008710,-0.003422
M1_OG,DIVX,4,P75,0.141341,-0.005841,0.001587,0.000232,-0.008951,-0.002732
M1_OG,DIVX,5,P90,0.915454,-0.005515,0.002316,0.017267,-0.010055,-0.000975
M1_OG,ECI,1,P10,-1.239373,0.001007,0.006111,0.869082,-0.010970,0.012984
M1_OG,ECI,2,P25,-0.878468,0.000043,0.005278,0.993570,-0.010301,0.010386
M1_OG,ECI,3,P50,-0.391606,-0.001259,0.004650,0.786608,-0.010373,0.007855
M1_OG,ECI,4,P75,0.141341,-0.002683,0.004843,0.579543,-0.012176,0.006809
M1_OG,ECI,5,P90,0.915454,-0.004753,0.006499,0.464584,-0.017490,0.007985
M2_OG,DIVX,1,P10,-1.239373,-0.006743,0.001698,0.000072,-0.010071,-0.003415
M2_OG,DIVX,2,P25,-0.878468,-0.006312,0.001410,0.000008,-0.009075,-0.003549
M2_OG,DIVX,3,P50,-0.391606,-0.005730,0.001233,0.000003,-0.008146,-0.003313
M2_OG,DIVX,4,P75,0.141341,-0.005093,0.001409,0.000302,-0.007855,-0.002331
M2_OG,DIVX,5,P90,0.915454,-0.004167,0.002117,0.049024,-0.008316,-0.000018
M2_OG,ECI,1,P10,-1.239373,-0.005384,0.005406,0.319291,-0.015981,0.005212
M2_OG,ECI,2,P25,-0.878468,-0.007084,0.004670,0.129309,-0.016237,0.002070
M2_OG,ECI,3,P50,-0.391606,-0.009377,0.004440,0.034699,-0.018079,-0.000674
M2_OG,ECI,4,P75,0.141341,-0.011887,0.005276,0.024260,-0.022227,-0.001546
M2_OG,ECI,5,P90,0.915454,-0.015532,0.007683,0.043204,-0.030590,-0.000475
