model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M1_OG,DIVX,1,rents_oil_gas,-0.0059010759,-0.0059010759,0.0000000000,1
M1_OG,DIVX,2,inst,0.0298696098,0.0298696104,0.0000000000,1
M1_OG,DIVX,3,c.rents_oil_gas#c.inst,0.0004217019,0.0004217018,0.0000000000,1
M1_OG,DIVX,4,ln1p_oilpc,0.0092942137,0.0092942137,0.0000000000,1
M1_OG,DIVX,5,ln1p_gaspc,0.0049506734,0.0049506733,0.0000000000,1
M1_OG,DIVX,6,ln1p_coalpc,-0.0134632273,-0.0134632271,0.0000000000,1
M1_OG,DIVX,7,pexp,0.0015965060,0.0015965060,0.0000000000,1
M1_OG,DIVX,8,fexp,-0.0009919354,-0.0009919354,0.0000000000,1
M1_OG,DIVX,9,log_gdppc,-0.1336488746,-0.1336488724,0.0000000000,1
M1_OG,ECI,1,rents_oil_gas,-0.0023055903,-0.0023055903,0.0000000000,1
M1_OG,ECI,2,inst,0.2182924892,0.2182924896,0.0000000000,1
M1_OG,ECI,3,c.rents_oil_gas#c.inst,-0.0026729740,-0.0026729740,0.0000000000,1
M1_OG,ECI,4,ln1p_oilpc,0.0137985998,0.0137986001,0.0000000000,1
M1_OG,ECI,5,ln1p_gaspc,0.0392053372,0.0392053388,0.0000000000,1
M1_OG,ECI,6,ln1p_coalpc,-0.0146723119,-0.0146723120,0.0000000000,1
M1_OG,ECI,7,hhi,-0.5678130114,-0.5678130388,0.0000000000,1
M1_OG,ECI,8,pexp,-0.0040452962,-0.0040452960,0.0000000000,1
M1_OG,ECI,9,fexp,-0.0066839189,-0.0066839186,0.0000000000,1
M1_OG,ECI,10,log_gdppc,-0.0808060178,-0.0808060169,0.0000000000,1
M2_OG,DIVX,1,rents_oil_gas,-0.0052615872,-0.0052615870,0.0000000000,1
M2_OG,DIVX,2,inst,0.0224204775,0.0224204771,0.0000000000,1
M2_OG,DIVX,3,c.rents_oil_gas#c.inst,0.0011955591,0.0011955590,0.0000000000,1
M2_OG,DIVX,4,vol,0.0007135637,0.0007135637,0.0000000000,1
M2_OG,DIVX,5,rer,-0.0511725165,-0.0511725172,0.0000000000,1
M2_OG,DIVX,6,humcap,0.1293437816,0.1293437779,0.0000000000,1
M2_OG,DIVX,7,innov,0.0089399645,0.0089399647,0.0000000000,1
M2_OG,DIVX,8,net,-0.0007542265,-0.0007542265,0.0000000000,1
M2_OG,DIVX,9,log_gdppc,-0.1658176333,-0.1658176333,0.0000000000,1
M2_OG,DIVX,10,govcons,0.0020702669,0.0020702670,0.0000000000,1
M2_OG,DIVX,11,fin,0.0006643771,0.0006643771,0.0000000000,1
M2_OG,ECI,1,rents_oil_gas,-0.0112209915,-0.0112209916,0.0000000000,1
M2_OG,ECI,2,inst,0.2980486768,0.2980486751,0.0000000000,1
M2_OG,ECI,3,c.rents_oil_gas#c.inst,-0.0047093828,-0.0047093830,0.0000000000,1
M2_OG,ECI,4,vol,-0.0029752271,-0.0029752271,0.0000000000,1
M2_OG,ECI,5,rer,-0.1048629620,-0.1048629656,0.0000000000,1
M2_OG,ECI,6,humcap,0.1106037805,0.1106037796,0.0000000000,1
M2_OG,ECI,7,innov,-0.0181667318,-0.0181667320,0.0000000000,1
M2_OG,ECI,8,net,-0.0013340508,-0.0013340508,0.0000000000,1
M2_OG,ECI,9,log_gdppc,-0.1757529319,-0.1757529378,0.0000000000,1
M2_OG,ECI,10,govcons,-0.0065076860,-0.0065076859,0.0000000000,1
M2_OG,ECI,11,fin,-0.0002067205,-0.0002067205,0.0000000000,1
