model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M3_MIN,DIVX,1,rents_mining,-0.000469,0.001855,-0.253066,0.801298,-0.004199,0.003261
M3_MIN,DIVX,2,inst,0.033855,0.025226,1.342084,0.185883,-0.016865,0.084574
M3_MIN,DIVX,3,c.rents_mining#c.inst,-0.000747,0.002342,-0.319069,0.751058,-0.005456,0.003962
M3_MIN,DIVX,4,ln1p_oilpc,-0.001561,0.008326,-0.187504,0.852056,-0.018302,0.015180
M3_MIN,DIVX,5,ln1p_gaspc,0.008192,0.007138,1.147609,0.256818,-0.006160,0.022544
M3_MIN,DIVX,6,ln1p_coalpc,-0.010520,0.007629,-1.378891,0.174320,-0.025859,0.004820
M3_MIN,DIVX,7,pexp,0.001533,0.000647,2.368114,0.021954,0.000231,0.002834
M3_MIN,DIVX,8,fexp,-0.001251,0.001072,-1.167210,0.248891,-0.003407,0.000904
M3_MIN,DIVX,9,vol,0.001423,0.000991,1.436191,0.157434,-0.000569,0.003414
M3_MIN,DIVX,10,rer,-0.047131,0.036948,-1.275595,0.208238,-0.121420,0.027158
M3_MIN,DIVX,11,humcap,0.112432,0.049749,2.259990,0.028397,0.012405,0.212458
M3_MIN,DIVX,12,innov,0.015118,0.014325,1.055306,0.296568,-0.013685,0.043920
M3_MIN,DIVX,13,net,-0.000603,0.000383,-1.575954,0.121605,-0.001373,0.000166
M3_MIN,DIVX,14,log_gdppc,-0.150319,0.036178,-4.154994,0.000133,-0.223059,-0.077578
M3_MIN,DIVX,15,govcons,0.003255,0.001730,1.881451,0.065983,-0.000223,0.006733
M3_MIN,DIVX,16,fin,0.000640,0.000353,1.812943,0.076096,-0.000070,0.001350
M3_MIN,ECI,1,rents_mining,-0.012179,0.003837,-3.173991,0.002624,-0.019894,-0.004464
M3_MIN,ECI,2,inst,0.222115,0.126189,1.760172,0.084750,-0.031606,0.475836
M3_MIN,ECI,3,c.rents_mining#c.inst,-0.001435,0.004225,-0.339634,0.735614,-0.009930,0.007060
M3_MIN,ECI,4,ln1p_oilpc,0.016566,0.036241,0.457096,0.649664,-0.056302,0.089433
M3_MIN,ECI,5,ln1p_gaspc,0.036263,0.034793,1.042257,0.302514,-0.033692,0.106218
M3_MIN,ECI,6,ln1p_coalpc,0.019400,0.023442,0.827584,0.412002,-0.027733,0.066534
M3_MIN,ECI,7,hhi,-0.598324,0.197578,-3.028292,0.003950,-0.995582,-0.201067
M3_MIN,ECI,8,pexp,-0.004322,0.001609,-2.685383,0.009918,-0.007558,-0.001086
M3_MIN,ECI,9,fexp,-0.007271,0.001959,-3.710929,0.000536,-0.011211,-0.003332
M3_MIN,ECI,10,vol,-0.002097,0.002519,-0.832444,0.409281,-0.007161,0.002967
M3_MIN,ECI,11,rer,-0.079599,0.098038,-0.811926,0.420842,-0.276717,0.117518
M3_MIN,ECI,12,humcap,-0.036950,0.222150,-0.166330,0.868596,-0.483613,0.409712
M3_MIN,ECI,13,innov,-0.036885,0.050883,-0.724901,0.472032,-0.139193,0.065423
M3_MIN,ECI,14,net,-0.001085,0.002168,-0.500168,0.619242,-0.005444,0.003275
M3_MIN,ECI,15,log_gdppc,-0.065364,0.231709,-0.282097,0.779082,-0.531246,0.400518
M3_MIN,ECI,16,govcons,-0.002716,0.009087,-0.298940,0.766276,-0.020987,0.015554
M3_MIN,ECI,17,fin,-0.000481,0.002265,-0.212134,0.832901,-0.005036,0.004074
