model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M3_MIN,DIVX,1,rents_mining,-0.0004694732,-0.0004694732,0.0000000000,1
M3_MIN,DIVX,2,inst,0.0338549083,0.0338549092,0.0000000000,1
M3_MIN,DIVX,3,c.rents_mining#c.inst,-0.0007472726,-0.0007472726,0.0000000000,1
M3_MIN,DIVX,4,ln1p_oilpc,-0.0015611803,-0.0015611802,0.0000000000,1
M3_MIN,DIVX,5,ln1p_gaspc,0.0081916744,0.0081916740,0.0000000000,1
M3_MIN,DIVX,6,ln1p_coalpc,-0.0105196894,-0.0105196889,0.0000000000,1
M3_MIN,DIVX,7,pexp,0.0015329057,0.0015329056,0.0000000000,1
M3_MIN,DIVX,8,fexp,-0.0012512867,-0.0012512867,0.0000000000,1
M3_MIN,DIVX,9,vol,0.0014226914,0.0014226914,0.0000000000,1
M3_MIN,DIVX,10,rer,-0.0471309651,-0.0471309647,0.0000000000,1
M3_MIN,DIVX,11,humcap,0.1124315564,0.1124315560,0.0000000000,1
M3_MIN,DIVX,12,innov,0.0151175617,0.0151175614,0.0000000000,1
M3_MIN,DIVX,13,net,-0.0006034079,-0.0006034080,0.0000000000,1
M3_MIN,DIVX,14,log_gdppc,-0.1503185198,-0.1503185183,0.0000000000,1
M3_MIN,DIVX,15,govcons,0.0032545578,0.0032545577,0.0000000000,1
M3_MIN,DIVX,16,fin,0.0006399445,0.0006399445,0.0000000000,1
M3_MIN,ECI,1,rents_mining,-0.0121790780,-0.0121790776,0.0000000000,1
M3_MIN,ECI,2,inst,0.2221151450,0.2221151441,0.0000000000,1
M3_MIN,ECI,3,c.rents_mining#c.inst,-0.0014350203,-0.0014350204,0.0000000000,1
M3_MIN,ECI,4,ln1p_oilpc,0.0165655309,0.0165655315,0.0000000000,1
M3_MIN,ECI,5,ln1p_gaspc,0.0362628855,0.0362628847,0.0000000000,1
M3_MIN,ECI,6,ln1p_coalpc,0.0194003229,0.0194003228,0.0000000000,1
M3_MIN,ECI,7,hhi,-0.5983244956,-0.5983244777,0.0000000000,1
M3_MIN,ECI,8,pexp,-0.0043221122,-0.0043221121,0.0000000000,1
M3_MIN,ECI,9,fexp,-0.0072711047,-0.0072711045,0.0000000000,1
M3_MIN,ECI,10,vol,-0.0020966010,-0.0020966011,0.0000000000,1
M3_MIN,ECI,11,rer,-0.0795992177,-0.0795992166,0.0000000000,1
M3_MIN,ECI,12,humcap,-0.0369502800,-0.0369502790,0.0000000000,1
M3_MIN,ECI,13,innov,-0.0368854771,-0.0368854776,0.0000000000,1
M3_MIN,ECI,14,net,-0.0010845507,-0.0010845506,0.0000000000,1
M3_MIN,ECI,15,log_gdppc,-0.0653643714,-0.0653643683,0.0000000000,1
M3_MIN,ECI,16,govcons,-0.0027164757,-0.0027164756,0.0000000000,1
M3_MIN,ECI,17,fin,-0.0004805885,-0.0004805885,0.0000000000,1
