model_family,outcome,specification,order,concept,term,coefficient,standard_error,p_value
M1,DIVX,RENTS total,1,RENTS,rents,-0.004492,0.001356,0.001761
M1,DIVX,RENTS_MINING,1,RENTS,rents_mining,-0.000294,0.001766,0.868571
M1,DIVX,RENTS total,2,INST,inst,0.035485,0.030999,0.258010
M1,DIVX,RENTS_MINING,2,INST,inst,0.047795,0.027515,0.088796
M1,DIVX,RENTS total,3,RENTS_x_INST,c.rents#c.inst,0.000148,0.001135,0.896557
M1,DIVX,RENTS_MINING,3,RENTS_x_INST,c.rents_mining#c.inst,-0.000950,0.002365,0.689727
M1,ECI,RENTS total,1,RENTS,rents,-0.007237,0.003882,0.068417
M1,ECI,RENTS_MINING,1,RENTS,rents_mining,-0.012671,0.003530,0.000777
M1,ECI,RENTS total,2,INST,inst,0.219506,0.140088,0.123702
M1,ECI,RENTS_MINING,2,INST,inst,0.199217,0.132441,0.139085
M1,ECI,RENTS total,3,RENTS_x_INST,c.rents#c.inst,-0.003190,0.003660,0.387749
M1,ECI,RENTS_MINING,3,RENTS_x_INST,c.rents_mining#c.inst,-0.002169,0.004120,0.600983
M2,DIVX,RENTS total,1,RENTS,rents,-0.004262,0.001219,0.001028
M2,DIVX,RENTS_MINING,1,RENTS,rents_mining,-0.001332,0.001461,0.366393
M2,DIVX,RENTS total,2,INST,inst,0.026399,0.028844,0.364635
M2,DIVX,RENTS_MINING,2,INST,inst,0.044598,0.025315,0.084479
M2,DIVX,RENTS total,3,RENTS_x_INST,c.rents#c.inst,0.000735,0.001215,0.548168
M2,DIVX,RENTS_MINING,3,RENTS_x_INST,c.rents_mining#c.inst,-0.001318,0.001648,0.427924
M2,ECI,RENTS total,1,RENTS,rents,-0.013059,0.004249,0.003482
M2,ECI,RENTS_MINING,1,RENTS,rents_mining,-0.011582,0.004714,0.017687
M2,ECI,RENTS total,2,INST,inst,0.295349,0.133380,0.031588
M2,ECI,RENTS_MINING,2,INST,inst,0.271544,0.125050,0.034868
M2,ECI,RENTS total,3,RENTS_x_INST,c.rents#c.inst,-0.004645,0.003789,0.226181
M2,ECI,RENTS_MINING,3,RENTS_x_INST,c.rents_mining#c.inst,-0.000934,0.003901,0.811718
