model,outcome,order,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
M1_MIN,DIVX,1,rents_mining,-0.000294,0.001766,-0.166362,0.868571,-0.003844,0.003257
M1_MIN,DIVX,2,inst,0.047795,0.027515,1.737026,0.088796,-0.007528,0.103118
M1_MIN,DIVX,3,c.rents_mining#c.inst,-0.000950,0.002365,-0.401646,0.689727,-0.005704,0.003805
M1_MIN,DIVX,4,ln1p_oilpc,-0.002124,0.008831,-0.240465,0.810994,-0.019880,0.015633
M1_MIN,DIVX,5,ln1p_gaspc,0.009014,0.007528,1.197307,0.237067,-0.006123,0.024150
M1_MIN,DIVX,6,ln1p_coalpc,-0.007243,0.006941,-1.043514,0.301937,-0.021198,0.006712
M1_MIN,DIVX,7,pexp,0.001611,0.000634,2.540724,0.014351,0.000336,0.002886
M1_MIN,DIVX,8,fexp,-0.001422,0.001136,-1.251900,0.216673,-0.003706,0.000862
M1_MIN,DIVX,9,log_gdppc,-0.148153,0.036898,-4.015198,0.000208,-0.222342,-0.073964
M1_MIN,ECI,1,rents_mining,-0.012671,0.003530,-3.589051,0.000777,-0.019769,-0.005572
M1_MIN,ECI,2,inst,0.199217,0.132441,1.504188,0.139085,-0.067075,0.465508
M1_MIN,ECI,3,c.rents_mining#c.inst,-0.002169,0.004120,-0.526475,0.600983,-0.010454,0.006115
M1_MIN,ECI,4,ln1p_oilpc,0.016122,0.034858,0.462505,0.645809,-0.053964,0.086208
M1_MIN,ECI,5,ln1p_gaspc,0.036258,0.035797,1.012891,0.316191,-0.035716,0.108232
M1_MIN,ECI,6,ln1p_coalpc,0.002859,0.026116,0.109489,0.913271,-0.049650,0.055369
M1_MIN,ECI,7,hhi,-0.574056,0.233760,-2.455749,0.017730,-1.044062,-0.104050
M1_MIN,ECI,8,pexp,-0.004152,0.001731,-2.397834,0.020430,-0.007633,-0.000670
M1_MIN,ECI,9,fexp,-0.006901,0.002266,-3.046152,0.003759,-0.011457,-0.002346
M1_MIN,ECI,10,log_gdppc,-0.094147,0.209517,-0.449355,0.655198,-0.515410,0.327115
