model,outcome,order,percentile,inst_value,marginal_effect,standard_error,p_value,ci_lower,ci_upper
M1_MIN,DIVX,1,P10,-1.239373,0.000883,0.002301,0.701076,-0.003627,0.005394
M1_MIN,DIVX,2,P25,-0.878468,0.000541,0.001700,0.750443,-0.002791,0.003872
M1_MIN,DIVX,3,P50,-0.391606,0.000078,0.001396,0.955368,-0.002659,0.002815
M1_MIN,DIVX,4,P75,0.141341,-0.000428,0.001990,0.829729,-0.004329,0.003473
M1_MIN,DIVX,5,P90,0.915454,-0.001163,0.003541,0.742552,-0.008104,0.005778
M1_MIN,ECI,1,P10,-1.239373,-0.009982,0.004704,0.033842,-0.019202,-0.000762
M1_MIN,ECI,2,P25,-0.878468,-0.010765,0.003733,0.003926,-0.018081,-0.003449
M1_MIN,ECI,3,P50,-0.391606,-0.011821,0.003143,0.000170,-0.017982,-0.005660
M1_MIN,ECI,4,P75,0.141341,-0.012977,0.003831,0.000705,-0.020485,-0.005469
M1_MIN,ECI,5,P90,0.915454,-0.014656,0.006230,0.018645,-0.026867,-0.002446
