model,outcome,order,term,xtreg_coefficient,reghdfe_coefficient,absolute_difference,coefficient_match
M2_MIN,DIVX,1,rents_mining,-0.0013318760,-0.0013318760,0.0000000000,1
M2_MIN,DIVX,2,inst,0.0445983927,0.0445983931,0.0000000000,1
M2_MIN,DIVX,3,c.rents_mining#c.inst,-0.0013175707,-0.0013175707,0.0000000000,1
M2_MIN,DIVX,4,vol,0.0019707540,0.0019707540,0.0000000000,1
M2_MIN,DIVX,5,rer,-0.0544162829,-0.0544162840,0.0000000000,1
M2_MIN,DIVX,6,humcap,0.1468425284,0.1468425244,0.0000000000,1
M2_MIN,DIVX,7,innov,0.0161610070,0.0161610078,0.0000000000,1
M2_MIN,DIVX,8,net,-0.0007574897,-0.0007574897,0.0000000000,1
M2_MIN,DIVX,9,log_gdppc,-0.1918456192,-0.1918456256,0.0000000000,1
M2_MIN,DIVX,10,govcons,0.0022109454,0.0022109454,0.0000000000,1
M2_MIN,DIVX,11,fin,0.0008664220,0.0008664220,0.0000000000,1
M2_MIN,ECI,1,rents_mining,-0.0115822074,-0.0115822079,0.0000000000,1
M2_MIN,ECI,2,inst,0.2715438455,0.2715438306,0.0000000000,1
M2_MIN,ECI,3,c.rents_mining#c.inst,-0.0009343312,-0.0009343313,0.0000000000,1
M2_MIN,ECI,4,vol,-0.0010111125,-0.0010111125,0.0000000000,1
M2_MIN,ECI,5,rer,-0.0869564448,-0.0869564414,0.0000000000,1
M2_MIN,ECI,6,humcap,0.1512633730,0.1512633711,0.0000000000,1
M2_MIN,ECI,7,innov,-0.0128740192,-0.0128740193,0.0000000000,1
M2_MIN,ECI,8,net,-0.0013112591,-0.0013112591,0.0000000000,1
M2_MIN,ECI,9,log_gdppc,-0.2279366421,-0.2279366404,0.0000000000,1
M2_MIN,ECI,10,govcons,-0.0031229079,-0.0031229078,0.0000000000,1
M2_MIN,ECI,11,fin,0.0006571600,0.0006571600,0.0000000000,1
