model_family,outcome,resource_component,order,concept,term,coefficient,standard_error,p_value
M1,DIVX,RENTS_MINING,1,RENTS_MINING,rents_mining,-0.000294,0.001766,0.868571
M1,DIVX,RENTS_MINING,2,INST,inst,0.047795,0.027515,0.088796
M1,DIVX,RENTS_MINING,3,RENTS_MINING_x_INST,c.rents_mining#c.inst,-0.000950,0.002365,0.689727
M1,ECI,RENTS_MINING,1,RENTS_MINING,rents_mining,-0.012671,0.003530,0.000777
M1,ECI,RENTS_MINING,2,INST,inst,0.199217,0.132441,0.139085
M1,ECI,RENTS_MINING,3,RENTS_MINING_x_INST,c.rents_mining#c.inst,-0.002169,0.004120,0.600983
M2,DIVX,RENTS_MINING,1,RENTS_MINING,rents_mining,-0.001332,0.001461,0.366393
M2,DIVX,RENTS_MINING,2,INST,inst,0.044598,0.025315,0.084479
M2,DIVX,RENTS_MINING,3,RENTS_MINING_x_INST,c.rents_mining#c.inst,-0.001318,0.001648,0.427924
M2,ECI,RENTS_MINING,1,RENTS_MINING,rents_mining,-0.011582,0.004714,0.017687
M2,ECI,RENTS_MINING,2,INST,inst,0.271544,0.125050,0.034868
M2,ECI,RENTS_MINING,3,RENTS_MINING_x_INST,c.rents_mining#c.inst,-0.000934,0.003901,0.811718
