model_family,outcome,resource_component,order,concept,term,coefficient,standard_error,p_value
M1,DIVX,RENTS_MINING,1,RENTS_COMPONENT,rents_mining,-0.000294,0.001766,0.868571
M1,DIVX,RENTS_OIL_GAS,1,RENTS_COMPONENT,rents_oil_gas,-0.005901,0.001494,0.000255
M1,DIVX,RENTS_MINING,2,INST,inst,0.047795,0.027515,0.088796
M1,DIVX,RENTS_OIL_GAS,2,INST,inst,0.029870,0.030262,0.328576
M1,DIVX,RENTS_MINING,3,RENTS_COMPONENT_x_INST,c.rents_mining#c.inst,-0.000950,0.002365,0.689727
M1,DIVX,RENTS_OIL_GAS,3,RENTS_COMPONENT_x_INST,c.rents_oil_gas#c.inst,0.000422,0.001346,0.755491
M1,ECI,RENTS_MINING,1,RENTS_COMPONENT,rents_mining,-0.012671,0.003530,0.000777
M1,ECI,RENTS_OIL_GAS,1,RENTS_COMPONENT,rents_oil_gas,-0.002306,0.004700,0.625970
M1,ECI,RENTS_MINING,2,INST,inst,0.199217,0.132441,0.139085
M1,ECI,RENTS_OIL_GAS,2,INST,inst,0.218292,0.141699,0.129996
M1,ECI,RENTS_MINING,3,RENTS_COMPONENT_x_INST,c.rents_mining#c.inst,-0.002169,0.004120,0.600983
M1,ECI,RENTS_OIL_GAS,3,RENTS_COMPONENT_x_INST,c.rents_oil_gas#c.inst,-0.002673,0.003990,0.506159
M2,DIVX,RENTS_MINING,1,RENTS_COMPONENT,rents_mining,-0.001332,0.001461,0.366393
M2,DIVX,RENTS_OIL_GAS,1,RENTS_COMPONENT,rents_oil_gas,-0.005262,0.001328,0.000245
M2,DIVX,RENTS_MINING,2,INST,inst,0.044598,0.025315,0.084479
M2,DIVX,RENTS_OIL_GAS,2,INST,inst,0.022420,0.028997,0.443200
M2,DIVX,RENTS_MINING,3,RENTS_COMPONENT_x_INST,c.rents_mining#c.inst,-0.001318,0.001648,0.427924
M2,DIVX,RENTS_OIL_GAS,3,RENTS_COMPONENT_x_INST,c.rents_oil_gas#c.inst,0.001196,0.001341,0.377036
M2,ECI,RENTS_MINING,1,RENTS_COMPONENT,rents_mining,-0.011582,0.004714,0.017687
M2,ECI,RENTS_OIL_GAS,1,RENTS_COMPONENT,rents_oil_gas,-0.011221,0.004962,0.028302
M2,ECI,RENTS_MINING,2,INST,inst,0.271544,0.125050,0.034868
M2,ECI,RENTS_OIL_GAS,2,INST,inst,0.298049,0.137419,0.035074
M2,ECI,RENTS_MINING,3,RENTS_COMPONENT_x_INST,c.rents_mining#c.inst,-0.000934,0.003901,0.811718
M2,ECI,RENTS_OIL_GAS,3,RENTS_COMPONENT_x_INST,c.rents_oil_gas#c.inst,-0.004709,0.004378,0.287419
