model,outcome,model_order,term_order,concept,term,coefficient,standard_error,t_statistic,conventional_p,ci_lower,ci_upper,bootstrap_p,bootstrap_ci_lower,bootstrap_ci_upper,repetitions,weight_type
M1,DIVX,1,1,RENTS,rents,-0.004492,0.001356,-3.312896,0.001761,-0.007217,-0.001766,0.003000,-0.007692,-0.001460,9999,rademacher
M2,DIVX,2,1,RENTS,rents,-0.004262,0.001219,-3.495708,0.001028,-0.006714,-0.001811,0.001800,-0.006992,-0.001533,9999,rademacher
M3,DIVX,3,1,RENTS,rents,-0.003536,0.001296,-2.728598,0.008862,-0.006142,-0.000930,0.020702,-0.006444,-0.000628,9999,rademacher
M1,DIVX,1,2,INST,inst,0.035485,0.030999,1.144698,0.258010,-0.026843,0.097813,,,,,
M2,DIVX,2,2,INST,inst,0.026399,0.028844,0.915252,0.364635,-0.031595,0.084394,,,,,
M3,DIVX,3,2,INST,inst,0.017472,0.028185,0.619901,0.538255,-0.039198,0.074142,,,,,
M1,DIVX,1,3,RENTS_x_INST,c.rents#c.inst,0.000148,0.001135,0.130703,0.896557,-0.002133,0.002430,0.900790,-0.002389,0.002968,9999,rademacher
M2,DIVX,2,3,RENTS_x_INST,c.rents#c.inst,0.000735,0.001215,0.604789,0.548168,-0.001708,0.003178,0.583658,-0.001834,0.003757,9999,rademacher
M3,DIVX,3,3,RENTS_x_INST,c.rents#c.inst,0.000948,0.001184,0.800429,0.427406,-0.001433,0.003329,0.476648,-0.001709,0.003753,9999,rademacher
M1,ECI,1,1,RENTS,rents,-0.007237,0.003882,-1.864190,0.068417,-0.015043,0.000569,0.096610,-0.016889,0.001449,9999,rademacher
M2,ECI,2,1,RENTS,rents,-0.013059,0.004249,-3.073678,0.003482,-0.021601,-0.004516,0.011001,-0.022569,-0.003548,9999,rademacher
M3,ECI,3,1,RENTS,rents,-0.009795,0.004181,-2.342711,0.023337,-0.018202,-0.001388,0.040104,-0.019705,-0.000408,9999,rademacher
M1,ECI,1,2,INST,inst,0.219506,0.140088,1.566922,0.123702,-0.062159,0.501171,,,,,
M2,ECI,2,2,INST,inst,0.295349,0.133380,2.214340,0.031588,0.027170,0.563527,,,,,
M3,ECI,3,2,INST,inst,0.266705,0.136729,1.950613,0.056955,-0.008207,0.541617,,,,,
M1,ECI,1,3,RENTS_x_INST,c.rents#c.inst,-0.003190,0.003660,-0.871631,0.387749,-0.010549,0.004169,0.522052,-0.011833,0.004544,9999,rademacher
M2,ECI,2,3,RENTS_x_INST,c.rents#c.inst,-0.004645,0.003789,-1.225996,0.226181,-0.012262,0.002973,0.310231,-0.013597,0.003836,9999,rademacher
M3,ECI,3,3,RENTS_x_INST,c.rents#c.inst,-0.005199,0.003453,-1.505457,0.138759,-0.012142,0.001744,0.209121,-0.013382,0.002985,9999,rademacher
