outcome,percentile,inst_value,marginal_effect,standard_error,p_value,ci_lower,ci_upper,model,order
DIVX,P10,-1.239373,-0.004675,0.001360,0.000584,-0.007340,-0.002011,M1,1
DIVX,P10,-1.239373,-0.005173,0.001397,0.000212,-0.007911,-0.002436,M2,1
DIVX,P10,-1.239373,-0.004711,0.001209,0.000098,-0.007081,-0.002340,M3,1
DIVX,P25,-0.878468,-0.004622,0.001199,0.000116,-0.006971,-0.002272,M1,2
DIVX,P25,-0.878468,-0.004908,0.001161,0.000024,-0.007183,-0.002633,M2,2
DIVX,P25,-0.878468,-0.004369,0.001040,0.000027,-0.006407,-0.002331,M3,2
DIVX,P50,-0.391606,-0.004550,0.001189,0.000130,-0.006880,-0.002219,M1,3
DIVX,P50,-0.391606,-0.004550,0.001069,0.000021,-0.006646,-0.002455,M2,3
DIVX,P50,-0.391606,-0.003907,0.001070,0.000262,-0.006005,-0.001810,M3,3
DIVX,P75,0.141341,-0.004471,0.001445,0.001977,-0.007303,-0.001638,M1,4
DIVX,P75,0.141341,-0.004159,0.001312,0.001529,-0.006731,-0.001587,M2,4
DIVX,P75,0.141341,-0.003402,0.001406,0.015558,-0.006159,-0.000646,M3,4
DIVX,P90,0.915454,-0.004356,0.002091,0.037212,-0.008453,-0.000258,M1,5
DIVX,P90,0.915454,-0.003590,0.002014,0.074684,-0.007537,0.000358,M2,5
DIVX,P90,0.915454,-0.002668,0.002146,0.213721,-0.006875,0.001538,M3,5
ECI,P10,-1.239373,-0.003284,0.004849,0.498315,-0.012788,0.006221,M1,1
ECI,P10,-1.239373,-0.007302,0.004630,0.114765,-0.016377,0.001773,M2,1
ECI,P10,-1.239373,-0.003352,0.004422,0.448359,-0.012019,0.005314,M3,1
ECI,P25,-0.878468,-0.004435,0.004100,0.279393,-0.012471,0.003601,M1,2
ECI,P25,-0.878468,-0.008978,0.003987,0.024344,-0.016794,-0.001163,M2,2
ECI,P25,-0.878468,-0.005229,0.003895,0.179442,-0.012862,0.002405,M3,2
ECI,P50,-0.391606,-0.005988,0.003646,0.100515,-0.013134,0.001158,M1,3
ECI,P50,-0.391606,-0.011240,0.003789,0.003011,-0.018666,-0.003814,M2,3
ECI,P50,-0.391606,-0.007760,0.003765,0.039323,-0.015140,-0.000380,M3,3
ECI,P75,0.141341,-0.007688,0.004089,0.060103,-0.015704,0.000327,M1,4
ECI,P75,0.141341,-0.013715,0.004524,0.002431,-0.022582,-0.004849,M2,4
ECI,P75,0.141341,-0.010530,0.004424,0.017307,-0.019202,-0.001859,M3,4
ECI,P90,0.915454,-0.010158,0.005938,0.087140,-0.021796,0.001480,M1,5
ECI,P90,0.915454,-0.017311,0.006623,0.008955,-0.030292,-0.004330,M2,5
ECI,P90,0.915454,-0.014555,0.006283,0.020532,-0.026869,-0.002240,M3,5
