outcome,term,coefficient,conventional_p,bootstrap_p,ci_lower,ci_upper,repetitions,weight_type,model,term_order
DIVX,RENTS,-.004492,.001761,.003,-.007692,-.00146,9999,rademacher,M1,1
DIVX,RENTS,-.004262,.001028,.0018,-.006992,-.001533,9999,rademacher,M2,1
DIVX,RENTS,-.003536,.008862,.020702,-.006444,-.000628,9999,rademacher,M3,1
DIVX,RENTS x INST,.000148,.896557,.90079,-.002389,.002968,9999,rademacher,M1,3
DIVX,RENTS x INST,.000735,.548168,.583658,-.001834,.003757,9999,rademacher,M2,3
DIVX,RENTS x INST,.000948,.427406,.476648,-.001709,.003753,9999,rademacher,M3,3
ECI,RENTS,-.007237,.068417,.09661,-.016889,.001449,9999,rademacher,M1,1
ECI,RENTS,-.013059,.003482,.011001,-.022569,-.003548,9999,rademacher,M2,1
ECI,RENTS,-.009795,.023337,.040104,-.019705,-.000408,9999,rademacher,M3,1
ECI,RENTS x INST,-.00319,.387749,.522052,-.011833,.004544,9999,rademacher,M1,3
ECI,RENTS x INST,-.004645,.226181,.310231,-.013597,.003836,9999,rademacher,M2,3
ECI,RENTS x INST,-.005199,.138759,.209121,-.013382,.002985,9999,rademacher,M3,3
