"model","outcome","order","term","canonical_term","variable_label","channel","term_role","coefficient","standard_error","p_value","ci_lower","ci_upper","significance"
"M3_AGG","ECI","1","rents","RENTS","RENTS agregado","Rentas","resource","-0.009795","0.004181","0.023337","-0.018202","-0.001388","**"
"M3_AGG","ECI","2","inst","INST","Calidad institucional","Institucional","common","0.266705","0.136729","0.056955","-0.008207","0.541617","*"
"M3_AGG","ECI","3","c.rents#c.inst","RENTS_X_INST","RENTS x INST","Institucional","resource","-0.005199","0.003453","0.138759","-0.012142","0.001744",""
"M3_AGG","ECI","4","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.028347","0.037603","0.454618","-0.047258","0.103953",""
"M3_AGG","ECI","5","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.039635","0.0343","0.253587","-0.029329","0.108598",""
"M3_AGG","ECI","6","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","0.010906","0.02643","0.681723","-0.042236","0.064047",""
"M3_AGG","ECI","7","hhi","HHI","HHI","Estructura exportadora","common","-0.535483","0.225234","0.021465","-0.988346","-0.082619","**"
"M3_AGG","ECI","8","pexp","PEXP","PEXP","Estructura exportadora","common","-0.004199","0.001565","0.009975","-0.007346","-0.001053","***"
"M3_AGG","ECI","9","fexp","FEXP","FEXP","Estructura exportadora","common","-0.0068","0.001884","0.000732","-0.010589","-0.003012","***"
"M3_AGG","ECI","10","vol","VOL","VOL","Macroeconomía","common","-0.002903","0.002447","0.24145","-0.007823","0.002018",""
"M3_AGG","ECI","11","rer","RER","RER","Macroeconomía","common","-0.087319","0.098443","0.3795","-0.285251","0.110613",""
"M3_AGG","ECI","12","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","-0.053994","0.224399","0.810877","-0.505178","0.39719",""
"M3_AGG","ECI","13","innov","INNOV","INNOV","Capacidades productivas","common","-0.036118","0.048411","0.459263","-0.133454","0.061219",""
"M3_AGG","ECI","14","net","NET","NET","Capacidades productivas","common","-0.001305","0.00208","0.533156","-0.005487","0.002876",""
"M3_AGG","ECI","15","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.045886","0.2212","0.836544","-0.490638","0.398866",""
"M3_AGG","ECI","16","govcons","GOVCONS","GOVCONS","Controles económicos","common","-0.006048","0.008948","0.502371","-0.024039","0.011943",""
"M3_AGG","ECI","17","fin","FIN","FIN","Controles económicos","common","-0.000998","0.002355","0.673786","-0.005733","0.003738",""
"M3_OG","ECI","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.005604","0.005756","0.33513","-0.017178","0.005969",""
"M3_OG","ECI","2","inst","INST","Calidad institucional","Institucional","common","0.265308","0.140189","0.064464","-0.016562","0.547177","*"
"M3_OG","ECI","3","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","-0.005064","0.003928","0.203453","-0.012961","0.002833",""
"M3_OG","ECI","4","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.018858","0.040779","0.645843","-0.063133","0.100849",""
"M3_OG","ECI","5","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.04066","0.035959","0.263786","-0.031641","0.112961",""
"M3_OG","ECI","6","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","0.004155","0.030497","0.892186","-0.057163","0.065474",""
"M3_OG","ECI","7","hhi","HHI","HHI","Estructura exportadora","common","-0.590503","0.232107","0.014229","-1.057185","-0.12382","**"
"M3_OG","ECI","8","pexp","PEXP","PEXP","Estructura exportadora","common","-0.004187","0.001565","0.01018","-0.007334","-0.00104","**"
"M3_OG","ECI","9","fexp","FEXP","FEXP","Estructura exportadora","common","-0.006909","0.002","0.001163","-0.010931","-0.002888","***"
"M3_OG","ECI","10","vol","VOL","VOL","Macroeconomía","common","-0.003127","0.002603","0.235583","-0.008362","0.002107",""
"M3_OG","ECI","11","rer","RER","RER","Macroeconomía","common","-0.096169","0.09753","0.329059","-0.292266","0.099929",""
"M3_OG","ECI","12","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","-0.048237","0.227704","0.833127","-0.506067","0.409592",""
"M3_OG","ECI","13","innov","INNOV","INNOV","Capacidades productivas","common","-0.032353","0.049068","0.51282","-0.131011","0.066305",""
"M3_OG","ECI","14","net","NET","NET","Capacidades productivas","common","-0.001056","0.002042","0.607392","-0.005163","0.00305",""
"M3_OG","ECI","15","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.049191","0.22144","0.825146","-0.494426","0.396043",""
"M3_OG","ECI","16","govcons","GOVCONS","GOVCONS","Controles económicos","common","-0.005633","0.009213","0.543815","-0.024158","0.012892",""
"M3_OG","ECI","17","fin","FIN","FIN","Controles económicos","common","-0.000966","0.002462","0.696573","-0.005917","0.003985",""
"M3_MIN","ECI","1","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.012179","0.003837","0.002624","-0.019894","-0.004464","***"
"M3_MIN","ECI","2","inst","INST","Calidad institucional","Institucional","common","0.222115","0.126189","0.08475","-0.031606","0.475836","*"
"M3_MIN","ECI","3","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.001435","0.004225","0.735614","-0.00993","0.00706",""
"M3_MIN","ECI","4","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.016566","0.036241","0.649664","-0.056302","0.089433",""
"M3_MIN","ECI","5","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.036263","0.034793","0.302514","-0.033692","0.106218",""
"M3_MIN","ECI","6","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","0.0194","0.023442","0.412002","-0.027733","0.066534",""
"M3_MIN","ECI","7","hhi","HHI","HHI","Estructura exportadora","common","-0.598324","0.197578","0.00395","-0.995582","-0.201067","***"
"M3_MIN","ECI","8","pexp","PEXP","PEXP","Estructura exportadora","common","-0.004322","0.001609","0.009918","-0.007558","-0.001086","***"
"M3_MIN","ECI","9","fexp","FEXP","FEXP","Estructura exportadora","common","-0.007271","0.001959","0.000536","-0.011211","-0.003332","***"
"M3_MIN","ECI","10","vol","VOL","VOL","Macroeconomía","common","-0.002097","0.002519","0.409281","-0.007161","0.002967",""
"M3_MIN","ECI","11","rer","RER","RER","Macroeconomía","common","-0.079599","0.098038","0.420842","-0.276717","0.117518",""
"M3_MIN","ECI","12","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","-0.03695","0.22215","0.868596","-0.483613","0.409712",""
"M3_MIN","ECI","13","innov","INNOV","INNOV","Capacidades productivas","common","-0.036885","0.050883","0.472032","-0.139193","0.065423",""
"M3_MIN","ECI","14","net","NET","NET","Capacidades productivas","common","-0.001085","0.002168","0.619242","-0.005444","0.003275",""
"M3_MIN","ECI","15","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.065364","0.231709","0.779082","-0.531246","0.400518",""
"M3_MIN","ECI","16","govcons","GOVCONS","GOVCONS","Controles económicos","common","-0.002716","0.009087","0.766276","-0.020987","0.015554",""
"M3_MIN","ECI","17","fin","FIN","FIN","Controles económicos","common","-0.000481","0.002265","0.832901","-0.005036","0.004074",""
"M3_SIM","ECI","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.0072542005719523","0.0057355305","0.21205556","-0.018786257","0.0042778566",""
"M3_SIM","ECI","2","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.0135974258260262","0.0039144447","0.0010980716","-0.021467945","-0.0057269069","***"
"M3_SIM","ECI","3","inst","INST","Calidad institucional","Institucional","common","0.2678691730140966","0.13793421","0.058017146","-0.0094661452","0.54520452","*"
"M3_SIM","ECI","4","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","-0.0056538779833719","0.0039092535","0.15459713","-0.013513959","0.0022062028",""
"M3_SIM","ECI","5","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.0021268324145991","0.004286767","0.62206066","-0.010745955","0.0064922902",""
"M3_SIM","ECI","6","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.0257683551232152","0.036987416","0.48936403","-0.048599832","0.10013654",""
"M3_SIM","ECI","7","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.0396976864306043","0.03405828","0.24954329","-0.028781073","0.10817645",""
"M3_SIM","ECI","8","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","0.0202685832053854","0.025073234","0.42286307","-0.030144531","0.070681699",""
"M3_SIM","ECI","9","hhi","HHI","HHI","Estructura exportadora","common","-0.5746616898885819","0.23361404","0.01755093","-1.0443742","-0.10494919","**"
"M3_SIM","ECI","10","pexp","PEXP","PEXP","Estructura exportadora","common","-0.0042333279556088","0.0016052319","0.011231004","-0.0074608629","-0.001005793","**"
"M3_SIM","ECI","11","fexp","FEXP","FEXP","Estructura exportadora","common","-0.0070011526464361","0.0019621705","0.00082794135","-0.01094636","-0.0030559448","***"
"M3_SIM","ECI","12","vol","VOL","VOL","Macroeconomía","common","-0.0022107635290803","0.0026284442","0.40446708","-0.0074956049","0.0030740779",""
"M3_SIM","ECI","13","rer","RER","RER","Macroeconomía","common","-0.0826052499881517","0.097568147","0.40139636","-0.27877915","0.11356866",""
"M3_SIM","ECI","14","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","-0.0574792573490785","0.2249334","0.79939872","-0.50973821","0.39477968",""
"M3_SIM","ECI","15","innov","INNOV","INNOV","Capacidades productivas","common","-0.0348768267660669","0.049177185","0.48162648","-0.13375418","0.064000525",""
"M3_SIM","ECI","16","net","NET","NET","Capacidades productivas","common","-0.0014461904336295","0.0020567039","0.48535323","-0.0055814707","0.0026890901",""
"M3_SIM","ECI","17","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.0482211862742057","0.22147359","0.82856333","-0.49352369","0.39708129",""
"M3_SIM","ECI","18","govcons","GOVCONS","GOVCONS","Controles económicos","common","-0.0055598591765945","0.0091508478","0.54633087","-0.023958873","0.012839153",""
"M3_SIM","ECI","19","fin","FIN","FIN","Controles económicos","common","-0.0009791226426994","0.0024123781","0.68663853","-0.0058295336","0.0038712884",""
"M3_AGG","DIVX","1","rents","RENTS","RENTS agregado","Rentas","resource","-0.003536","0.001296","0.008862","-0.006142","-0.00093","***"
"M3_AGG","DIVX","2","inst","INST","Calidad institucional","Institucional","common","0.017472","0.028185","0.538255","-0.039198","0.074142",""
"M3_AGG","DIVX","3","c.rents#c.inst","RENTS_X_INST","RENTS x INST","Institucional","resource","0.000948","0.001184","0.427406","-0.001433","0.003329",""
"M3_AGG","DIVX","4","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.007643","0.008984","0.399143","-0.010421","0.025707",""
"M3_AGG","DIVX","5","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.004935","0.006661","0.462357","-0.008458","0.018329",""
"M3_AGG","DIVX","6","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","-0.008548","0.007838","0.280944","-0.024308","0.007213",""
"M3_AGG","DIVX","7","pexp","PEXP","PEXP","Estructura exportadora","common","0.001533","0.000627","0.018141","0.000273","0.002793","**"
"M3_AGG","DIVX","8","fexp","FEXP","FEXP","Estructura exportadora","common","-0.001063","0.000978","0.282916","-0.00303","0.000905",""
"M3_AGG","DIVX","9","vol","VOL","VOL","Macroeconomía","common","0.000848","0.000954","0.378445","-0.00107","0.002767",""
"M3_AGG","DIVX","10","rer","RER","RER","Macroeconomía","common","-0.039707","0.035912","0.274371","-0.111912","0.032498",""
"M3_AGG","DIVX","11","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","0.106887","0.044314","0.019736","0.017788","0.195986","**"
"M3_AGG","DIVX","12","innov","INNOV","INNOV","Capacidades productivas","common","0.011198","0.013647","0.415935","-0.01624","0.038636",""
"M3_AGG","DIVX","13","net","NET","NET","Capacidades productivas","common","-0.000741","0.000353","0.040731","-0.00145","-3.3E-05","**"
"M3_AGG","DIVX","14","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.145551","0.035052","0.000134","-0.216028","-0.075074","***"
"M3_AGG","DIVX","15","govcons","GOVCONS","GOVCONS","Controles económicos","common","0.003239","0.001763","0.07236","-0.000306","0.006783","*"
"M3_AGG","DIVX","16","fin","FIN","FIN","Controles económicos","common","0.000605","0.000367","0.10604","-0.000133","0.001343",""
"M3_OG","DIVX","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.004709","0.001348","0.00104","-0.00742","-0.001998","***"
"M3_OG","DIVX","2","inst","INST","Calidad institucional","Institucional","common","0.015207","0.028095","0.590829","-0.041282","0.071695",""
"M3_OG","DIVX","3","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","0.001273","0.001292","0.329299","-0.001324","0.00387",""
"M3_OG","DIVX","4","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.008459","0.008234","0.309436","-0.008097","0.025014",""
"M3_OG","DIVX","5","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.004727","0.006556","0.474344","-0.008454","0.017908",""
"M3_OG","DIVX","6","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","-0.014871","0.00684","0.034653","-0.028623","-0.001119","**"
"M3_OG","DIVX","7","pexp","PEXP","PEXP","Estructura exportadora","common","0.001532","0.000635","0.019617","0.000256","0.002808","**"
"M3_OG","DIVX","8","fexp","FEXP","FEXP","Estructura exportadora","common","-0.000925","0.000969","0.344309","-0.002873","0.001022",""
"M3_OG","DIVX","9","vol","VOL","VOL","Macroeconomía","common","0.000339","0.000947","0.72165","-0.001565","0.002243",""
"M3_OG","DIVX","10","rer","RER","RER","Macroeconomía","common","-0.042651","0.036111","0.24339","-0.115258","0.029956",""
"M3_OG","DIVX","11","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","0.107623","0.041974","0.013531","0.023229","0.192016","**"
